1,佐藤 旭,佐藤 旭.1,2,石丸 小槙,石丸 小槙.1,3,伊藤 誠二,伊藤 誠二.1,4,高濱 芳久,高濱 芳久.1,5,益田 啓司,益田 啓司.1,6,宗行 治哉,宗行 治哉.1
2.0,3.0,19.7,1.0,3.0,58.5,1.0,2.0,80.2,1.0,2.0,412.2,1.0,2.0,79.8,1.0,2.0,1108.0
2.0,4.0,42.3,1.0,4.0,124.1,1.0,4.0,57.7,1.0,3.0,291.8,1.0,3.0,37.8,1.0,3.0,707.6
2.0,5.0,20.6,1.0,5.0,57.3,1.0,5.0,23.4,1.0,5.0,222.7,1.0,4.0,102.8,1.0,4.0,1266.0
2.0,6.0,61.2,1.0,6.0,131.6,1.0,6.0,59.6,1.0,6.0,340.0,1.0,6.0,49.2,1.0,5.0,469.9
3.0,2.0,17.1,3.0,1.0,96.5,2.0,1.0,131.6,2.0,1.0,488.8,2.0,1.0,138.7,2.0,1.0,1471.0
3.0,4.0,17.8,3.0,4.0,175.3,2.0,4.0,213.0,2.0,3.0,572.7,2.0,3.0,165.7,2.0,3.0,1966.0
3.0,5.0,7.5,3.0,5.0,87.5,2.0,5.0,103.1,2.0,5.0,467.9,2.0,4.0,294.9,2.0,4.0,2234.0
3.0,6.0,24.0,3.0,6.0,186.5,2.0,6.0,204.9,2.0,6.0,687.1,2.0,6.0,198.3,2.0,5.0,1281.0
4.0,2.0,65.4,4.0,1.0,272.1,4.0,1.0,151.5,3.0,1.0,360.1,3.0,1.0,55.1,3.0,1.0,846.6
4.0,3.0,42.6,4.0,3.0,314.2,4.0,2.0,299.8,3.0,2.0,568.9,3.0,2.0,151.9,3.0,2.0,1913.0
4.0,5.0,42.6,4.0,5.0,247.8,4.0,5.0,114.1,3.0,5.0,273.0,3.0,4.0,145.8,3.0,4.0,1586.0
4.0,6.0,74.0,4.0,6.0,428.8,4.0,6.0,190.8,3.0,6.0,444.5,3.0,6.0,69.9,3.0,5.0,563.7
5.0,2.0,24.5,5.0,1.0,103.0,5.0,1.0,34.8,5.0,1.0,267.8,4.0,1.0,202.0,4.0,1.0,1831.0
5.0,3.0,12.5,5.0,3.0,112.7,5.0,2.0,98.6,5.0,2.0,440.8,4.0,2.0,411.1,4.0,2.0,2410.0
5.0,4.0,35.8,5.0,4.0,204.3,5.0,4.0,81.3,5.0,3.0,265.3,4.0,3.0,202.4,4.0,3.0,2091.0
5.0,6.0,24.2,5.0,6.0,176.0,5.0,6.0,55.1,5.0,6.0,220.1,4.0,6.0,168.0,4.0,5.0,1304.0
6.0,2.0,143.7,6.0,1.0,562.2,6.0,1.0,225.6,6.0,1.0,788.7,6.0,1.0,122.3,5.0,1.0,455.4
6.0,3.0,93.1,6.0,3.0,594.3,6.0,2.0,433.2,6.0,2.0,1102.0,6.0,2.0,290.6,5.0,2.0,1077.0
6.0,4.0,161.8,6.0,4.0,846.6,6.0,4.0,372.6,6.0,3.0,790.2,6.0,3.0,127.0,5.0,3.0,539.4
6.0,5.0,87.9,6.0,5.0,460.8,6.0,5.0,180.5,6.0,5.0,473.0,6.0,4.0,234.2,5.0,4.0,1061.0
