1,横田 貴満,横田 貴満.1,2,桐本 康臣,桐本 康臣.1,3,菊池 宏志,菊池 宏志.1,4,宮下 元胤,宮下 元胤.1,5,堤 昇,堤 昇.1,6,下河 誉史,下河 誉史.1
2.0,3.0,14.1,1.0,3.0,38.3,1.0,2.0,241.4,1.0,2.0,33.1,1.0,2.0,219.5,1.0,2.0,1019.0
2.0,4.0,5.8,1.0,4.0,14.5,1.0,4.0,199.8,1.0,3.0,128.1,1.0,3.0,524.7,1.0,3.0,1887.0
2.0,5.0,14.0,1.0,5.0,32.5,1.0,5.0,286.7,1.0,5.0,38.3,1.0,4.0,200.8,1.0,4.0,1003.0
2.0,6.0,22.3,1.0,6.0,47.7,1.0,6.0,417.5,1.0,6.0,69.2,1.0,6.0,315.1,1.0,5.0,1939.0
3.0,2.0,35.6,3.0,1.0,160.2,2.0,1.0,342.9,2.0,1.0,50.5,2.0,1.0,312.7,2.0,1.0,1222.0
3.0,4.0,35.8,3.0,4.0,164.5,2.0,4.0,344.1,2.0,3.0,190.9,2.0,3.0,745.7,2.0,3.0,2028.0
3.0,5.0,64.2,3.0,5.0,282.8,2.0,5.0,543.2,2.0,5.0,61.7,2.0,4.0,268.7,2.0,4.0,837.4
3.0,6.0,96.1,3.0,6.0,318.4,2.0,6.0,625.8,2.0,6.0,95.5,2.0,6.0,444.7,2.0,5.0,2134.0
4.0,2.0,9.8,4.0,1.0,31.3,4.0,1.0,340.0,3.0,1.0,325.5,3.0,1.0,1125.0,3.0,1.0,2672.0
4.0,3.0,30.5,4.0,3.0,123.0,4.0,2.0,381.0,3.0,2.0,348.1,3.0,2.0,1148.0,3.0,2.0,2979.0
4.0,5.0,18.5,4.0,5.0,56.2,4.0,5.0,445.8,3.0,5.0,358.8,3.0,4.0,989.6,3.0,4.0,2476.0
4.0,6.0,36.7,4.0,6.0,91.6,4.0,6.0,639.1,3.0,6.0,574.3,3.0,6.0,1248.0,3.0,5.0,3058.0
5.0,2.0,42.8,5.0,1.0,141.2,5.0,1.0,902.2,5.0,1.0,52.4,4.0,1.0,192.7,4.0,1.0,1047.0
5.0,3.0,94.6,5.0,3.0,342.1,5.0,2.0,950.1,5.0,2.0,56.4,4.0,2.0,193.5,4.0,2.0,837.4
5.0,4.0,48.4,5.0,4.0,135.1,5.0,4.0,797.7,5.0,3.0,210.9,4.0,3.0,542.1,4.0,3.0,2102.0
5.0,6.0,94.8,5.0,6.0,252.8,5.0,6.0,1106.0,5.0,6.0,60.5,4.0,6.0,212.1,4.0,5.0,906.5
6.0,2.0,126.9,6.0,1.0,322.0,6.0,1.0,1314.0,6.0,1.0,166.7,6.0,1.0,711.4,5.0,1.0,1972.0
6.0,3.0,239.2,6.0,3.0,682.5,6.0,2.0,1638.0,6.0,2.0,173.3,6.0,2.0,786.8,5.0,2.0,2344.0
6.0,4.0,135.4,6.0,4.0,241.2,6.0,4.0,1327.0,6.0,3.0,528.6,6.0,3.0,1321.0,5.0,3.0,2803.0
6.0,5.0,222.7,6.0,5.0,547.8,6.0,5.0,1697.0,6.0,5.0,148.3,6.0,4.0,522.3,5.0,4.0,964.5
