1,田中 勇輔,田中 勇輔.1,2,石田 政吾,石田 政吾.1,3,平岡 重典,平岡 重典.1,4,磯村 匠,磯村 匠.1,5,川崎 智稔,川崎 智稔.1,6,石川 真二,石川 真二.1
2.0,3.0,113.8,1.0,3.0,167.3,1.0,2.0,316.0,1.0,2.0,142.1,1.0,2.0,100.8,1.0,2.0,34.3
2.0,4.0,72.2,1.0,4.0,121.9,1.0,4.0,269.2,1.0,3.0,208.3,1.0,3.0,148.4,1.0,3.0,51.6
2.0,5.0,75.6,1.0,5.0,138.7,1.0,5.0,224.9,1.0,5.0,176.6,1.0,4.0,122.7,1.0,4.0,48.6
2.0,6.0,63.9,1.0,6.0,71.5,1.0,6.0,233.1,1.0,6.0,178.6,1.0,6.0,96.5,1.0,5.0,29.4
3.0,2.0,168.8,3.0,1.0,235.3,2.0,1.0,284.2,2.0,1.0,133.9,2.0,1.0,123.3,2.0,1.0,37.4
3.0,4.0,171.8,3.0,4.0,214.8,2.0,4.0,228.2,2.0,3.0,170.3,2.0,3.0,119.4,2.0,3.0,48.3
3.0,5.0,191.1,3.0,5.0,210.0,2.0,5.0,233.1,2.0,5.0,111.1,2.0,4.0,84.3,2.0,4.0,31.8
3.0,6.0,156.0,3.0,6.0,194.5,2.0,6.0,266.4,2.0,6.0,112.7,2.0,6.0,75.0,2.0,5.0,25.2
4.0,2.0,103.3,4.0,1.0,184.7,4.0,1.0,238.9,3.0,1.0,294.1,3.0,1.0,173.0,3.0,1.0,84.3
4.0,3.0,156.3,4.0,3.0,168.0,4.0,2.0,183.8,3.0,2.0,211.8,3.0,2.0,117.1,3.0,2.0,72.0
4.0,5.0,130.2,4.0,5.0,94.9,4.0,5.0,159.6,3.0,5.0,187.8,3.0,4.0,124.5,3.0,4.0,105.9
4.0,6.0,147.0,4.0,6.0,78.0,4.0,6.0,203.9,3.0,6.0,259.2,3.0,6.0,118.5,3.0,5.0,64.9
5.0,2.0,59.6,5.0,1.0,155.1,5.0,1.0,202.8,5.0,1.0,140.0,4.0,1.0,116.3,4.0,1.0,97.7
5.0,3.0,140.8,5.0,3.0,184.7,5.0,2.0,212.4,5.0,2.0,76.0,4.0,2.0,76.8,4.0,2.0,58.8
5.0,4.0,96.8,5.0,4.0,131.6,5.0,4.0,177.0,5.0,3.0,154.1,4.0,3.0,113.8,4.0,3.0,105.6
5.0,6.0,64.0,5.0,6.0,88.9,5.0,6.0,171.8,5.0,6.0,94.9,4.0,6.0,79.7,4.0,5.0,68.4
6.0,2.0,39.6,6.0,1.0,60.6,6.0,1.0,168.4,6.0,1.0,131.3,6.0,1.0,67.9,5.0,1.0,32.1
6.0,3.0,56.4,6.0,3.0,100.3,6.0,2.0,171.4,6.0,2.0,111.8,6.0,2.0,52.5,5.0,2.0,23.4
6.0,4.0,50.5,6.0,4.0,54.9,6.0,4.0,229.6,6.0,3.0,162.3,6.0,3.0,75.8,5.0,3.0,35.3
6.0,5.0,38.0,6.0,5.0,50.6,6.0,5.0,137.7,6.0,5.0,120.8,6.0,4.0,66.0,5.0,4.0,32.6
