1,山崎 善庸,山崎 善庸.1,2,森 照夫,森 照夫.1,3,岡部 大輝,岡部 大輝.1,4,江夏 満,江夏 満.1,5,高山 秀雄,高山 秀雄.1,6,熊本 英一,熊本 英一.1
2.0,3.0,37.1,1.0,3.0,33.3,1.0,2.0,80.3,1.0,2.0,14.7,1.0,2.0,609.1,1.0,2.0,1305.0
2.0,4.0,25.5,1.0,4.0,18.7,1.0,4.0,41.1,1.0,3.0,20.4,1.0,3.0,985.4,1.0,3.0,3141.0
2.0,5.0,118.8,1.0,5.0,132.0,1.0,5.0,186.1,1.0,5.0,39.4,1.0,4.0,411.9,1.0,4.0,922.1
2.0,6.0,158.5,1.0,6.0,196.3,1.0,6.0,255.7,1.0,6.0,51.0,1.0,6.0,905.5,1.0,5.0,2393.0
3.0,2.0,51.0,3.0,1.0,47.7,2.0,1.0,96.8,2.0,1.0,25.4,2.0,1.0,922.1,2.0,1.0,2010.0
3.0,4.0,31.6,3.0,4.0,24.0,2.0,4.0,37.6,2.0,3.0,18.4,2.0,3.0,1005.0,2.0,3.0,2233.0
3.0,5.0,150.0,3.0,5.0,129.3,2.0,5.0,165.5,2.0,5.0,42.9,2.0,4.0,628.2,2.0,4.0,723.1
3.0,6.0,199.0,3.0,6.0,207.2,2.0,6.0,231.0,2.0,6.0,61.9,2.0,6.0,1595.0,2.0,5.0,3350.0
4.0,2.0,17.8,4.0,1.0,24.3,4.0,1.0,39.8,3.0,1.0,33.4,3.0,1.0,1272.0,3.0,1.0,3242.0
4.0,3.0,20.4,4.0,3.0,20.4,4.0,2.0,32.8,3.0,2.0,21.1,3.0,2.0,1155.0,3.0,2.0,2716.0
4.0,5.0,50.7,4.0,5.0,57.6,4.0,5.0,68.1,3.0,5.0,56.4,3.0,4.0,609.1,3.0,4.0,2337.0
4.0,6.0,65.9,4.0,6.0,90.6,4.0,6.0,121.8,3.0,6.0,94.9,3.0,6.0,2393.0,3.0,5.0,4568.0
5.0,2.0,352.6,5.0,1.0,312.1,5.0,1.0,469.6,5.0,1.0,50.2,4.0,1.0,320.1,4.0,1.0,452.7
5.0,3.0,406.9,5.0,3.0,346.6,5.0,2.0,360.2,5.0,2.0,53.3,4.0,2.0,373.6,4.0,2.0,750.1
5.0,4.0,228.4,5.0,4.0,212.5,5.0,4.0,225.3,5.0,3.0,72.5,4.0,3.0,437.0,4.0,3.0,2051.0
5.0,6.0,564.6,5.0,6.0,648.4,5.0,6.0,624.3,5.0,6.0,71.2,4.0,6.0,467.5,4.0,5.0,1896.0
6.0,2.0,581.0,6.0,1.0,552.2,6.0,1.0,791.4,6.0,1.0,134.1,6.0,1.0,2138.0,5.0,1.0,2792.0
6.0,3.0,587.8,6.0,3.0,636.1,6.0,2.0,644.3,6.0,2.0,117.6,6.0,2.0,2138.0,5.0,2.0,3589.0
6.0,4.0,362.8,6.0,4.0,299.1,6.0,4.0,490.3,6.0,3.0,175.4,6.0,3.0,2716.0,5.0,3.0,4786.0
6.0,5.0,913.7,6.0,5.0,957.2,6.0,5.0,922.1,6.0,5.0,159.5,6.0,4.0,1182.0,5.0,4.0,2051.0
