1,桑原 将光,桑原 将光.1,2,重野 哲之,重野 哲之.1,3,木場 悠介,木場 悠介.1,4,松本 博昭,松本 博昭.1,5,三苫 晃幸,三苫 晃幸.1,6,品田 直樹,品田 直樹.1
2.0,3.0,7.3,1.0,3.0,23.0,1.0,2.0,170.1,1.0,2.0,147.4,1.0,2.0,79.8,1.0,2.0,1684.0
2.0,4.0,6.5,1.0,4.0,18.5,1.0,4.0,225.8,1.0,3.0,287.7,1.0,3.0,174.6,1.0,3.0,2736.0
2.0,5.0,7.4,1.0,5.0,16.3,1.0,5.0,219.5,1.0,5.0,179.6,1.0,4.0,180.9,1.0,4.0,2049.0
2.0,6.0,66.3,1.0,6.0,119.5,1.0,6.0,539.7,1.0,6.0,471.8,1.0,6.0,318.5,1.0,5.0,2522.0
3.0,2.0,15.3,3.0,1.0,86.1,2.0,1.0,237.8,2.0,1.0,193.1,2.0,1.0,120.5,2.0,1.0,1947.0
3.0,4.0,23.8,3.0,4.0,117.2,2.0,4.0,260.0,2.0,3.0,389.0,2.0,3.0,271.2,2.0,3.0,3127.0
3.0,5.0,26.8,3.0,5.0,101.3,2.0,5.0,263.8,2.0,5.0,256.8,2.0,4.0,238.3,2.0,4.0,2865.0
3.0,6.0,125.1,3.0,6.0,401.2,2.0,6.0,806.0,2.0,6.0,736.6,2.0,6.0,462.2,2.0,5.0,2764.0
4.0,2.0,13.8,4.0,1.0,66.5,4.0,1.0,499.8,3.0,1.0,704.4,3.0,1.0,487.8,3.0,1.0,3554.0
4.0,3.0,27.7,4.0,3.0,119.5,4.0,2.0,533.9,3.0,2.0,697.2,3.0,2.0,541.3,3.0,2.0,4024.0
4.0,5.0,26.5,4.0,5.0,76.0,4.0,5.0,628.3,3.0,5.0,819.3,3.0,4.0,930.8,3.0,4.0,3723.0
4.0,6.0,113.5,4.0,6.0,375.9,4.0,6.0,1600.0,3.0,6.0,1595.0,3.0,6.0,1499.0,3.0,5.0,4523.0
5.0,2.0,16.0,5.0,1.0,54.4,5.0,1.0,441.0,5.0,1.0,248.5,4.0,1.0,337.6,4.0,1.0,3442.0
5.0,3.0,35.1,5.0,3.0,107.7,5.0,2.0,469.0,5.0,2.0,255.4,4.0,2.0,346.8,4.0,2.0,3554.0
5.0,4.0,37.7,5.0,4.0,91.8,5.0,4.0,816.9,5.0,3.0,619.1,4.0,3.0,761.2,4.0,3.0,3937.0
5.0,6.0,105.4,5.0,6.0,260.7,5.0,6.0,1157.0,5.0,6.0,572.5,4.0,6.0,826.7,4.0,5.0,3673.0
6.0,2.0,258.4,6.0,1.0,577.3,6.0,1.0,1389.0,6.0,1.0,1024.0,6.0,1.0,1002.0,5.0,1.0,2778.0
6.0,3.0,421.3,6.0,3.0,1269.0,6.0,2.0,2271.0,6.0,2.0,1371.0,6.0,2.0,965.3,5.0,2.0,2958.0
6.0,4.0,395.4,6.0,4.0,1246.0,6.0,4.0,2850.0,6.0,3.0,2280.0,6.0,3.0,1586.0,5.0,3.0,4146.0
6.0,5.0,356.5,6.0,5.0,842.0,6.0,5.0,2476.0,6.0,5.0,1520.0,6.0,4.0,1595.0,5.0,4.0,3442.0
