1,四宮 与寛,四宮 与寛.1,2,重富 伸也,重富 伸也.1,3,岡本 大,岡本 大.1,4,佐野 優都,佐野 優都.1,5,末永 由楽,末永 由楽.1,6,品川　二千翔,品川　二千翔.1
2.0,3.0,17.5,1.0,3.0,193.8,1.0,2.0,273.1,1.0,2.0,544.8,1.0,2.0,28.1,1.0,2.0,215.5
2.0,4.0,53.0,1.0,4.0,597.3,1.0,4.0,472.2,1.0,3.0,617.8,1.0,3.0,46.7,1.0,3.0,313.3
2.0,5.0,8.7,1.0,5.0,110.7,1.0,5.0,101.2,1.0,5.0,204.0,1.0,4.0,136.2,1.0,4.0,774.7
2.0,6.0,20.1,1.0,6.0,227.7,1.0,6.0,281.7,1.0,6.0,372.1,1.0,6.0,19.1,1.0,5.0,100.7
3.0,2.0,21.5,3.0,1.0,352.9,2.0,1.0,379.2,2.0,1.0,790.1,2.0,1.0,97.8,2.0,1.0,455.9
3.0,4.0,62.4,3.0,4.0,1231.0,2.0,4.0,1126.0,2.0,3.0,1514.0,2.0,3.0,248.5,2.0,3.0,1239.0
3.0,5.0,13.4,3.0,5.0,569.9,2.0,5.0,524.6,2.0,5.0,1060.0,2.0,4.0,691.0,2.0,4.0,2418.0
3.0,6.0,28.5,3.0,6.0,1006.0,2.0,6.0,1108.0,2.0,6.0,1586.0,2.0,6.0,133.7,2.0,5.0,571.5
4.0,2.0,83.8,4.0,1.0,1296.0,4.0,1.0,822.9,3.0,1.0,774.7,3.0,1.0,129.5,3.0,1.0,676.9
4.0,3.0,93.9,4.0,3.0,1770.0,4.0,2.0,1279.0,3.0,2.0,1786.0,3.0,2.0,291.6,3.0,2.0,1871.0
4.0,5.0,42.8,4.0,5.0,2087.0,4.0,5.0,1322.0,3.0,5.0,1101.0,3.0,4.0,751.2,3.0,4.0,2874.0
4.0,6.0,75.0,4.0,6.0,3361.0,4.0,6.0,1652.0,3.0,6.0,1480.0,3.0,6.0,195.2,3.0,5.0,816.1
5.0,2.0,8.0,5.0,1.0,177.0,5.0,1.0,185.8,5.0,1.0,235.5,4.0,1.0,275.0,4.0,1.0,1322.0
5.0,3.0,12.6,5.0,3.0,495.8,5.0,2.0,538.9,5.0,2.0,581.6,4.0,2.0,703.3,4.0,2.0,2874.0
5.0,4.0,27.5,5.0,4.0,1437.0,5.0,4.0,1239.0,5.0,3.0,799.7,4.0,3.0,754.1,4.0,3.0,2916.0
5.0,6.0,7.8,5.0,6.0,400.6,5.0,6.0,423.7,5.0,6.0,278.5,4.0,6.0,281.3,4.0,5.0,1173.0
6.0,2.0,36.4,6.0,1.0,581.6,6.0,1.0,621.7,6.0,1.0,560.2,6.0,1.0,34.0,5.0,1.0,104.9
6.0,3.0,48.0,6.0,3.0,1349.0,6.0,2.0,1406.0,6.0,2.0,1108.0,6.0,2.0,80.2,5.0,2.0,280.5
6.0,4.0,100.1,6.0,4.0,2644.0,6.0,4.0,2874.0,6.0,3.0,1304.0,6.0,3.0,118.0,5.0,3.0,419.3
6.0,5.0,21.8,6.0,5.0,716.0,6.0,5.0,768.7,6.0,5.0,486.1,6.0,4.0,258.9,5.0,4.0,802.9
