1,松井 賢治,松井 賢治.1,2,松本 博昭,松本 博昭.1,3,東 健介,東 健介.1,4,中渡 修作,中渡 修作.1,5,西川　新太郎,西川　新太郎.1,6,中村 辰也,中村 辰也.1
2.0,3.0,6.8,1.0,3.0,41.5,1.0,2.0,104.3,1.0,2.0,234.4,1.0,2.0,76.1,1.0,2.0,225.4
2.0,4.0,16.1,1.0,4.0,67.2,1.0,4.0,147.0,1.0,3.0,339.3,1.0,3.0,113.4,1.0,3.0,430.0
2.0,5.0,7.0,1.0,5.0,35.0,1.0,5.0,82.0,1.0,5.0,229.9,1.0,4.0,239.5,1.0,4.0,550.5
2.0,6.0,11.6,1.0,6.0,49.1,1.0,6.0,104.3,1.0,6.0,263.3,1.0,6.0,89.4,1.0,5.0,272.3
3.0,2.0,12.4,3.0,1.0,165.0,2.0,1.0,204.8,2.0,1.0,471.8,2.0,1.0,161.6,2.0,1.0,348.5
3.0,4.0,29.1,3.0,4.0,488.4,2.0,4.0,539.5,2.0,3.0,1027.0,2.0,3.0,465.4,2.0,3.0,1337.0
3.0,5.0,15.5,3.0,5.0,282.6,2.0,5.0,370.6,2.0,5.0,672.0,2.0,4.0,617.9,2.0,4.0,1258.0
3.0,6.0,24.1,3.0,6.0,349.2,2.0,6.0,415.8,2.0,6.0,674.6,2.0,6.0,254.8,2.0,5.0,570.7
4.0,2.0,35.0,4.0,1.0,314.4,4.0,1.0,434.4,3.0,1.0,736.4,3.0,1.0,316.2,3.0,1.0,760.3
4.0,3.0,51.5,4.0,3.0,754.8,4.0,2.0,719.9,3.0,2.0,1119.0,3.0,2.0,654.0,3.0,2.0,1541.0
4.0,5.0,51.4,4.0,5.0,521.0,4.0,5.0,640.2,3.0,5.0,993.7,3.0,4.0,1116.0,3.0,4.0,1799.0
4.0,6.0,55.8,4.0,6.0,539.0,4.0,6.0,646.7,3.0,6.0,1046.0,3.0,6.0,589.6,3.0,5.0,1303.0
5.0,2.0,16.0,5.0,1.0,120.1,5.0,1.0,205.5,5.0,1.0,327.8,4.0,1.0,467.1,4.0,1.0,960.3
5.0,3.0,26.6,5.0,3.0,308.6,5.0,2.0,431.1,5.0,2.0,514.7,4.0,2.0,776.4,4.0,2.0,1505.0
5.0,4.0,59.1,5.0,4.0,469.2,5.0,4.0,679.1,5.0,3.0,769.4,4.0,3.0,1081.0,4.0,3.0,2010.0
5.0,6.0,24.5,5.0,6.0,188.2,5.0,6.0,359.4,5.0,6.0,348.7,4.0,6.0,474.8,4.0,5.0,953.2
6.0,2.0,39.6,6.0,1.0,201.6,6.0,1.0,339.7,6.0,1.0,501.2,6.0,1.0,161.3,5.0,1.0,339.3
6.0,3.0,70.7,6.0,3.0,584.3,6.0,2.0,659.9,6.0,2.0,739.6,6.0,2.0,270.7,5.0,2.0,522.0
6.0,4.0,102.0,6.0,4.0,680.9,6.0,4.0,1154.0,6.0,3.0,1074.0,6.0,3.0,545.3,5.0,3.0,991.8
6.0,5.0,55.4,6.0,5.0,291.8,6.0,5.0,625.4,6.0,5.0,558.3,6.0,4.0,539.5,5.0,4.0,798.0
