1,小坂 尚哉,小坂 尚哉.1,2,平見 真彦,平見 真彦.1,3,岸本 隆,岸本 隆.1,4,田頭 虎親,田頭 虎親.1,5,上野 俊樹,上野 俊樹.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,7.2,1.0,3.0,44.2,1.0,2.0,109.3,1.0,2.0,23.9,1.0,2.0,593.6,1.0,2.0,1139.0
2.0,4.0,4.0,1.0,4.0,23.9,1.0,4.0,112.8,1.0,3.0,55.0,1.0,3.0,1033.0,1.0,3.0,2346.0
2.0,5.0,38.6,1.0,5.0,176.9,1.0,5.0,295.9,1.0,5.0,72.2,1.0,4.0,609.9,1.0,4.0,1648.0
2.0,6.0,80.0,1.0,6.0,243.2,1.0,6.0,586.6,1.0,6.0,104.9,1.0,6.0,1445.0,1.0,5.0,2890.0
3.0,2.0,10.4,3.0,1.0,183.1,2.0,1.0,245.9,2.0,1.0,37.7,2.0,1.0,1187.0,2.0,1.0,2077.0
3.0,4.0,11.0,3.0,4.0,242.0,2.0,4.0,326.4,2.0,3.0,136.6,2.0,3.0,2890.0,2.0,3.0,3693.0
3.0,5.0,62.0,3.0,5.0,845.1,2.0,5.0,859.7,2.0,5.0,161.2,2.0,4.0,1286.0,2.0,4.0,1320.0
3.0,6.0,150.4,3.0,6.0,848.7,2.0,6.0,1347.0,2.0,6.0,164.1,2.0,6.0,1796.0,2.0,5.0,2624.0
4.0,2.0,6.2,4.0,1.0,40.7,4.0,1.0,221.6,3.0,1.0,150.9,3.0,1.0,1864.0,3.0,1.0,3380.0
4.0,3.0,10.8,4.0,3.0,125.1,4.0,2.0,389.5,3.0,2.0,275.4,3.0,2.0,3022.0,3.0,2.0,4749.0
4.0,5.0,35.7,4.0,5.0,262.7,4.0,5.0,794.6,3.0,5.0,667.0,3.0,4.0,2732.0,3.0,4.0,4638.0
4.0,6.0,58.1,4.0,6.0,211.0,4.0,6.0,1477.0,3.0,6.0,910.7,3.0,6.0,3693.0,3.0,5.0,4432.0
5.0,2.0,138.1,5.0,1.0,791.5,5.0,1.0,1101.0,5.0,1.0,142.3,4.0,1.0,773.1,4.0,1.0,1780.0
5.0,3.0,216.3,5.0,3.0,1499.0,5.0,2.0,1634.0,5.0,2.0,180.8,4.0,2.0,936.4,4.0,2.0,1286.0
5.0,4.0,175.7,5.0,4.0,752.6,5.0,4.0,1394.0,5.0,3.0,432.6,4.0,3.0,2346.0,4.0,3.0,3989.0
5.0,6.0,486.4,5.0,6.0,1434.0,5.0,6.0,2557.0,5.0,6.0,321.1,4.0,6.0,1414.0,4.0,5.0,2890.0
6.0,2.0,297.7,6.0,1.0,906.6,6.0,1.0,2319.0,6.0,1.0,317.1,6.0,1.0,2432.0,5.0,1.0,3324.0
6.0,3.0,417.2,6.0,3.0,1366.0,6.0,2.0,3217.0,6.0,2.0,331.3,6.0,2.0,2493.0,5.0,2.0,3116.0
6.0,4.0,288.2,6.0,4.0,720.0,6.0,4.0,2977.0,6.0,3.0,782.2,6.0,3.0,4533.0,5.0,3.0,5248.0
6.0,5.0,639.2,6.0,5.0,1634.0,6.0,5.0,2770.0,6.0,5.0,590.1,6.0,4.0,3166.0,5.0,4.0,3022.0
