1,宇野 博之,宇野 博之.1,2,奥田 誠,奥田 誠.1,3,松下 知幸,松下 知幸.1,4,藤森 拓海,藤森 拓海.1,5,竹田 広樹,竹田 広樹.1,6,高橋 勲,高橋 勲.1
2.0,3.0,10.7,1.0,3.0,25.6,1.0,2.0,53.1,1.0,2.0,404.8,1.0,2.0,197.6,1.0,2.0,36.1
2.0,4.0,75.0,1.0,4.0,122.7,1.0,4.0,157.7,1.0,3.0,650.0,1.0,3.0,250.8,1.0,3.0,41.1
2.0,5.0,26.7,1.0,5.0,59.9,1.0,5.0,69.4,1.0,5.0,576.9,1.0,4.0,654.6,1.0,4.0,204.2
2.0,6.0,11.0,1.0,6.0,21.6,1.0,6.0,66.3,1.0,6.0,439.5,1.0,6.0,246.1,1.0,5.0,85.1
3.0,2.0,19.5,3.0,1.0,52.1,2.0,1.0,63.3,2.0,1.0,509.9,2.0,1.0,270.6,2.0,1.0,47.8
3.0,4.0,115.0,3.0,4.0,189.1,2.0,4.0,160.2,2.0,3.0,595.5,2.0,3.0,298.7,2.0,3.0,48.8
3.0,5.0,33.1,3.0,5.0,74.8,2.0,5.0,77.0,2.0,5.0,542.9,2.0,4.0,573.3,2.0,4.0,222.9
3.0,6.0,25.8,3.0,6.0,45.7,2.0,6.0,61.0,2.0,6.0,530.5,2.0,6.0,273.9,2.0,5.0,97.0
4.0,2.0,167.2,4.0,1.0,370.7,4.0,1.0,161.3,3.0,1.0,584.2,3.0,1.0,306.6,3.0,1.0,56.0
4.0,3.0,291.1,4.0,3.0,399.6,4.0,2.0,170.9,3.0,2.0,490.9,3.0,2.0,307.6,3.0,2.0,56.3
4.0,5.0,318.3,4.0,5.0,397.8,4.0,5.0,124.9,3.0,5.0,363.4,3.0,4.0,566.3,3.0,4.0,162.8
4.0,6.0,247.4,4.0,6.0,378.3,4.0,6.0,204.2,3.0,6.0,562.8,3.0,6.0,360.5,3.0,5.0,93.9
5.0,2.0,85.7,5.0,1.0,152.8,5.0,1.0,79.7,5.0,1.0,615.3,4.0,1.0,816.8,4.0,1.0,501.6
5.0,3.0,100.9,5.0,3.0,146.9,5.0,2.0,85.1,5.0,2.0,466.2,4.0,2.0,498.9,4.0,2.0,443.7
5.0,4.0,270.6,5.0,4.0,381.4,5.0,4.0,136.3,5.0,3.0,427.3,4.0,3.0,576.9,4.0,3.0,456.9
5.0,6.0,97.9,5.0,6.0,149.1,5.0,6.0,95.3,5.0,6.0,668.8,4.0,6.0,831.6,4.0,5.0,485.8
6.0,2.0,14.6,6.0,1.0,37.7,6.0,1.0,84.7,6.0,1.0,587.9,6.0,1.0,338.1,5.0,1.0,200.2
6.0,3.0,21.5,6.0,3.0,40.5,6.0,2.0,70.3,6.0,2.0,539.8,6.0,2.0,348.3,5.0,2.0,189.9
6.0,4.0,133.2,6.0,4.0,214.1,6.0,4.0,205.5,6.0,3.0,726.8,6.0,3.0,427.3,5.0,3.0,216.6
6.0,5.0,50.2,6.0,5.0,93.8,6.0,5.0,101.8,6.0,5.0,1003.0,6.0,4.0,1003.0,5.0,4.0,450.2
