1,中山 雄太,中山 雄太.1,2,鈴木 智啓,鈴木 智啓.1,3,石田 豪,石田 豪.1,4,植田 太一,植田 太一.1,5,下田 哲也,下田 哲也.1,6,土井 歩夢,土井 歩夢.1
2.0,3.0,21.1,1.0,3.0,130.5,1.0,2.0,238.9,1.0,2.0,17.4,1.0,2.0,349.6,1.0,2.0,1006.0
2.0,4.0,6.2,1.0,4.0,64.3,1.0,4.0,336.8,1.0,3.0,62.9,1.0,3.0,700.0,1.0,3.0,2205.0
2.0,5.0,27.7,1.0,5.0,141.1,1.0,5.0,682.2,1.0,5.0,14.8,1.0,4.0,208.5,1.0,4.0,686.6
2.0,6.0,39.3,1.0,6.0,313.5,1.0,6.0,972.9,1.0,6.0,19.6,1.0,6.0,330.6,1.0,5.0,1288.0
3.0,2.0,34.3,3.0,1.0,222.5,2.0,1.0,659.9,2.0,1.0,46.1,2.0,1.0,549.5,2.0,1.0,1722.0
3.0,4.0,27.5,3.0,4.0,899.5,2.0,4.0,1059.0,2.0,3.0,311.7,2.0,3.0,1069.0,2.0,3.0,3462.0
3.0,5.0,68.4,3.0,5.0,1526.0,2.0,5.0,2252.0,2.0,5.0,97.1,2.0,4.0,555.2,2.0,4.0,1759.0
3.0,6.0,128.8,3.0,6.0,1894.0,2.0,6.0,2752.0,2.0,6.0,121.3,2.0,6.0,618.1,2.0,5.0,3286.0
4.0,2.0,5.5,4.0,1.0,114.5,4.0,1.0,508.7,3.0,1.0,286.7,3.0,1.0,1634.0,3.0,1.0,4076.0
4.0,3.0,16.4,4.0,3.0,529.6,4.0,2.0,944.4,3.0,2.0,603.0,3.0,2.0,2927.0,3.0,2.0,4472.0
4.0,5.0,10.6,4.0,5.0,404.5,4.0,5.0,1166.0,3.0,5.0,578.1,3.0,4.0,2350.0,3.0,4.0,2824.0
4.0,6.0,14.4,4.0,6.0,482.1,4.0,6.0,1394.0,3.0,6.0,500.8,3.0,6.0,2252.0,3.0,5.0,4472.0
5.0,2.0,73.6,5.0,1.0,722.0,5.0,1.0,1840.0,5.0,1.0,28.4,4.0,1.0,182.5,4.0,1.0,723.6
5.0,3.0,135.8,5.0,3.0,1779.0,5.0,2.0,2752.0,5.0,2.0,67.8,4.0,2.0,326.9,4.0,2.0,1175.0
5.0,4.0,46.0,5.0,4.0,902.0,5.0,4.0,2350.0,5.0,3.0,254.5,4.0,3.0,791.2,4.0,3.0,2385.0
5.0,6.0,108.3,5.0,6.0,1703.0,5.0,6.0,2706.0,5.0,6.0,43.6,4.0,6.0,225.5,4.0,5.0,941.6
6.0,2.0,158.8,6.0,1.0,1015.0,6.0,1.0,2776.0,6.0,1.0,59.8,6.0,1.0,551.4,5.0,1.0,2252.0
6.0,3.0,298.4,6.0,3.0,2439.0,6.0,2.0,3286.0,6.0,2.0,128.8,6.0,2.0,695.5,5.0,2.0,2927.0
6.0,4.0,94.4,6.0,4.0,1309.0,6.0,4.0,3389.0,6.0,3.0,371.0,6.0,3.0,949.9,5.0,3.0,3788.0
6.0,5.0,188.8,6.0,5.0,2132.0,6.0,5.0,3618.0,6.0,5.0,82.1,6.0,4.0,502.4,5.0,4.0,1257.0
