1,長岡 良也,長岡 良也.1,2,吉村 誠,吉村 誠.1,3,田川 大貴,田川 大貴.1,4,鈴木 峻佑,鈴木 峻佑.1,5,山田 佑樹,山田 佑樹.1,6,森安 弘雅,森安 弘雅.1
2.0,3.0,5.5,1.0,3.0,53.4,1.0,2.0,52.1,1.0,2.0,170.4,1.0,2.0,182.6,1.0,2.0,901.6
2.0,4.0,11.4,1.0,4.0,86.5,1.0,4.0,78.0,1.0,3.0,161.1,1.0,3.0,149.4,1.0,3.0,1184.0
2.0,5.0,14.6,1.0,5.0,105.1,1.0,5.0,55.3,1.0,5.0,156.5,1.0,4.0,263.9,1.0,4.0,1718.0
2.0,6.0,30.6,1.0,6.0,186.0,1.0,6.0,124.7,1.0,6.0,244.1,1.0,6.0,210.9,1.0,5.0,1202.0
3.0,2.0,6.0,3.0,1.0,101.9,2.0,1.0,106.0,2.0,1.0,321.0,2.0,1.0,408.6,2.0,1.0,1613.0
3.0,4.0,10.9,3.0,4.0,295.3,2.0,4.0,268.8,2.0,3.0,539.7,2.0,3.0,433.2,2.0,3.0,2311.0
3.0,5.0,8.9,3.0,5.0,302.2,2.0,5.0,213.6,2.0,5.0,558.7,2.0,4.0,681.1,2.0,4.0,2345.0
3.0,6.0,22.5,3.0,6.0,528.9,2.0,6.0,408.6,2.0,6.0,683.0,2.0,6.0,635.6,2.0,5.0,2333.0
4.0,2.0,28.9,4.0,1.0,276.9,4.0,1.0,199.1,3.0,1.0,318.6,3.0,1.0,275.1,3.0,1.0,1199.0
4.0,3.0,30.2,4.0,3.0,499.0,4.0,2.0,360.6,3.0,2.0,604.1,3.0,2.0,501.1,3.0,2.0,2380.0
4.0,5.0,47.8,4.0,5.0,680.1,4.0,5.0,321.4,3.0,5.0,560.1,3.0,4.0,761.7,3.0,4.0,2615.0
4.0,6.0,66.4,4.0,6.0,862.4,4.0,6.0,454.7,3.0,6.0,804.2,3.0,6.0,596.6,3.0,5.0,2333.0
5.0,2.0,33.2,5.0,1.0,407.6,5.0,1.0,144.0,5.0,1.0,210.6,4.0,1.0,442.4,4.0,1.0,2224.0
5.0,3.0,27.1,5.0,3.0,464.4,5.0,2.0,262.4,5.0,2.0,389.2,4.0,2.0,626.4,4.0,2.0,2644.0
5.0,4.0,63.7,5.0,4.0,714.8,5.0,4.0,392.1,5.0,3.0,474.1,4.0,3.0,742.7,4.0,3.0,2868.0
5.0,6.0,58.6,5.0,6.0,1010.0,5.0,6.0,343.5,5.0,6.0,296.0,4.0,6.0,582.7,4.0,5.0,2505.0
6.0,2.0,100.6,6.0,1.0,786.9,6.0,1.0,502.2,6.0,1.0,549.7,6.0,1.0,461.3,5.0,1.0,1396.0
6.0,3.0,103.3,6.0,3.0,1158.0,6.0,2.0,772.8,6.0,2.0,868.7,6.0,2.0,677.2,5.0,2.0,2299.0
6.0,4.0,159.7,6.0,4.0,1352.0,6.0,4.0,973.6,6.0,3.0,1128.0,6.0,3.0,708.4,5.0,3.0,2000.0
6.0,5.0,126.8,6.0,5.0,1447.0,6.0,5.0,699.1,6.0,5.0,558.1,6.0,4.0,857.8,5.0,4.0,2288.0
