1,森清 友翔,森清 友翔.1,2,田村 慶,田村 慶.1,3,豊田 祥生,豊田 祥生.1,4,上瀧 絢也,上瀧 絢也.1,5,畑田 汰一,畑田 汰一.1,6,永松 良教,永松 良教.1
2.0,3.0,47.6,1.0,3.0,38.7,1.0,2.0,115.9,1.0,2.0,321.7,1.0,2.0,53.9,1.0,2.0,1199.0
2.0,4.0,75.4,1.0,4.0,55.5,1.0,4.0,193.9,1.0,3.0,431.8,1.0,3.0,108.1,1.0,3.0,1769.0
2.0,5.0,25.9,1.0,5.0,18.7,1.0,5.0,99.0,1.0,5.0,251.9,1.0,4.0,135.4,1.0,4.0,1527.0
2.0,6.0,166.2,1.0,6.0,130.1,1.0,6.0,345.5,1.0,6.0,454.8,1.0,6.0,172.1,1.0,5.0,906.9
3.0,2.0,86.0,3.0,1.0,51.0,2.0,1.0,92.0,2.0,1.0,280.6,2.0,1.0,39.8,2.0,1.0,1272.0
3.0,4.0,158.4,3.0,4.0,36.8,2.0,4.0,59.4,2.0,3.0,157.8,2.0,3.0,27.4,2.0,3.0,987.1
3.0,5.0,93.5,3.0,5.0,15.4,2.0,5.0,30.3,2.0,5.0,76.4,2.0,4.0,28.8,2.0,4.0,906.9
3.0,6.0,318.9,3.0,6.0,83.6,2.0,6.0,123.8,2.0,6.0,258.6,2.0,6.0,56.1,2.0,5.0,421.8
4.0,2.0,136.2,4.0,1.0,103.0,4.0,1.0,210.9,3.0,1.0,412.2,3.0,1.0,119.7,3.0,1.0,1667.0
4.0,3.0,200.4,4.0,3.0,56.9,4.0,2.0,107.0,3.0,2.0,125.6,3.0,2.0,38.0,3.0,2.0,901.3
4.0,5.0,142.2,4.0,5.0,30.7,4.0,5.0,65.3,3.0,5.0,136.1,3.0,4.0,59.2,3.0,4.0,560.2
4.0,6.0,323.1,4.0,6.0,101.1,4.0,6.0,158.7,3.0,6.0,219.5,3.0,6.0,133.1,3.0,5.0,797.3
5.0,2.0,39.6,5.0,1.0,19.5,5.0,1.0,83.6,5.0,1.0,141.1,4.0,1.0,124.4,4.0,1.0,1612.0
5.0,3.0,88.5,5.0,3.0,13.1,5.0,2.0,37.8,5.0,2.0,56.2,4.0,2.0,57.7,4.0,2.0,912.6
5.0,4.0,117.6,5.0,4.0,21.7,5.0,4.0,57.3,5.0,3.0,109.5,4.0,3.0,107.0,4.0,3.0,607.1
5.0,6.0,177.1,5.0,6.0,38.5,5.0,6.0,91.6,5.0,6.0,110.7,4.0,6.0,115.3,4.0,5.0,628.1
6.0,2.0,420.6,6.0,1.0,324.6,6.0,1.0,551.7,6.0,1.0,924.2,6.0,1.0,224.9,5.0,1.0,924.2
6.0,3.0,604.6,6.0,3.0,251.4,6.0,2.0,299.8,6.0,2.0,453.4,6.0,2.0,132.1,5.0,2.0,414.6
6.0,4.0,607.1,6.0,4.0,295.5,6.0,4.0,278.5,6.0,3.0,397.5,6.0,3.0,224.9,5.0,3.0,694.3
6.0,5.0,361.8,6.0,5.0,129.3,6.0,5.0,271.7,6.0,5.0,283.4,6.0,4.0,232.5,5.0,4.0,630.9
