1,溝口　海義也,溝口　海義也.1,2,植田 太一,植田 太一.1,3,待鳥 雄紀,待鳥 雄紀.1,4,出畑 孝典,出畑 孝典.1,5,丸岡 正典,丸岡 正典.1,6,坂東 満,坂東 満.1
2.0,3.0,10.9,1.0,3.0,26.6,1.0,2.0,131.6,1.0,2.0,87.5,1.0,2.0,85.2,1.0,2.0,2008.0
2.0,4.0,8.0,1.0,4.0,24.3,1.0,4.0,111.2,1.0,3.0,172.5,1.0,3.0,151.2,1.0,3.0,3225.0
2.0,5.0,9.2,1.0,5.0,24.8,1.0,5.0,109.9,1.0,5.0,79.6,1.0,4.0,111.9,1.0,4.0,3320.0
2.0,6.0,84.9,1.0,6.0,175.5,1.0,6.0,495.0,1.0,6.0,306.1,1.0,6.0,331.5,1.0,5.0,3005.0
3.0,2.0,18.1,3.0,1.0,70.1,2.0,1.0,181.2,2.0,1.0,122.4,2.0,1.0,145.8,2.0,1.0,2464.0
3.0,4.0,20.6,3.0,4.0,68.6,2.0,4.0,132.4,2.0,3.0,212.2,2.0,3.0,295.4,2.0,3.0,3778.0
3.0,5.0,22.2,3.0,5.0,65.4,2.0,5.0,127.8,2.0,5.0,121.0,2.0,4.0,206.2,2.0,4.0,3186.0
3.0,6.0,143.1,3.0,6.0,255.5,2.0,6.0,449.0,2.0,6.0,421.6,2.0,6.0,500.9,2.0,5.0,3542.0
4.0,2.0,13.2,4.0,1.0,61.0,4.0,1.0,197.2,3.0,1.0,325.4,3.0,1.0,359.3,3.0,1.0,4384.0
4.0,3.0,24.6,4.0,3.0,74.7,4.0,2.0,179.9,3.0,2.0,321.6,3.0,2.0,437.4,3.0,2.0,4289.0
4.0,5.0,18.4,4.0,5.0,59.5,4.0,5.0,211.3,3.0,5.0,296.3,3.0,4.0,488.6,3.0,4.0,4508.0
4.0,6.0,125.7,4.0,6.0,249.6,4.0,6.0,705.9,3.0,6.0,968.8,3.0,6.0,1182.0,3.0,5.0,4243.0
5.0,2.0,18.5,5.0,1.0,64.2,5.0,1.0,208.3,5.0,1.0,97.9,4.0,1.0,160.9,4.0,1.0,4027.0
5.0,3.0,32.5,5.0,3.0,88.9,5.0,2.0,227.8,5.0,2.0,122.0,4.0,2.0,190.9,4.0,2.0,3465.0
5.0,4.0,30.5,5.0,4.0,83.6,5.0,4.0,323.2,5.0,3.0,262.5,4.0,3.0,343.9,4.0,3.0,4586.0
5.0,6.0,121.0,5.0,6.0,283.7,5.0,6.0,813.0,5.0,6.0,276.2,4.0,6.0,485.6,4.0,5.0,3148.0
6.0,2.0,381.8,6.0,1.0,837.9,6.0,1.0,1983.0,6.0,1.0,896.6,6.0,1.0,1021.0,5.0,1.0,3252.0
6.0,3.0,548.3,6.0,3.0,1136.0,6.0,2.0,2061.0,6.0,2.0,1092.0,6.0,2.0,1198.0,5.0,2.0,3760.0
6.0,4.0,488.0,6.0,4.0,1092.0,6.0,4.0,2116.0,6.0,3.0,1485.0,6.0,3.0,1660.0,5.0,3.0,3526.0
6.0,5.0,504.1,6.0,5.0,900.6,6.0,5.0,2375.0,6.0,5.0,911.0,6.0,4.0,1232.0,5.0,4.0,3376.0
