first,second,third,odds
5,1050,4,1737.0
5,1388,4,2182.0
5,1,1185,4.0
3,1148,2,2494.0
4,1494,3,2697.0
6,1,1659,6.0
6,1,1117,5.0
3,2,1132,2.0
3,2320,2,1508.0
4,2457,3,1667.0
5,2086,4,2336.0
