1,岡村 慶太,岡村 慶太.1,2,中越 博紀,中越 博紀.1,3,松本 弓雄,松本 弓雄.1,4,寺島 吉彦,寺島 吉彦.1,5,表 健太,表 健太.1,6,萩原 知哉,萩原 知哉.1
2.0,3.0,4.6,1.0,3.0,51.6,1.0,2.0,143.0,1.0,2.0,66.9,1.0,2.0,775.4,1.0,2.0,918.8
2.0,4.0,3.6,1.0,4.0,40.7,1.0,4.0,161.4,1.0,3.0,145.7,1.0,3.0,993.2,1.0,3.0,1219.0
2.0,5.0,29.5,1.0,5.0,194.0,1.0,5.0,376.5,1.0,5.0,154.1,1.0,4.0,729.3,1.0,4.0,1097.0
2.0,6.0,27.4,1.0,6.0,153.5,1.0,6.0,388.4,1.0,6.0,155.6,1.0,6.0,1007.0,1.0,5.0,2044.0
3.0,2.0,9.3,3.0,1.0,238.9,2.0,1.0,281.8,2.0,1.0,143.8,2.0,1.0,1409.0,2.0,1.0,1279.0
3.0,4.0,11.9,3.0,4.0,399.5,2.0,4.0,497.8,2.0,3.0,518.8,2.0,3.0,2979.0,2.0,3.0,2483.0
3.0,5.0,44.1,3.0,5.0,1185.0,2.0,5.0,1533.0,2.0,5.0,548.9,2.0,4.0,3067.0,2.0,4.0,2172.0
3.0,6.0,54.0,3.0,6.0,1152.0,2.0,6.0,1320.0,2.0,6.0,445.6,2.0,6.0,4256.0,2.0,5.0,3259.0
4.0,2.0,7.1,4.0,1.0,128.8,4.0,1.0,434.5,3.0,1.0,464.5,3.0,1.0,1381.0,3.0,1.0,2005.0
4.0,3.0,12.2,4.0,3.0,320.9,4.0,2.0,563.7,3.0,2.0,744.9,3.0,2.0,3067.0,3.0,2.0,4740.0
4.0,5.0,35.0,4.0,5.0,744.9,4.0,5.0,1279.0,3.0,5.0,1438.0,3.0,4.0,4345.0,3.0,4.0,4534.0
4.0,6.0,30.3,4.0,6.0,556.2,4.0,6.0,1249.0,3.0,6.0,1191.0,3.0,6.0,5214.0,3.0,5.0,6518.0
5.0,2.0,97.8,5.0,1.0,824.4,5.0,1.0,1152.0,5.0,1.0,326.9,4.0,1.0,906.9,4.0,1.0,1655.0
5.0,3.0,125.5,5.0,3.0,1782.0,5.0,2.0,2044.0,5.0,2.0,628.2,4.0,2.0,2343.0,4.0,2.0,2979.0
5.0,4.0,123.8,5.0,4.0,1354.0,5.0,4.0,2781.0,5.0,3.0,1345.0,4.0,3.0,2979.0,4.0,3.0,4256.0
5.0,6.0,221.9,5.0,6.0,2044.0,5.0,6.0,3023.0,5.0,6.0,544.6,4.0,6.0,2317.0,4.0,5.0,5637.0
6.0,2.0,116.2,6.0,1.0,827.7,6.0,1.0,1271.0,6.0,1.0,425.6,6.0,1.0,2044.0,5.0,1.0,3113.0
6.0,3.0,160.9,6.0,3.0,1328.0,6.0,2.0,2343.0,6.0,2.0,686.1,6.0,2.0,2818.0,5.0,2.0,5214.0
6.0,4.0,136.5,6.0,4.0,1002.0,6.0,4.0,2242.0,6.0,3.0,1320.0,6.0,3.0,3476.0,5.0,3.0,5959.0
6.0,5.0,312.7,6.0,5.0,1738.0,6.0,5.0,3364.0,6.0,5.0,910.8,6.0,4.0,3364.0,5.0,4.0,4438.0
