1,加藤 優弥,加藤 優弥.1,2,飛田 江己,飛田 江己.1,3,坂本 雄紀,坂本 雄紀.1,4,笹木 香吾,笹木 香吾.1,5,大江 純,大江 純.1,6,川原 涼,川原 涼.1
2.0,3.0,6.8,1.0,3.0,9.8,1.0,2.0,39.0,1.0,2.0,144.5,1.0,2.0,349.3,1.0,2.0,522.5
2.0,4.0,14.2,1.0,4.0,18.5,1.0,4.0,57.8,1.0,3.0,239.7,1.0,3.0,478.7,1.0,3.0,1009.0
2.0,5.0,22.6,1.0,5.0,30.8,1.0,5.0,89.5,1.0,5.0,273.2,1.0,4.0,631.1,1.0,4.0,1348.0
2.0,6.0,24.3,1.0,6.0,28.5,1.0,6.0,110.8,1.0,6.0,252.4,1.0,6.0,467.3,1.0,5.0,1223.0
3.0,2.0,11.2,3.0,1.0,20.9,2.0,1.0,47.4,2.0,1.0,185.9,2.0,1.0,408.8,2.0,1.0,641.3
3.0,4.0,19.5,3.0,4.0,31.9,2.0,4.0,70.2,2.0,3.0,270.8,2.0,3.0,632.0,2.0,3.0,878.9
3.0,5.0,37.7,3.0,5.0,58.7,2.0,5.0,115.5,2.0,5.0,292.3,2.0,4.0,717.6,2.0,4.0,1085.0
3.0,6.0,49.7,3.0,6.0,55.3,2.0,6.0,120.3,2.0,6.0,249.9,2.0,6.0,499.0,2.0,5.0,1085.0
4.0,2.0,34.4,4.0,1.0,55.8,4.0,1.0,122.4,3.0,1.0,339.7,3.0,1.0,594.8,3.0,1.0,1507.0
4.0,3.0,47.7,4.0,3.0,67.1,4.0,2.0,108.7,3.0,2.0,303.2,3.0,2.0,727.3,3.0,2.0,1090.0
4.0,5.0,95.4,4.0,5.0,131.2,4.0,5.0,192.6,3.0,5.0,468.3,3.0,4.0,986.8,3.0,4.0,1879.0
4.0,6.0,88.8,4.0,6.0,105.5,4.0,6.0,202.8,3.0,6.0,463.8,3.0,6.0,1007.0,3.0,5.0,2077.0
5.0,2.0,81.7,5.0,1.0,115.6,5.0,1.0,210.2,5.0,1.0,307.0,4.0,1.0,767.1,4.0,1.0,1964.0
5.0,3.0,108.5,5.0,3.0,151.5,5.0,2.0,247.1,5.0,2.0,287.7,4.0,2.0,703.7,4.0,2.0,1418.0
5.0,4.0,163.7,5.0,4.0,215.9,5.0,4.0,311.2,5.0,3.0,492.8,4.0,3.0,954.2,4.0,3.0,2273.0
5.0,6.0,163.9,5.0,6.0,162.6,5.0,6.0,348.4,5.0,6.0,297.4,4.0,6.0,647.1,4.0,5.0,1982.0
6.0,2.0,105.4,6.0,1.0,122.8,6.0,1.0,361.5,6.0,1.0,437.2,6.0,1.0,977.9,5.0,1.0,1816.0
6.0,3.0,168.9,6.0,3.0,172.0,6.0,2.0,286.9,6.0,2.0,383.9,6.0,2.0,859.8,5.0,2.0,1344.0
6.0,4.0,217.6,6.0,4.0,230.1,6.0,4.0,460.9,6.0,3.0,751.2,6.0,3.0,1288.0,5.0,3.0,2412.0
6.0,5.0,250.8,6.0,5.0,237.6,6.0,5.0,538.7,6.0,5.0,526.9,6.0,4.0,1088.0,5.0,4.0,1887.0
