1,大庭 元明,大庭 元明.1,2,関 裕也,関 裕也.1,3,松下 哲也,松下 哲也.1,4,香月 大介,香月 大介.1,5,今井 貴士,今井 貴士.1,6,小松 卓司,小松 卓司.1
2.0,3.0,26.6,1.0,3.0,147.6,1.0,2.0,110.4,1.0,2.0,182.4,1.0,2.0,30.4,1.0,2.0,734.3
2.0,4.0,39.5,1.0,4.0,212.4,1.0,4.0,106.8,1.0,3.0,176.9,1.0,3.0,33.3,1.0,3.0,1096.0
2.0,5.0,13.3,1.0,5.0,82.9,1.0,5.0,35.4,1.0,5.0,63.5,1.0,4.0,35.6,1.0,4.0,1065.0
2.0,6.0,66.2,1.0,6.0,228.2,1.0,6.0,103.4,1.0,6.0,164.0,1.0,6.0,28.7,1.0,5.0,352.0
3.0,2.0,25.2,3.0,1.0,322.5,2.0,1.0,254.9,2.0,1.0,437.7,2.0,1.0,84.1,2.0,1.0,1241.0
3.0,4.0,32.7,3.0,4.0,588.3,2.0,4.0,495.8,2.0,3.0,712.5,2.0,3.0,196.8,2.0,3.0,2014.0
3.0,5.0,10.7,3.0,5.0,393.4,2.0,5.0,280.2,2.0,5.0,307.0,2.0,4.0,227.4,2.0,4.0,2186.0
3.0,6.0,48.7,3.0,6.0,981.5,2.0,6.0,593.7,2.0,6.0,694.5,2.0,6.0,145.2,2.0,5.0,1102.0
4.0,2.0,48.3,4.0,1.0,519.9,4.0,1.0,177.8,3.0,1.0,275.2,3.0,1.0,73.3,3.0,1.0,1564.0
4.0,3.0,47.9,4.0,3.0,803.2,4.0,2.0,402.9,3.0,2.0,594.7,3.0,2.0,189.5,3.0,2.0,2250.0
4.0,5.0,27.0,4.0,5.0,544.2,4.0,5.0,155.7,3.0,5.0,241.2,3.0,4.0,182.8,3.0,4.0,1765.0
4.0,6.0,83.3,4.0,6.0,1155.0,4.0,6.0,346.9,3.0,6.0,538.9,3.0,6.0,116.6,3.0,5.0,1217.0
5.0,2.0,11.1,5.0,1.0,150.2,5.0,1.0,53.2,5.0,1.0,51.5,4.0,1.0,54.4,4.0,1.0,1253.0
5.0,3.0,11.4,5.0,3.0,323.8,5.0,2.0,152.3,5.0,2.0,112.0,4.0,2.0,113.4,4.0,2.0,1841.0
5.0,4.0,22.2,5.0,4.0,430.4,5.0,4.0,139.7,5.0,3.0,149.8,4.0,3.0,154.2,4.0,3.0,1983.0
5.0,6.0,19.3,5.0,6.0,351.7,5.0,6.0,112.0,5.0,6.0,69.4,4.0,6.0,67.2,4.0,5.0,624.6
6.0,2.0,184.0,6.0,1.0,853.1,6.0,1.0,463.0,6.0,1.0,320.9,6.0,1.0,58.1,5.0,1.0,353.9
6.0,3.0,177.8,6.0,3.0,1702.0,6.0,2.0,909.6,6.0,2.0,560.0,6.0,2.0,122.4,5.0,2.0,732.9
6.0,4.0,215.8,6.0,4.0,1886.0,6.0,4.0,745.6,6.0,3.0,632.8,6.0,3.0,171.0,5.0,3.0,918.3
6.0,5.0,84.5,6.0,5.0,771.1,6.0,5.0,360.6,6.0,5.0,186.7,6.0,4.0,128.3,5.0,4.0,586.5
