1,大石 真央,大石 真央.1,2,冨名腰　桃奈,冨名腰　桃奈.1,3,今井 美亜,今井 美亜.1,4,福山　恵里奈,福山　恵里奈.1,5,土屋 千明,土屋 千明.1,6,清水 愛海,清水 愛海.1
2.0,3.0,21.1,1.0,3.0,34.1,1.0,2.0,35.7,1.0,2.0,728.0,1.0,2.0,150.0,1.0,2.0,329.5
2.0,4.0,93.1,1.0,4.0,147.8,1.0,4.0,108.4,1.0,3.0,714.7,1.0,3.0,91.0,1.0,3.0,280.5
2.0,5.0,33.7,1.0,5.0,47.9,1.0,5.0,21.7,1.0,5.0,829.2,1.0,4.0,466.5,1.0,4.0,816.5
2.0,6.0,42.1,1.0,6.0,54.1,1.0,6.0,37.7,1.0,6.0,787.9,1.0,6.0,148.0,1.0,5.0,364.0
3.0,2.0,17.8,3.0,1.0,41.4,2.0,1.0,44.9,2.0,1.0,933.9,2.0,1.0,201.3,2.0,1.0,403.1
3.0,4.0,64.8,3.0,4.0,95.9,2.0,4.0,103.0,2.0,3.0,701.0,2.0,3.0,101.2,2.0,3.0,190.1
3.0,5.0,15.5,3.0,5.0,24.4,2.0,5.0,22.7,2.0,5.0,863.5,2.0,4.0,564.3,2.0,4.0,832.8
3.0,6.0,28.1,3.0,6.0,31.5,2.0,6.0,31.7,2.0,6.0,842.4,2.0,6.0,139.9,2.0,5.0,281.7
4.0,2.0,201.9,4.0,1.0,374.0,4.0,1.0,231.5,3.0,1.0,850.9,3.0,1.0,82.9,3.0,1.0,278.6
4.0,3.0,177.0,4.0,3.0,241.5,4.0,2.0,192.9,3.0,2.0,728.0,3.0,2.0,80.8,3.0,2.0,171.2
4.0,5.0,238.4,4.0,5.0,272.6,4.0,5.0,142.8,3.0,5.0,616.7,3.0,4.0,280.8,3.0,4.0,495.4
4.0,6.0,251.7,4.0,6.0,249.4,4.0,6.0,144.2,3.0,6.0,609.6,3.0,6.0,73.7,3.0,5.0,142.3
5.0,2.0,51.4,5.0,1.0,93.2,5.0,1.0,29.3,5.0,1.0,946.0,4.0,1.0,944.4,4.0,1.0,1205.0
5.0,3.0,34.8,5.0,3.0,49.6,5.0,2.0,24.9,5.0,2.0,776.4,4.0,2.0,880.4,4.0,2.0,1096.0
5.0,4.0,212.5,5.0,4.0,237.5,5.0,4.0,95.3,5.0,3.0,754.3,4.0,3.0,625.9,4.0,3.0,961.5
5.0,6.0,63.7,5.0,6.0,62.2,5.0,6.0,19.8,5.0,6.0,624.6,4.0,6.0,614.1,4.0,5.0,997.6
6.0,2.0,103.7,6.0,1.0,143.1,6.0,1.0,68.4,6.0,1.0,1038.0,6.0,1.0,188.0,5.0,1.0,372.6
6.0,3.0,85.2,6.0,3.0,84.4,6.0,2.0,51.4,6.0,2.0,1002.0,6.0,2.0,137.3,5.0,2.0,236.5
6.0,4.0,297.9,6.0,4.0,315.3,6.0,4.0,161.9,6.0,3.0,829.2,6.0,3.0,101.9,5.0,3.0,160.7
6.0,5.0,105.5,6.0,5.0,98.9,6.0,5.0,38.7,6.0,5.0,879.1,6.0,4.0,436.6,5.0,4.0,601.4
