1,吉田 宗弘,吉田 宗弘.1,2,山田 丈,山田 丈.1,3,大峯 豊,大峯 豊.1,4,早川 尚人,早川 尚人.1,5,吉武 真也,吉武 真也.1,6,中野 希一,中野 希一.1
2.0,3.0,17.0,1.0,3.0,18.1,1.0,2.0,9.5,1.0,2.0,244.8,1.0,2.0,337.9,1.0,2.0,824.3
2.0,4.0,58.6,1.0,4.0,45.1,1.0,4.0,23.2,1.0,3.0,210.1,1.0,3.0,365.4,1.0,3.0,843.0
2.0,5.0,90.4,1.0,5.0,60.7,1.0,5.0,41.2,1.0,5.0,302.1,1.0,4.0,738.2,1.0,4.0,1595.0
2.0,6.0,192.6,1.0,6.0,135.3,1.0,6.0,70.3,1.0,6.0,427.6,1.0,6.0,893.8,1.0,5.0,1787.0
3.0,2.0,16.4,3.0,1.0,14.2,2.0,1.0,8.2,2.0,1.0,236.6,2.0,1.0,386.4,2.0,1.0,910.2
3.0,4.0,36.9,3.0,4.0,18.8,2.0,4.0,11.4,2.0,3.0,129.9,2.0,3.0,233.2,2.0,3.0,529.9
3.0,5.0,78.6,3.0,5.0,28.5,2.0,5.0,20.6,2.0,5.0,298.5,2.0,4.0,620.8,2.0,4.0,1279.0
3.0,6.0,114.2,3.0,6.0,63.7,2.0,6.0,41.6,2.0,6.0,340.3,2.0,6.0,772.8,2.0,5.0,1578.0
4.0,2.0,113.0,4.0,1.0,79.5,4.0,1.0,44.7,3.0,1.0,180.9,3.0,1.0,332.6,3.0,1.0,867.7
4.0,3.0,98.7,4.0,3.0,43.0,4.0,2.0,32.9,3.0,2.0,124.8,3.0,2.0,221.4,3.0,2.0,584.1
4.0,5.0,230.4,4.0,5.0,99.1,4.0,5.0,76.4,3.0,5.0,259.4,3.0,4.0,537.6,3.0,4.0,1246.0
4.0,6.0,399.9,4.0,6.0,181.1,4.0,6.0,122.8,3.0,6.0,392.5,3.0,6.0,772.8,3.0,5.0,1630.0
5.0,2.0,191.2,5.0,1.0,108.1,5.0,1.0,102.6,5.0,1.0,440.2,4.0,1.0,915.9,4.0,1.0,1745.0
5.0,3.0,193.2,5.0,3.0,66.5,5.0,2.0,72.5,5.0,2.0,375.6,4.0,2.0,659.4,4.0,2.0,1595.0
5.0,4.0,441.6,5.0,4.0,122.2,5.0,4.0,147.4,5.0,3.0,364.5,4.0,3.0,610.6,4.0,3.0,1630.0
5.0,6.0,738.2,5.0,6.0,280.4,5.0,6.0,253.6,5.0,6.0,486.4,4.0,6.0,1091.0,4.0,5.0,1787.0
6.0,2.0,475.5,6.0,1.0,384.4,6.0,1.0,228.6,6.0,1.0,989.1,6.0,1.0,1529.0,5.0,1.0,2119.0
6.0,3.0,405.4,6.0,3.0,232.9,6.0,2.0,186.4,6.0,2.0,749.3,6.0,2.0,1150.0,5.0,2.0,1854.0
6.0,4.0,693.3,6.0,4.0,416.7,6.0,4.0,367.2,6.0,3.0,797.7,6.0,3.0,1177.0,5.0,3.0,1578.0
6.0,5.0,989.1,6.0,5.0,494.5,6.0,5.0,395.6,6.0,5.0,1016.0,6.0,4.0,1399.0,5.0,4.0,1952.0
