1,外崎 悟,外崎 悟.1,2,富永 大一,富永 大一.1,3,向井田　直弥,向井田　直弥.1,4,麻生 慎介,麻生 慎介.1,5,内堀 学,内堀 学.1,6,島川 海輝,島川 海輝.1
2.0,3.0,13.7,1.0,3.0,45.5,1.0,2.0,79.6,1.0,2.0,33.5,1.0,2.0,238.3,1.0,2.0,308.9
2.0,4.0,8.6,1.0,4.0,25.7,1.0,4.0,48.0,1.0,3.0,56.0,1.0,3.0,394.2,1.0,3.0,349.2
2.0,5.0,34.9,1.0,5.0,63.7,1.0,5.0,125.7,1.0,5.0,62.6,1.0,4.0,201.8,1.0,4.0,233.5
2.0,6.0,32.6,1.0,6.0,80.3,1.0,6.0,117.4,1.0,6.0,53.3,1.0,6.0,381.3,1.0,5.0,695.9
3.0,2.0,17.4,3.0,1.0,118.6,2.0,1.0,127.3,2.0,1.0,76.3,2.0,1.0,312.4,2.0,1.0,409.6
3.0,4.0,12.7,3.0,4.0,123.1,2.0,4.0,109.0,2.0,3.0,184.6,2.0,3.0,731.0,2.0,3.0,622.9
3.0,5.0,51.7,3.0,5.0,256.7,2.0,5.0,230.5,2.0,5.0,168.2,2.0,4.0,384.6,2.0,4.0,428.8
3.0,6.0,35.0,3.0,6.0,327.1,2.0,6.0,298.0,2.0,6.0,177.9,2.0,6.0,657.8,2.0,5.0,1087.0
4.0,2.0,10.0,4.0,1.0,65.3,4.0,1.0,68.4,3.0,1.0,98.5,3.0,1.0,598.0,3.0,1.0,540.8
4.0,3.0,13.4,4.0,3.0,133.9,4.0,2.0,112.2,3.0,2.0,185.3,3.0,2.0,775.9,3.0,2.0,842.3
4.0,5.0,31.7,4.0,5.0,152.4,4.0,5.0,131.9,3.0,5.0,205.7,3.0,4.0,593.6,3.0,4.0,558.6
4.0,6.0,23.5,4.0,6.0,189.5,4.0,6.0,117.6,3.0,6.0,155.3,3.0,6.0,1020.0,3.0,5.0,1549.0
5.0,2.0,87.5,5.0,1.0,188.7,5.0,1.0,274.3,5.0,1.0,119.3,4.0,1.0,229.6,4.0,1.0,287.4
5.0,3.0,121.7,5.0,3.0,432.9,5.0,2.0,356.0,5.0,2.0,187.9,4.0,2.0,328.2,4.0,2.0,443.1
5.0,4.0,82.4,5.0,4.0,242.9,5.0,4.0,261.9,5.0,3.0,269.8,4.0,3.0,559.9,4.0,3.0,536.1
5.0,6.0,143.1,5.0,6.0,466.1,5.0,6.0,477.4,5.0,6.0,173.8,4.0,6.0,370.2,4.0,5.0,862.9
6.0,2.0,79.4,6.0,1.0,362.3,6.0,1.0,294.1,6.0,1.0,109.7,6.0,1.0,672.2,5.0,1.0,987.4
6.0,3.0,91.8,6.0,3.0,648.3,6.0,2.0,487.8,6.0,2.0,222.2,6.0,2.0,921.0,5.0,2.0,1554.0
6.0,4.0,69.0,6.0,4.0,402.2,6.0,4.0,284.0,6.0,3.0,262.9,6.0,3.0,1376.0,5.0,3.0,1909.0
6.0,5.0,169.0,6.0,5.0,762.7,6.0,5.0,673.1,6.0,5.0,269.4,6.0,4.0,687.2,5.0,4.0,1112.0
