1,石田 豪,石田 豪.1,2,乙津 康志,乙津 康志.1,3,森 晋太郎,森 晋太郎.1,4,角浜 修,角浜 修.1,5,中渡 修作,中渡 修作.1,6,松尾 宣邦,松尾 宣邦.1
2.0,3.0,22.4,1.0,3.0,71.1,1.0,2.0,36.3,1.0,2.0,153.2,1.0,2.0,341.5,1.0,2.0,602.6
2.0,4.0,24.3,1.0,4.0,114.7,1.0,4.0,18.8,1.0,3.0,67.5,1.0,3.0,185.5,1.0,3.0,515.9
2.0,5.0,54.6,1.0,5.0,151.3,1.0,5.0,24.7,1.0,5.0,81.5,1.0,4.0,240.2,1.0,4.0,620.9
2.0,6.0,62.4,1.0,6.0,165.8,1.0,6.0,32.3,1.0,6.0,124.5,1.0,6.0,303.2,1.0,5.0,783.8
3.0,2.0,16.6,3.0,1.0,140.0,2.0,1.0,75.8,2.0,1.0,263.6,2.0,1.0,555.9,2.0,1.0,1138.0
3.0,4.0,10.3,3.0,4.0,220.3,2.0,4.0,98.1,2.0,3.0,261.2,2.0,3.0,543.3,2.0,3.0,902.1
3.0,5.0,17.5,3.0,5.0,276.9,2.0,5.0,115.3,2.0,5.0,314.5,2.0,4.0,643.2,2.0,4.0,1434.0
3.0,6.0,32.7,3.0,6.0,301.9,2.0,6.0,86.8,2.0,6.0,323.7,2.0,6.0,706.6,2.0,5.0,1593.0
4.0,2.0,40.6,4.0,1.0,269.6,4.0,1.0,23.3,3.0,1.0,62.9,3.0,1.0,188.7,3.0,1.0,566.9
4.0,3.0,22.7,4.0,3.0,278.5,4.0,2.0,70.6,3.0,2.0,144.4,3.0,2.0,318.0,3.0,2.0,731.8
4.0,5.0,41.8,4.0,5.0,418.1,4.0,5.0,18.0,3.0,5.0,46.3,3.0,4.0,142.4,3.0,4.0,441.3
4.0,6.0,81.1,4.0,6.0,428.1,4.0,6.0,29.5,3.0,6.0,61.8,3.0,6.0,194.1,3.0,5.0,382.5
5.0,2.0,122.9,5.0,1.0,389.7,5.0,1.0,52.5,5.0,1.0,119.4,4.0,1.0,282.3,4.0,1.0,679.8
5.0,3.0,59.9,5.0,3.0,415.7,5.0,2.0,97.5,5.0,2.0,225.8,4.0,2.0,514.1,4.0,2.0,1129.0
5.0,4.0,103.8,5.0,4.0,618.2,5.0,4.0,38.4,5.0,3.0,79.8,4.0,3.0,179.9,4.0,3.0,461.2
5.0,6.0,156.5,5.0,6.0,731.8,5.0,6.0,53.3,5.0,6.0,124.5,4.0,6.0,321.6,4.0,5.0,503.3
6.0,2.0,119.0,6.0,1.0,510.4,6.0,1.0,113.5,6.0,1.0,239.8,6.0,1.0,555.9,5.0,1.0,996.1
6.0,3.0,93.0,6.0,3.0,505.0,6.0,2.0,134.8,6.0,2.0,339.9,6.0,2.0,683.0,5.0,2.0,1280.0
6.0,4.0,213.4,6.0,4.0,949.9,6.0,4.0,96.3,6.0,3.0,165.0,6.0,3.0,340.7,5.0,3.0,482.9
6.0,5.0,182.0,6.0,5.0,739.3,6.0,5.0,105.5,6.0,5.0,205.2,6.0,4.0,441.3,5.0,4.0,717.2
