1,山崎 昂介,山崎 昂介.1,2,木下 翔太,木下 翔太.1,3,津留　浩一郎,津留　浩一郎.1,4,山本 兼士,山本 兼士.1,5,品川 賢次,品川 賢次.1,6,磯村 匠,磯村 匠.1
2.0,3.0,7.3,1.0,3.0,9.0,1.0,2.0,49.0,1.0,2.0,349.7,1.0,2.0,303.8,1.0,2.0,49.8
2.0,4.0,24.2,1.0,4.0,33.0,1.0,4.0,143.3,1.0,3.0,672.2,1.0,3.0,461.7,1.0,3.0,87.0
2.0,5.0,29.2,1.0,5.0,37.4,1.0,5.0,156.6,1.0,5.0,629.8,1.0,4.0,810.9,1.0,4.0,263.7
2.0,6.0,13.7,1.0,6.0,17.5,1.0,6.0,89.3,1.0,6.0,491.4,1.0,6.0,400.4,1.0,5.0,230.0
3.0,2.0,15.1,3.0,1.0,17.9,2.0,1.0,47.8,2.0,1.0,381.6,2.0,1.0,338.7,2.0,1.0,54.3
3.0,4.0,65.1,3.0,4.0,58.8,2.0,4.0,79.9,2.0,3.0,450.5,2.0,3.0,436.8,2.0,3.0,74.7
3.0,5.0,56.1,3.0,5.0,72.4,2.0,5.0,88.8,2.0,5.0,561.6,2.0,4.0,668.7,2.0,4.0,189.9
3.0,6.0,29.8,3.0,6.0,22.4,2.0,6.0,48.9,2.0,6.0,364.4,2.0,6.0,286.4,2.0,5.0,170.0
4.0,2.0,82.4,4.0,1.0,122.5,4.0,1.0,311.1,3.0,1.0,982.9,3.0,1.0,485.9,3.0,1.0,163.6
4.0,3.0,141.7,4.0,3.0,118.9,4.0,2.0,181.7,3.0,2.0,693.8,3.0,2.0,645.4,3.0,2.0,118.9
4.0,5.0,209.2,4.0,5.0,241.6,4.0,5.0,409.2,3.0,5.0,1046.0,3.0,4.0,1072.0,3.0,4.0,512.8
4.0,6.0,153.5,4.0,6.0,127.8,4.0,6.0,299.6,3.0,6.0,853.5,3.0,6.0,697.5,3.0,5.0,471.7
5.0,2.0,118.2,5.0,1.0,129.3,5.0,1.0,317.2,5.0,1.0,642.3,4.0,1.0,920.1,4.0,1.0,639.1
5.0,3.0,153.9,5.0,3.0,151.9,5.0,2.0,261.5,5.0,2.0,606.2,4.0,2.0,882.6,4.0,2.0,435.3
5.0,4.0,296.8,5.0,4.0,265.3,5.0,4.0,502.8,5.0,3.0,870.7,4.0,3.0,1457.0,4.0,3.0,821.1
5.0,6.0,182.4,5.0,6.0,131.8,5.0,6.0,376.0,5.0,6.0,521.0,4.0,6.0,894.7,4.0,5.0,975.5
6.0,2.0,39.5,6.0,1.0,44.9,6.0,1.0,161.5,6.0,1.0,693.8,6.0,1.0,315.6,5.0,1.0,393.1
6.0,3.0,65.1,6.0,3.0,62.4,6.0,2.0,105.0,6.0,2.0,523.1,6.0,2.0,239.8,5.0,2.0,256.9
6.0,4.0,165.0,6.0,4.0,141.0,6.0,4.0,364.4,6.0,3.0,1013.0,6.0,3.0,448.9,5.0,3.0,579.2
6.0,5.0,173.4,6.0,5.0,133.7,6.0,5.0,376.0,6.0,5.0,842.4,6.0,4.0,595.1,5.0,4.0,603.4
