1,木山 和幸,木山 和幸.1,2,大田 直弥,大田 直弥.1,3,川原 正明,川原 正明.1,4,石原 翼,石原 翼.1,5,加藤 優弥,加藤 優弥.1,6,丸岡 正典,丸岡 正典.1
2.0,3.0,27.8,1.0,3.0,102.5,1.0,2.0,74.6,1.0,2.0,70.7,1.0,2.0,918.1,1.0,2.0,176.9
2.0,4.0,23.3,1.0,4.0,84.3,1.0,4.0,49.9,1.0,3.0,58.3,1.0,3.0,653.7,1.0,3.0,129.0
2.0,5.0,96.0,1.0,5.0,290.8,1.0,5.0,132.9,1.0,5.0,130.3,1.0,4.0,693.7,1.0,4.0,96.3
2.0,6.0,27.4,1.0,6.0,81.5,1.0,6.0,38.7,1.0,6.0,31.3,1.0,6.0,541.3,1.0,5.0,337.4
3.0,2.0,24.5,3.0,1.0,221.0,2.0,1.0,168.0,2.0,1.0,145.5,2.0,1.0,1440.0,2.0,1.0,337.1
3.0,4.0,12.2,3.0,4.0,198.3,2.0,4.0,150.8,2.0,3.0,218.1,2.0,3.0,1474.0,2.0,3.0,401.0
3.0,5.0,50.4,3.0,5.0,565.8,2.0,5.0,343.3,2.0,5.0,381.4,2.0,4.0,1457.0,2.0,4.0,227.7
3.0,6.0,14.0,3.0,6.0,182.6,2.0,6.0,106.0,2.0,6.0,99.9,2.0,6.0,1061.0,2.0,5.0,755.2
4.0,2.0,22.0,4.0,1.0,145.8,4.0,1.0,53.3,3.0,1.0,90.3,3.0,1.0,817.9,3.0,1.0,177.1
4.0,3.0,17.7,4.0,3.0,222.0,4.0,2.0,113.6,3.0,2.0,156.4,3.0,2.0,1131.0,3.0,2.0,305.3
4.0,5.0,65.5,4.0,5.0,553.3,4.0,5.0,150.6,3.0,5.0,205.9,3.0,4.0,847.5,3.0,4.0,113.5
4.0,6.0,14.2,4.0,6.0,121.6,4.0,6.0,28.6,3.0,6.0,48.5,3.0,6.0,702.8,3.0,5.0,530.6
5.0,2.0,197.7,5.0,1.0,909.2,5.0,1.0,348.1,5.0,1.0,231.6,4.0,1.0,679.8,4.0,1.0,99.7
5.0,3.0,154.4,5.0,3.0,1142.0,5.0,2.0,500.1,5.0,2.0,349.4,4.0,2.0,896.2,4.0,2.0,150.3
5.0,4.0,186.8,5.0,4.0,1089.0,5.0,4.0,317.7,5.0,3.0,321.8,4.0,3.0,941.2,4.0,3.0,103.5
5.0,6.0,186.1,5.0,6.0,849.4,5.0,6.0,215.9,5.0,6.0,131.6,4.0,6.0,416.7,4.0,5.0,249.4
6.0,2.0,43.5,6.0,1.0,169.9,6.0,1.0,52.4,6.0,1.0,40.8,6.0,1.0,674.9,5.0,1.0,682.3
6.0,3.0,27.5,6.0,3.0,251.2,6.0,2.0,110.5,6.0,2.0,65.4,6.0,2.0,965.5,5.0,2.0,909.2
6.0,4.0,27.1,6.0,4.0,154.2,6.0,4.0,36.1,6.0,3.0,44.7,6.0,3.0,821.5,5.0,3.0,853.3
6.0,5.0,124.0,6.0,5.0,598.4,6.0,5.0,160.0,6.0,5.0,92.4,6.0,4.0,498.1,5.0,4.0,465.9
