1,中田 竜太,中田 竜太.1,2,下條　雄太郎,下條　雄太郎.1,3,君島 秀三,君島 秀三.1,4,白神 優,白神 優.1,5,瓜生 正義,瓜生 正義.1,6,永井 彪也,永井 彪也.1
2.0,3.0,8.8,1.0,3.0,20.0,1.0,2.0,103.2,1.0,2.0,284.3,1.0,2.0,54.0,1.0,2.0,1370.0
2.0,4.0,14.8,1.0,4.0,40.1,1.0,4.0,162.6,1.0,3.0,483.9,1.0,3.0,102.5,1.0,3.0,1958.0
2.0,5.0,7.4,1.0,5.0,14.2,1.0,5.0,87.0,1.0,5.0,282.8,1.0,4.0,168.3,1.0,4.0,1356.0
2.0,6.0,33.3,1.0,6.0,72.4,1.0,6.0,254.0,1.0,6.0,489.8,1.0,6.0,147.3,1.0,5.0,1182.0
3.0,2.0,14.8,3.0,1.0,55.2,2.0,1.0,123.2,2.0,1.0,360.2,2.0,1.0,73.9,2.0,1.0,1805.0
3.0,4.0,30.3,3.0,4.0,118.3,2.0,4.0,208.8,2.0,3.0,667.2,2.0,3.0,118.7,2.0,3.0,2951.0
3.0,5.0,17.3,3.0,5.0,40.5,2.0,5.0,91.7,2.0,5.0,335.4,2.0,4.0,216.8,2.0,4.0,2399.0
3.0,6.0,61.4,3.0,6.0,204.4,2.0,6.0,285.2,2.0,6.0,668.3,2.0,6.0,184.8,2.0,5.0,1312.0
4.0,2.0,32.9,4.0,1.0,116.4,4.0,1.0,368.2,3.0,1.0,795.2,3.0,1.0,226.7,3.0,1.0,2962.0
4.0,3.0,54.9,4.0,3.0,186.6,4.0,2.0,420.3,3.0,2.0,953.7,3.0,2.0,185.6,3.0,2.0,3383.0
4.0,5.0,44.6,4.0,5.0,107.4,4.0,5.0,368.4,3.0,5.0,856.7,3.0,4.0,571.9,3.0,4.0,3642.0
4.0,6.0,101.9,4.0,6.0,278.8,4.0,6.0,731.2,3.0,6.0,1336.0,3.0,6.0,509.6,3.0,5.0,3028.0
5.0,2.0,13.7,5.0,1.0,33.2,5.0,1.0,144.3,5.0,1.0,384.9,4.0,1.0,347.5,4.0,1.0,2330.0
5.0,3.0,25.9,5.0,3.0,47.7,5.0,2.0,128.4,5.0,2.0,360.5,4.0,2.0,339.8,4.0,2.0,2973.0
5.0,4.0,46.8,5.0,4.0,94.5,5.0,4.0,291.9,5.0,3.0,715.0,4.0,3.0,632.8,4.0,3.0,4064.0
5.0,6.0,57.8,5.0,6.0,109.4,5.0,6.0,351.4,5.0,6.0,531.3,4.0,6.0,454.3,4.0,5.0,2291.0
6.0,2.0,145.5,6.0,1.0,355.9,6.0,1.0,1048.0,6.0,1.0,1055.0,6.0,1.0,406.6,5.0,1.0,1660.0
6.0,3.0,248.9,6.0,3.0,641.8,6.0,2.0,1192.0,6.0,2.0,1298.0,6.0,2.0,395.2,5.0,2.0,1356.0
6.0,4.0,253.1,6.0,4.0,726.6,6.0,4.0,1674.0,6.0,3.0,2042.0,6.0,3.0,708.1,5.0,3.0,2760.0
6.0,5.0,175.9,6.0,5.0,371.8,6.0,5.0,1124.0,6.0,5.0,1123.0,6.0,4.0,651.6,5.0,4.0,2392.0
