1,長岡 良也,長岡 良也.1,2,榎 幸司,榎 幸司.1,3,山ノ内　雅人,山ノ内　雅人.1,4,鈴木 賢一,鈴木 賢一.1,5,吉村 誠,吉村 誠.1,6,森 智也,森 智也.1
2.0,3.0,5.6,1.0,3.0,43.5,1.0,2.0,36.9,1.0,2.0,265.3,1.0,2.0,170.9,1.0,2.0,969.8
2.0,4.0,18.0,1.0,4.0,112.5,1.0,4.0,55.7,1.0,3.0,271.6,1.0,3.0,126.7,1.0,3.0,1004.0
2.0,5.0,12.2,1.0,5.0,80.8,1.0,5.0,32.0,1.0,5.0,280.1,1.0,4.0,335.4,1.0,4.0,1840.0
2.0,6.0,26.4,1.0,6.0,111.2,1.0,6.0,64.5,1.0,6.0,286.4,1.0,6.0,226.7,1.0,5.0,1604.0
3.0,2.0,5.8,3.0,1.0,91.6,2.0,1.0,86.2,2.0,1.0,525.6,2.0,1.0,414.1,2.0,1.0,1652.0
3.0,4.0,13.9,3.0,4.0,446.0,2.0,4.0,281.8,2.0,3.0,762.3,2.0,3.0,566.4,2.0,3.0,2975.0
3.0,5.0,7.5,3.0,5.0,246.6,2.0,5.0,188.2,2.0,5.0,881.9,2.0,4.0,1081.0,2.0,4.0,2676.0
3.0,6.0,21.5,3.0,6.0,360.1,2.0,6.0,257.2,2.0,6.0,667.6,2.0,6.0,818.3,2.0,5.0,3175.0
4.0,2.0,43.6,4.0,1.0,446.4,4.0,1.0,154.8,3.0,1.0,404.3,3.0,1.0,201.6,3.0,1.0,1643.0
4.0,3.0,41.0,4.0,3.0,765.2,4.0,2.0,287.4,3.0,2.0,729.6,3.0,2.0,444.8,3.0,2.0,1921.0
4.0,5.0,63.3,4.0,5.0,969.8,4.0,5.0,220.7,3.0,5.0,656.9,3.0,4.0,675.7,3.0,4.0,2712.0
4.0,6.0,89.6,4.0,6.0,904.0,4.0,6.0,332.9,3.0,6.0,724.5,3.0,6.0,502.4,3.0,5.0,2422.0
5.0,2.0,30.0,5.0,1.0,270.6,5.0,1.0,95.3,5.0,1.0,408.3,4.0,1.0,739.3,4.0,1.0,2824.0
5.0,3.0,22.9,5.0,3.0,384.0,5.0,2.0,188.8,5.0,2.0,630.5,4.0,2.0,1118.0,4.0,2.0,3424.0
5.0,4.0,78.6,5.0,4.0,854.8,5.0,4.0,258.7,5.0,3.0,747.4,4.0,3.0,1176.0,4.0,3.0,3127.0
5.0,6.0,65.5,5.0,6.0,698.9,5.0,6.0,228.9,5.0,6.0,488.0,4.0,6.0,945.8,4.0,5.0,3331.0
6.0,2.0,114.9,6.0,1.0,650.6,6.0,1.0,357.6,6.0,1.0,844.2,6.0,1.0,548.2,5.0,1.0,1977.0
6.0,3.0,111.5,6.0,3.0,1006.0,6.0,2.0,604.4,6.0,2.0,1003.0,6.0,2.0,1154.0,5.0,2.0,3019.0
6.0,4.0,202.4,6.0,4.0,1312.0,6.0,4.0,783.8,6.0,3.0,1274.0,6.0,3.0,799.1,5.0,3.0,2330.0
6.0,5.0,151.4,6.0,5.0,1132.0,6.0,5.0,533.9,6.0,5.0,1021.0,6.0,4.0,1405.0,5.0,4.0,3019.0
