1,中井 俊祐,中井 俊祐.1,2,石川 真二,石川 真二.1,3,大場 広孝,大場 広孝.1,4,原田 秀弥,原田 秀弥.1,5,國分　将太郎,國分　将太郎.1,6,峰重 侑治,峰重 侑治.1
2.0,3.0,32.1,1.0,3.0,15.1,1.0,2.0,140.7,1.0,2.0,145.0,1.0,2.0,339.7,1.0,2.0,205.7
2.0,4.0,39.0,1.0,4.0,17.4,1.0,4.0,159.2,1.0,3.0,200.0,1.0,3.0,686.6,1.0,3.0,327.9
2.0,5.0,61.1,1.0,5.0,33.9,1.0,5.0,290.4,1.0,5.0,268.3,1.0,4.0,673.5,1.0,4.0,349.7
2.0,6.0,74.2,1.0,6.0,30.9,1.0,6.0,205.4,1.0,6.0,194.3,1.0,6.0,716.6,1.0,5.0,516.8
3.0,2.0,65.8,3.0,1.0,19.9,2.0,1.0,100.9,2.0,1.0,98.1,2.0,1.0,370.1,2.0,1.0,131.2
3.0,4.0,89.3,3.0,4.0,12.0,2.0,4.0,49.9,2.0,3.0,64.0,2.0,3.0,494.6,2.0,3.0,114.7
3.0,5.0,142.2,3.0,5.0,32.0,2.0,5.0,120.7,2.0,5.0,108.6,2.0,4.0,464.9,2.0,4.0,111.0
3.0,6.0,113.7,3.0,6.0,17.9,2.0,6.0,69.2,2.0,6.0,61.0,2.0,6.0,468.0,2.0,5.0,284.6
4.0,2.0,90.5,4.0,1.0,23.5,4.0,1.0,139.8,3.0,1.0,207.9,3.0,1.0,816.8,3.0,1.0,548.7
4.0,3.0,118.0,4.0,3.0,17.2,4.0,2.0,61.9,3.0,2.0,86.4,3.0,2.0,624.2,3.0,2.0,256.3
4.0,5.0,184.1,4.0,5.0,36.7,4.0,5.0,127.2,3.0,5.0,143.7,3.0,4.0,615.2,3.0,4.0,327.7
4.0,6.0,127.6,4.0,6.0,18.1,4.0,6.0,78.7,3.0,6.0,96.1,3.0,6.0,727.6,3.0,5.0,557.3
5.0,2.0,157.4,5.0,1.0,76.3,5.0,1.0,346.9,5.0,1.0,258.1,4.0,1.0,674.6,4.0,1.0,440.9
5.0,3.0,253.6,5.0,3.0,85.6,5.0,2.0,234.1,5.0,2.0,152.4,4.0,2.0,425.9,4.0,2.0,188.5
5.0,4.0,233.7,5.0,4.0,82.7,5.0,4.0,233.7,5.0,3.0,212.7,4.0,3.0,560.2,4.0,3.0,300.0
5.0,6.0,286.5,5.0,6.0,92.0,5.0,6.0,294.2,5.0,6.0,138.1,4.0,6.0,433.7,4.0,5.0,411.1
6.0,2.0,176.2,6.0,1.0,50.3,6.0,1.0,272.2,6.0,1.0,222.0,6.0,1.0,1024.0,5.0,1.0,998.5
6.0,3.0,256.0,6.0,3.0,38.2,6.0,2.0,151.2,6.0,2.0,100.9,6.0,2.0,673.5,5.0,2.0,579.3
6.0,4.0,244.9,6.0,4.0,33.4,6.0,4.0,172.2,6.0,3.0,139.0,6.0,3.0,847.6,5.0,3.0,804.5
6.0,5.0,364.1,6.0,5.0,82.3,6.0,5.0,377.3,6.0,5.0,164.3,6.0,4.0,670.4,5.0,4.0,652.9
