1,荒井 輝年,荒井 輝年.1,2,板倉 敦史,板倉 敦史.1,3,田村 慶,田村 慶.1,4,大場 広孝,大場 広孝.1,5,國弘 翔平,國弘 翔平.1,6,岡村 将也,岡村 将也.1
2.0,3.0,11.2,1.0,3.0,105.6,1.0,2.0,57.0,1.0,2.0,184.7,1.0,2.0,294.1,1.0,2.0,430.6
2.0,4.0,15.6,1.0,4.0,133.4,1.0,4.0,36.5,1.0,3.0,136.3,1.0,3.0,175.6,1.0,3.0,377.4
2.0,5.0,29.3,1.0,5.0,212.5,1.0,5.0,39.5,1.0,5.0,169.4,1.0,4.0,256.8,1.0,4.0,412.9
2.0,6.0,24.0,1.0,6.0,156.6,1.0,6.0,38.1,1.0,6.0,116.8,1.0,6.0,202.0,1.0,5.0,517.9
3.0,2.0,10.4,3.0,1.0,207.5,2.0,1.0,160.6,2.0,1.0,479.9,2.0,1.0,637.6,2.0,1.0,792.1
3.0,4.0,8.0,3.0,4.0,565.8,2.0,4.0,262.3,2.0,3.0,801.2,2.0,3.0,1011.0,2.0,3.0,1427.0
3.0,5.0,12.3,3.0,5.0,642.0,2.0,5.0,303.0,2.0,5.0,841.9,2.0,4.0,1228.0,2.0,4.0,1358.0
3.0,6.0,11.8,3.0,6.0,521.7,2.0,6.0,258.9,2.0,6.0,627.7,2.0,6.0,1061.0,2.0,5.0,1694.0
4.0,2.0,24.9,4.0,1.0,420.3,4.0,1.0,79.6,3.0,1.0,210.8,3.0,1.0,261.8,3.0,1.0,506.7
4.0,3.0,19.0,4.0,3.0,776.8,4.0,2.0,197.7,3.0,2.0,581.0,3.0,2.0,721.0,3.0,2.0,1442.0
4.0,5.0,31.4,4.0,5.0,1026.0,4.0,5.0,123.7,3.0,5.0,328.5,3.0,4.0,541.8,3.0,4.0,1111.0
4.0,6.0,25.8,4.0,6.0,743.9,4.0,6.0,102.4,3.0,6.0,289.3,3.0,6.0,392.2,3.0,5.0,934.2
5.0,2.0,54.5,5.0,1.0,650.9,5.0,1.0,97.2,5.0,1.0,239.5,4.0,1.0,424.1,4.0,1.0,652.4
5.0,3.0,30.6,5.0,3.0,937.4,5.0,2.0,252.8,5.0,2.0,627.7,4.0,2.0,1107.0,4.0,2.0,1272.0
5.0,4.0,55.2,5.0,4.0,1261.0,5.0,4.0,164.0,5.0,3.0,512.2,4.0,3.0,734.2,4.0,3.0,1206.0
5.0,6.0,43.9,5.0,6.0,983.2,5.0,6.0,117.7,5.0,6.0,276.2,4.0,6.0,547.1,4.0,5.0,993.7
6.0,2.0,56.4,6.0,1.0,598.3,6.0,1.0,144.8,6.0,1.0,211.2,6.0,1.0,410.5,5.0,1.0,785.5
6.0,3.0,41.6,6.0,3.0,1143.0,6.0,2.0,315.2,6.0,2.0,629.1,6.0,2.0,836.9,5.0,2.0,1562.0
6.0,4.0,52.7,6.0,4.0,1073.0,6.0,4.0,234.1,6.0,3.0,471.0,6.0,3.0,565.8,5.0,3.0,943.6
6.0,5.0,67.9,6.0,5.0,1352.0,6.0,5.0,204.3,6.0,5.0,358.2,6.0,4.0,587.1,5.0,4.0,1107.0
