1,三角 哲男,三角 哲男.1,2,宮内　由紀英,宮内　由紀英.1,3,樫葉 次郎,樫葉 次郎.1,4,村上 功祐,村上 功祐.1,5,橋本 英一,橋本 英一.1,6,木場　雄二郎,木場　雄二郎.1
2.0,3.0,8.7,1.0,3.0,80.2,1.0,2.0,276.0,1.0,2.0,37.1,1.0,2.0,160.6,1.0,2.0,965.1
2.0,4.0,5.5,1.0,4.0,42.2,1.0,4.0,217.1,1.0,3.0,95.3,1.0,3.0,334.0,1.0,3.0,1628.0
2.0,5.0,15.7,1.0,5.0,86.3,1.0,5.0,380.5,1.0,5.0,45.3,1.0,4.0,125.2,1.0,4.0,832.5
2.0,6.0,35.0,1.0,6.0,201.3,1.0,6.0,611.3,1.0,6.0,100.8,1.0,6.0,342.9,1.0,5.0,1145.0
3.0,2.0,17.7,3.0,1.0,272.4,2.0,1.0,473.9,2.0,1.0,105.0,2.0,1.0,356.9,2.0,1.0,1482.0
3.0,4.0,16.0,3.0,4.0,450.3,2.0,4.0,670.4,2.0,3.0,418.0,2.0,3.0,1359.0,2.0,3.0,3739.0
3.0,5.0,31.1,3.0,5.0,841.3,2.0,5.0,1315.0,2.0,5.0,248.8,2.0,4.0,590.2,2.0,4.0,2704.0
3.0,6.0,56.1,3.0,6.0,1628.0,2.0,6.0,1978.0,2.0,6.0,548.3,2.0,6.0,1446.0,2.0,5.0,3108.0
4.0,2.0,6.3,4.0,1.0,132.7,4.0,1.0,424.7,3.0,1.0,302.4,3.0,1.0,691.7,3.0,1.0,2735.0
4.0,3.0,13.2,4.0,3.0,487.4,4.0,2.0,779.6,3.0,2.0,508.7,3.0,2.0,1606.0,3.0,2.0,4432.0
4.0,5.0,13.1,4.0,5.0,474.9,4.0,5.0,1256.0,3.0,5.0,702.9,3.0,4.0,1554.0,3.0,4.0,3769.0
4.0,6.0,25.7,4.0,6.0,894.7,4.0,6.0,1455.0,3.0,6.0,963.1,3.0,6.0,2866.0,3.0,5.0,5502.0
5.0,2.0,32.6,5.0,1.0,377.5,5.0,1.0,969.0,5.0,1.0,79.4,4.0,1.0,181.7,4.0,1.0,1208.0
5.0,3.0,54.5,5.0,3.0,1173.0,5.0,2.0,1945.0,5.0,2.0,175.8,4.0,2.0,333.8,4.0,2.0,2519.0
5.0,4.0,31.0,5.0,4.0,750.3,5.0,4.0,1806.0,5.0,3.0,437.5,4.0,3.0,784.7,4.0,3.0,3149.0
5.0,6.0,63.8,5.0,6.0,1544.0,5.0,6.0,2312.0,5.0,6.0,197.4,4.0,6.0,567.1,4.0,5.0,2480.0
6.0,2.0,88.6,6.0,1.0,1022.0,6.0,1.0,1734.0,6.0,1.0,239.4,6.0,1.0,758.6,5.0,1.0,1728.0
6.0,3.0,139.7,6.0,3.0,2799.0,6.0,2.0,2883.0,6.0,2.0,563.1,6.0,2.0,2028.0,5.0,2.0,3419.0
6.0,4.0,77.0,6.0,4.0,1994.0,6.0,4.0,2206.0,6.0,3.0,955.4,6.0,3.0,2973.0,5.0,3.0,5203.0
6.0,5.0,111.9,6.0,5.0,2918.0,6.0,5.0,3419.0,6.0,5.0,359.6,6.0,4.0,1326.0,5.0,4.0,2630.0
