1,原村 拓也,原村 拓也.1,2,草場 康幸,草場 康幸.1,3,川島 拓郎,川島 拓郎.1,4,出本 正博,出本 正博.1,5,富永 大一,富永 大一.1,6,中辻 崇人,中辻 崇人.1
2.0,3.0,20.8,1.0,3.0,34.1,1.0,2.0,52.1,1.0,2.0,625.3,1.0,2.0,152.3,1.0,2.0,22.1
2.0,4.0,107.0,1.0,4.0,154.0,1.0,4.0,286.8,1.0,3.0,1158.0,1.0,3.0,225.4,1.0,3.0,44.5
2.0,5.0,39.7,1.0,5.0,53.6,1.0,5.0,72.6,1.0,5.0,1167.0,1.0,4.0,830.3,1.0,4.0,172.7
2.0,6.0,18.0,1.0,6.0,21.9,1.0,6.0,42.5,1.0,6.0,766.4,1.0,6.0,106.4,1.0,5.0,50.7
3.0,2.0,24.3,3.0,1.0,50.7,2.0,1.0,60.2,2.0,1.0,849.1,2.0,1.0,187.7,2.0,1.0,23.2
3.0,4.0,118.3,3.0,4.0,238.7,2.0,4.0,315.9,2.0,3.0,1009.0,2.0,3.0,247.4,2.0,3.0,35.1
3.0,5.0,38.6,3.0,5.0,90.6,2.0,5.0,78.4,2.0,5.0,1059.0,2.0,4.0,996.3,2.0,4.0,150.0
3.0,6.0,22.4,3.0,6.0,46.4,2.0,6.0,46.5,2.0,6.0,641.4,2.0,6.0,129.1,2.0,5.0,47.9
4.0,2.0,218.8,4.0,1.0,336.6,4.0,1.0,428.2,3.0,1.0,1149.0,3.0,1.0,236.1,3.0,1.0,64.7
4.0,3.0,272.7,4.0,3.0,474.4,4.0,2.0,503.2,3.0,2.0,1030.0,3.0,2.0,251.6,3.0,2.0,55.3
4.0,5.0,355.0,4.0,5.0,572.6,4.0,5.0,543.4,3.0,5.0,1437.0,3.0,4.0,747.2,3.0,4.0,248.6
4.0,6.0,199.0,4.0,6.0,268.8,4.0,6.0,325.6,3.0,6.0,934.0,3.0,6.0,165.6,3.0,5.0,81.7
5.0,2.0,71.4,5.0,1.0,123.2,5.0,1.0,114.7,5.0,1.0,1494.0,4.0,1.0,1311.0,4.0,1.0,345.1
5.0,3.0,89.7,5.0,3.0,148.4,5.0,2.0,117.8,5.0,2.0,1589.0,4.0,2.0,1235.0,4.0,2.0,319.3
5.0,4.0,348.3,5.0,4.0,566.1,5.0,4.0,401.7,5.0,3.0,1525.0,4.0,3.0,945.9,4.0,3.0,405.0
5.0,6.0,51.0,5.0,6.0,79.8,5.0,6.0,73.0,5.0,6.0,729.0,4.0,6.0,568.2,4.0,5.0,342.7
6.0,2.0,20.8,6.0,1.0,26.8,6.0,1.0,58.1,6.0,1.0,839.6,6.0,1.0,107.7,5.0,1.0,76.7
6.0,3.0,29.7,6.0,3.0,40.2,6.0,2.0,52.9,6.0,2.0,661.3,6.0,2.0,118.3,5.0,2.0,71.2
6.0,4.0,159.3,6.0,4.0,198.2,6.0,4.0,270.7,6.0,3.0,958.0,6.0,3.0,154.5,5.0,3.0,98.2
6.0,5.0,39.9,6.0,5.0,51.3,6.0,5.0,55.0,6.0,5.0,612.5,6.0,4.0,461.2,5.0,4.0,273.7
