1,峰重 侑治,峰重 侑治.1,2,今垣　光太郎,今垣　光太郎.1,3,板倉 敦史,板倉 敦史.1,4,小澤 学,小澤 学.1,5,永嶋 裕一,永嶋 裕一.1,6,中田 元泰,中田 元泰.1
2.0,3.0,12.9,1.0,3.0,17.0,1.0,2.0,232.7,1.0,2.0,547.9,1.0,2.0,131.6,1.0,2.0,59.8
2.0,4.0,38.5,1.0,4.0,41.9,1.0,4.0,505.9,1.0,3.0,1005.0,1.0,3.0,335.9,1.0,3.0,236.6
2.0,5.0,16.0,1.0,5.0,18.2,1.0,5.0,336.9,1.0,5.0,1034.0,1.0,4.0,635.5,1.0,4.0,439.2
2.0,6.0,8.3,1.0,6.0,8.2,1.0,6.0,221.5,1.0,6.0,675.9,1.0,6.0,114.1,1.0,5.0,141.6
3.0,2.0,32.2,3.0,1.0,50.6,2.0,1.0,227.4,2.0,1.0,566.7,2.0,1.0,128.3,2.0,1.0,57.0
3.0,4.0,122.5,3.0,4.0,123.6,2.0,4.0,397.9,2.0,3.0,870.3,2.0,3.0,323.0,2.0,3.0,171.9
3.0,5.0,78.5,3.0,5.0,65.6,2.0,5.0,254.1,2.0,5.0,789.1,2.0,4.0,582.8,2.0,4.0,339.7
3.0,6.0,42.6,3.0,6.0,34.0,2.0,6.0,172.4,2.0,6.0,456.2,2.0,6.0,94.4,2.0,5.0,102.8
4.0,2.0,129.5,4.0,1.0,109.3,4.0,1.0,956.1,3.0,1.0,1309.0,3.0,1.0,903.7,3.0,1.0,446.3
4.0,3.0,213.7,4.0,3.0,167.7,4.0,2.0,776.1,3.0,2.0,1161.0,3.0,2.0,726.5,3.0,2.0,442.1
4.0,5.0,231.3,4.0,5.0,162.0,4.0,5.0,877.3,3.0,5.0,1842.0,3.0,4.0,1822.0,3.0,4.0,1303.0
4.0,6.0,130.1,4.0,6.0,76.8,4.0,6.0,638.0,3.0,6.0,1386.0,3.0,6.0,691.5,3.0,5.0,953.3
5.0,2.0,39.3,5.0,1.0,49.5,5.0,1.0,768.9,5.0,1.0,1259.0,4.0,1.0,1363.0,4.0,1.0,1067.0
5.0,3.0,105.5,5.0,3.0,89.9,5.0,2.0,582.8,5.0,2.0,990.6,4.0,2.0,1118.0,4.0,2.0,678.7
5.0,4.0,279.0,5.0,4.0,197.4,5.0,4.0,1421.0,5.0,3.0,1822.0,4.0,3.0,2011.0,4.0,3.0,1593.0
5.0,6.0,48.1,5.0,6.0,34.6,5.0,6.0,552.5,5.0,6.0,845.8,4.0,6.0,903.7,4.0,5.0,1195.0
6.0,2.0,22.5,6.0,1.0,16.9,6.0,1.0,431.2,6.0,1.0,802.6,6.0,1.0,116.2,5.0,1.0,168.9
6.0,3.0,61.8,6.0,3.0,37.1,6.0,2.0,357.3,6.0,2.0,524.4,6.0,2.0,105.2,5.0,2.0,133.9
6.0,4.0,139.2,6.0,4.0,71.7,6.0,4.0,937.1,6.0,3.0,1208.0,6.0,3.0,371.8,5.0,3.0,463.3
6.0,5.0,52.6,6.0,5.0,31.0,6.0,5.0,697.4,6.0,5.0,872.6,6.0,4.0,603.0,5.0,4.0,756.5
