1,加倉 侑征,加倉 侑征.1,2,藤丸 光一,藤丸 光一.1,3,清水 敦揮,清水 敦揮.1,4,坂井 康嗣,坂井 康嗣.1,5,山本　景士郎,山本　景士郎.1,6,松尾 昂明,松尾 昂明.1
2.0,3.0,17.2,1.0,3.0,44.3,1.0,2.0,16.1,1.0,2.0,560.9,1.0,2.0,352.0,1.0,2.0,401.3
2.0,4.0,81.2,1.0,4.0,163.9,1.0,4.0,44.4,1.0,3.0,406.5,1.0,3.0,200.9,1.0,3.0,300.8
2.0,5.0,48.3,1.0,5.0,110.0,1.0,5.0,15.3,1.0,5.0,565.2,1.0,4.0,657.6,1.0,4.0,1133.0
2.0,6.0,54.0,1.0,6.0,108.7,1.0,6.0,18.9,1.0,6.0,501.2,1.0,6.0,307.3,1.0,5.0,565.9
3.0,2.0,9.5,3.0,1.0,49.8,2.0,1.0,34.2,2.0,1.0,760.1,2.0,1.0,550.3,2.0,1.0,519.0
3.0,4.0,29.5,3.0,4.0,88.2,2.0,4.0,64.7,2.0,3.0,514.2,2.0,3.0,307.1,2.0,3.0,292.2
3.0,5.0,11.7,3.0,5.0,51.5,2.0,5.0,30.2,2.0,5.0,807.7,2.0,4.0,953.5,2.0,4.0,1290.0
3.0,6.0,17.0,3.0,6.0,49.8,2.0,6.0,28.8,2.0,6.0,728.6,2.0,6.0,402.4,2.0,5.0,624.8
4.0,2.0,136.3,4.0,1.0,379.7,4.0,1.0,94.2,3.0,1.0,351.7,3.0,1.0,204.2,3.0,1.0,256.0
4.0,3.0,93.4,4.0,3.0,226.9,4.0,2.0,94.6,3.0,2.0,374.9,3.0,2.0,245.7,3.0,2.0,230.3
4.0,5.0,154.9,4.0,5.0,406.5,4.0,5.0,55.0,3.0,5.0,282.4,3.0,4.0,411.8,3.0,4.0,575.6
4.0,6.0,159.9,4.0,6.0,400.5,4.0,6.0,58.2,3.0,6.0,278.8,3.0,6.0,195.2,3.0,5.0,279.5
5.0,2.0,93.9,5.0,1.0,244.9,5.0,1.0,37.6,5.0,1.0,578.6,4.0,1.0,1006.0,4.0,1.0,1687.0
5.0,3.0,55.2,5.0,3.0,132.4,5.0,2.0,41.5,5.0,2.0,695.1,4.0,2.0,1093.0,4.0,2.0,1572.0
5.0,4.0,196.4,5.0,4.0,433.4,5.0,4.0,60.6,5.0,3.0,487.9,4.0,3.0,701.8,4.0,3.0,1020.0
5.0,6.0,113.7,5.0,6.0,193.8,5.0,6.0,27.8,5.0,6.0,481.4,4.0,6.0,744.7,4.0,5.0,1512.0
6.0,2.0,128.6,6.0,1.0,296.3,6.0,1.0,58.8,6.0,1.0,764.1,6.0,1.0,449.8,5.0,1.0,717.8
6.0,3.0,73.1,6.0,3.0,151.2,6.0,2.0,51.7,6.0,2.0,900.6,6.0,2.0,442.6,5.0,2.0,563.0
6.0,4.0,277.2,6.0,4.0,558.7,6.0,4.0,94.1,6.0,3.0,587.9,6.0,3.0,281.5,5.0,3.0,388.5
6.0,5.0,182.3,6.0,5.0,303.1,6.0,5.0,44.5,6.0,5.0,690.7,6.0,4.0,761.5,5.0,4.0,1029.0
