1,安東 幸治,安東 幸治.1,2,北山 康介,北山 康介.1,3,土性 雅也,土性 雅也.1,4,山本 幸也,山本 幸也.1,5,大神 康司,大神 康司.1,6,野末 智一,野末 智一.1
2.0,3.0,16.4,1.0,3.0,34.8,1.0,2.0,53.8,1.0,2.0,644.5,1.0,2.0,22.3,1.0,2.0,193.5
2.0,4.0,105.7,1.0,4.0,194.4,1.0,4.0,151.1,1.0,3.0,751.0,1.0,3.0,49.2,1.0,3.0,298.4
2.0,5.0,8.5,1.0,5.0,15.5,1.0,5.0,56.6,1.0,5.0,958.8,1.0,4.0,252.6,1.0,4.0,808.1
2.0,6.0,24.5,1.0,6.0,39.9,1.0,6.0,95.2,1.0,6.0,1093.0,1.0,6.0,43.2,1.0,5.0,201.5
3.0,2.0,34.0,3.0,1.0,70.7,2.0,1.0,64.7,2.0,1.0,856.9,2.0,1.0,29.5,2.0,1.0,223.9
3.0,4.0,176.2,3.0,4.0,338.0,2.0,4.0,189.1,2.0,3.0,985.0,2.0,3.0,63.7,2.0,3.0,319.3
3.0,5.0,36.2,3.0,5.0,68.0,2.0,5.0,74.9,2.0,5.0,1152.0,2.0,4.0,332.8,2.0,4.0,937.7
3.0,6.0,73.2,3.0,6.0,132.5,2.0,6.0,127.1,2.0,6.0,1244.0,2.0,6.0,55.8,2.0,5.0,213.6
4.0,2.0,298.4,4.0,1.0,508.0,4.0,1.0,219.3,3.0,1.0,646.2,3.0,1.0,87.2,3.0,1.0,319.1
4.0,3.0,312.1,4.0,3.0,659.9,4.0,2.0,239.9,3.0,2.0,764.5,3.0,2.0,86.1,3.0,2.0,282.3
4.0,5.0,354.2,4.0,5.0,643.6,4.0,5.0,267.2,3.0,5.0,720.9,3.0,4.0,382.2,3.0,4.0,595.3
4.0,6.0,482.3,4.0,6.0,779.8,4.0,6.0,312.1,3.0,6.0,760.8,3.0,6.0,121.6,3.0,5.0,328.1
5.0,2.0,9.8,5.0,1.0,23.5,5.0,1.0,78.5,5.0,1.0,1380.0,4.0,1.0,763.3,4.0,1.0,1158.0
5.0,3.0,20.9,5.0,3.0,45.8,5.0,2.0,91.5,5.0,2.0,1476.0,4.0,2.0,797.1,4.0,2.0,1271.0
5.0,4.0,132.2,5.0,4.0,233.8,5.0,4.0,276.3,5.0,3.0,1090.0,4.0,3.0,656.2,4.0,3.0,912.1
5.0,6.0,21.4,5.0,6.0,43.2,5.0,6.0,151.3,5.0,6.0,1234.0,4.0,6.0,658.1,4.0,5.0,1215.0
6.0,2.0,59.9,6.0,1.0,102.2,6.0,1.0,176.3,6.0,1.0,1713.0,6.0,1.0,77.0,5.0,1.0,186.3
6.0,3.0,100.0,6.0,3.0,160.9,6.0,2.0,191.6,6.0,2.0,1665.0,6.0,2.0,83.1,5.0,2.0,189.3
6.0,4.0,329.5,6.0,4.0,415.1,6.0,4.0,406.1,6.0,3.0,1124.0,6.0,3.0,129.6,5.0,3.0,314.6
6.0,5.0,59.7,6.0,5.0,96.4,6.0,5.0,210.2,6.0,5.0,1453.0,6.0,4.0,424.6,5.0,4.0,802.6
