1,上原　健次郎,上原　健次郎.1,2,大森 翼,大森 翼.1,3,佐藤 航,佐藤 航.1,4,荒木 颯斗,荒木 颯斗.1,5,高山 敬悟,高山 敬悟.1,6,小林 京平,小林 京平.1
2.0,3.0,9.7,1.0,3.0,35.2,1.0,2.0,29.3,1.0,2.0,47.1,1.0,2.0,552.9,1.0,2.0,739.0
2.0,4.0,12.6,1.0,4.0,42.4,1.0,4.0,19.6,1.0,3.0,39.7,1.0,3.0,318.5,1.0,3.0,758.9
2.0,5.0,57.5,1.0,5.0,116.6,1.0,5.0,53.0,1.0,5.0,68.9,1.0,4.0,464.3,1.0,4.0,813.5
2.0,6.0,75.6,1.0,6.0,194.2,1.0,6.0,91.1,1.0,6.0,105.7,1.0,6.0,741.5,1.0,5.0,2113.0
3.0,2.0,9.8,3.0,1.0,70.0,2.0,1.0,65.1,2.0,1.0,90.3,2.0,1.0,919.3,2.0,1.0,1051.0
3.0,4.0,7.3,3.0,4.0,97.7,2.0,4.0,80.4,2.0,3.0,145.7,2.0,3.0,1056.0,2.0,3.0,1449.0
3.0,5.0,28.0,3.0,5.0,243.9,2.0,5.0,209.4,2.0,5.0,204.3,2.0,4.0,1047.0,2.0,4.0,1387.0
3.0,6.0,49.8,3.0,6.0,382.6,2.0,6.0,287.7,2.0,6.0,310.2,2.0,6.0,1809.0,2.0,5.0,3479.0
4.0,2.0,15.3,4.0,1.0,95.0,4.0,1.0,33.7,3.0,1.0,58.4,3.0,1.0,468.2,3.0,1.0,1184.0
4.0,3.0,11.7,4.0,3.0,120.8,4.0,2.0,60.2,3.0,2.0,104.3,3.0,2.0,966.5,3.0,2.0,1823.0
4.0,5.0,38.1,4.0,5.0,264.5,4.0,5.0,81.7,3.0,5.0,133.6,3.0,4.0,722.5,3.0,4.0,1440.0
4.0,6.0,61.9,4.0,6.0,370.1,4.0,6.0,154.2,3.0,6.0,188.4,3.0,6.0,1066.0,3.0,5.0,3277.0
5.0,2.0,155.8,5.0,1.0,548.9,5.0,1.0,182.9,5.0,1.0,85.7,4.0,1.0,406.7,4.0,1.0,1108.0
5.0,3.0,107.7,5.0,3.0,655.5,5.0,2.0,348.4,5.0,2.0,146.4,4.0,2.0,642.5,4.0,2.0,1627.0
5.0,4.0,123.5,5.0,4.0,689.5,5.0,4.0,229.3,5.0,3.0,142.5,4.0,3.0,539.7,4.0,3.0,1615.0
5.0,6.0,309.3,5.0,6.0,1277.0,5.0,6.0,486.3,5.0,6.0,150.1,4.0,6.0,563.9,4.0,5.0,1838.0
6.0,2.0,225.4,6.0,1.0,637.0,6.0,1.0,380.1,6.0,1.0,182.9,6.0,1.0,1092.0,5.0,1.0,3589.0
6.0,3.0,276.4,6.0,3.0,1014.0,6.0,2.0,700.1,6.0,2.0,334.0,6.0,2.0,1809.0,5.0,2.0,4916.0
6.0,4.0,241.1,6.0,4.0,801.9,6.0,4.0,483.2,6.0,3.0,312.8,6.0,3.0,1396.0,5.0,3.0,4267.0
6.0,5.0,474.1,6.0,5.0,1507.0,6.0,5.0,766.6,6.0,5.0,276.4,6.0,4.0,970.6,5.0,4.0,2307.0
