1,益田 啓司,益田 啓司.1,2,榎 幸司,榎 幸司.1,3,片岡 大地,片岡 大地.1,4,山ノ内　雅人,山ノ内　雅人.1,5,戸敷 晃美,戸敷 晃美.1,6,西澤　日花里,西澤　日花里.1
2.0,3.0,11.7,1.0,3.0,103.0,1.0,2.0,217.5,1.0,2.0,45.0,1.0,2.0,142.2,1.0,2.0,1964.0
2.0,4.0,4.6,1.0,4.0,47.6,1.0,4.0,206.3,1.0,3.0,135.9,1.0,3.0,294.4,1.0,3.0,3630.0
2.0,5.0,9.6,1.0,5.0,79.3,1.0,5.0,293.7,1.0,5.0,41.1,1.0,4.0,99.7,1.0,4.0,2034.0
2.0,6.0,74.8,1.0,6.0,256.0,1.0,6.0,685.4,1.0,6.0,140.5,1.0,6.0,288.8,1.0,5.0,2181.0
3.0,2.0,26.2,3.0,1.0,283.0,2.0,1.0,331.9,2.0,1.0,122.0,2.0,1.0,307.0,2.0,1.0,3545.0
3.0,4.0,21.7,3.0,4.0,592.3,2.0,4.0,431.3,2.0,3.0,491.1,2.0,3.0,1040.0,2.0,3.0,4630.0
3.0,5.0,30.9,3.0,5.0,746.3,2.0,5.0,699.1,2.0,5.0,203.0,2.0,4.0,346.3,2.0,4.0,3288.0
3.0,6.0,150.8,3.0,6.0,1772.0,2.0,6.0,1052.0,2.0,6.0,522.7,2.0,6.0,854.5,2.0,5.0,4776.0
4.0,2.0,6.1,4.0,1.0,136.2,4.0,1.0,387.5,3.0,1.0,458.3,3.0,1.0,801.7,3.0,1.0,4630.0
4.0,3.0,17.3,4.0,3.0,391.8,4.0,2.0,565.8,3.0,2.0,619.0,3.0,2.0,1278.0,3.0,2.0,5041.0
4.0,5.0,8.3,4.0,5.0,308.9,4.0,5.0,637.3,3.0,5.0,755.0,3.0,4.0,1522.0,3.0,4.0,5744.0
4.0,6.0,61.2,4.0,6.0,775.6,4.0,6.0,1440.0,3.0,6.0,1422.0,3.0,6.0,1930.0,3.0,5.0,6050.0
5.0,2.0,21.7,5.0,1.0,328.1,5.0,1.0,660.5,5.0,1.0,61.4,4.0,1.0,118.6,4.0,1.0,3195.0
5.0,3.0,44.4,5.0,3.0,832.6,5.0,2.0,965.4,5.0,2.0,108.9,4.0,2.0,259.8,4.0,2.0,3241.0
5.0,4.0,20.4,5.0,4.0,416.3,5.0,4.0,1015.0,5.0,3.0,311.0,4.0,3.0,731.8,4.0,3.0,5215.0
5.0,6.0,97.3,5.0,6.0,1229.0,5.0,6.0,1772.0,5.0,6.0,144.1,4.0,6.0,351.2,4.0,5.0,2291.0
6.0,2.0,372.5,6.0,1.0,1559.0,6.0,1.0,2466.0,6.0,1.0,647.3,6.0,1.0,854.5,5.0,1.0,2479.0
6.0,3.0,504.1,6.0,3.0,2783.0,6.0,2.0,2535.0,6.0,2.0,924.1,6.0,2.0,1181.0,5.0,2.0,3689.0
6.0,4.0,332.1,6.0,4.0,2007.0,6.0,4.0,2872.0,6.0,3.0,1922.0,6.0,3.0,2081.0,5.0,3.0,4125.0
6.0,5.0,317.7,6.0,5.0,2213.0,6.0,5.0,2783.0,6.0,5.0,565.1,6.0,4.0,941.4,5.0,4.0,2130.0
