1,池田 雄一,池田 雄一.1,2,川尻 泰輔,川尻 泰輔.1,3,楠原 正剛,楠原 正剛.1,4,宇野 博之,宇野 博之.1,5,岸本 隆,岸本 隆.1,6,田中 堅,田中 堅.1
2.0,3.0,6.0,1.0,3.0,41.2,1.0,2.0,31.6,1.0,2.0,188.5,1.0,2.0,211.3,1.0,2.0,591.3
2.0,4.0,12.6,1.0,4.0,72.9,1.0,4.0,35.0,1.0,3.0,198.7,1.0,3.0,227.1,1.0,3.0,486.0
2.0,5.0,18.8,1.0,5.0,103.2,1.0,5.0,45.1,1.0,5.0,250.7,1.0,4.0,452.2,1.0,4.0,894.3
2.0,6.0,24.8,1.0,6.0,134.0,1.0,6.0,60.7,1.0,6.0,273.0,1.0,6.0,355.6,1.0,5.0,1282.0
3.0,2.0,6.5,3.0,1.0,73.2,2.0,1.0,94.4,2.0,1.0,384.6,2.0,1.0,401.9,2.0,1.0,1132.0
3.0,4.0,8.1,3.0,4.0,285.7,2.0,4.0,196.8,2.0,3.0,576.0,2.0,3.0,864.1,2.0,3.0,1522.0
3.0,5.0,13.2,3.0,5.0,405.6,2.0,5.0,277.1,2.0,5.0,803.9,2.0,4.0,1370.0,2.0,4.0,1913.0
3.0,6.0,19.0,3.0,6.0,401.9,2.0,6.0,304.2,2.0,6.0,725.6,2.0,6.0,1052.0,2.0,5.0,2630.0
4.0,2.0,23.3,4.0,1.0,286.8,4.0,1.0,111.1,3.0,1.0,324.3,3.0,1.0,477.0,3.0,1.0,678.8
4.0,3.0,20.7,4.0,3.0,491.4,4.0,2.0,227.1,3.0,2.0,616.8,3.0,2.0,956.5,3.0,2.0,1033.0
4.0,5.0,44.6,4.0,5.0,781.1,4.0,5.0,239.6,3.0,5.0,685.3,3.0,4.0,1296.0,3.0,4.0,1611.0
4.0,6.0,52.7,4.0,6.0,753.1,4.0,6.0,277.1,3.0,6.0,597.2,3.0,6.0,1064.0,3.0,5.0,2293.0
5.0,2.0,42.9,5.0,1.0,323.4,5.0,1.0,193.2,5.0,1.0,501.0,4.0,1.0,824.3,4.0,1.0,1509.0
5.0,3.0,39.9,5.0,3.0,663.7,5.0,2.0,407.0,5.0,2.0,851.7,4.0,2.0,1320.0,4.0,2.0,2032.0
5.0,4.0,75.3,5.0,4.0,1052.0,5.0,4.0,416.9,5.0,3.0,872.5,4.0,3.0,1397.0,4.0,3.0,1648.0
5.0,6.0,94.0,5.0,6.0,1150.0,5.0,6.0,455.7,5.0,6.0,740.6,4.0,6.0,1286.0,4.0,5.0,3343.0
6.0,2.0,91.6,6.0,1.0,767.7,6.0,1.0,264.8,6.0,1.0,691.9,6.0,1.0,1019.0,5.0,1.0,2116.0
6.0,3.0,72.1,6.0,3.0,1022.0,6.0,2.0,514.0,6.0,2.0,966.9,6.0,2.0,1762.0,5.0,2.0,2794.0
6.0,4.0,120.9,6.0,4.0,1408.0,6.0,4.0,550.3,6.0,3.0,1002.0,6.0,3.0,1679.0,5.0,3.0,2773.0
6.0,5.0,164.4,6.0,5.0,1711.0,6.0,5.0,604.3,6.0,5.0,1161.0,6.0,4.0,2264.0,5.0,4.0,3473.0
