1,竹井 貴史,竹井 貴史.1,2,大庭 元明,大庭 元明.1,3,野相 弘司,野相 弘司.1,4,田中 京介,田中 京介.1,5,篠原 飛翔,篠原 飛翔.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,12.9,1.0,3.0,132.0,1.0,2.0,372.2,1.0,2.0,40.5,1.0,2.0,77.5,1.0,2.0,1147.0
2.0,4.0,5.4,1.0,4.0,70.6,1.0,4.0,440.4,1.0,3.0,147.5,1.0,3.0,291.8,1.0,3.0,2535.0
2.0,5.0,7.7,1.0,5.0,92.4,1.0,5.0,455.4,1.0,5.0,35.1,1.0,4.0,80.2,1.0,4.0,1000.0
2.0,6.0,50.6,1.0,6.0,382.9,1.0,6.0,1176.0,1.0,6.0,106.3,1.0,6.0,177.1,1.0,5.0,1176.0
3.0,2.0,22.9,3.0,1.0,481.1,2.0,1.0,614.1,2.0,1.0,89.5,2.0,1.0,170.2,2.0,1.0,1721.0
3.0,4.0,24.2,3.0,4.0,1003.0,2.0,4.0,1036.0,2.0,3.0,387.6,2.0,3.0,1057.0,2.0,3.0,3679.0
3.0,5.0,25.0,3.0,5.0,1087.0,2.0,5.0,1133.0,2.0,5.0,131.1,2.0,4.0,350.3,2.0,4.0,2360.0
3.0,6.0,107.0,3.0,6.0,1964.0,2.0,6.0,2061.0,2.0,6.0,421.1,2.0,6.0,686.0,2.0,5.0,2699.0
4.0,2.0,8.0,4.0,1.0,161.1,4.0,1.0,749.0,3.0,1.0,436.3,3.0,1.0,950.0,3.0,1.0,3868.0
4.0,3.0,24.6,4.0,3.0,449.4,4.0,2.0,1354.0,3.0,2.0,1011.0,3.0,2.0,1795.0,3.0,2.0,4811.0
4.0,5.0,10.2,4.0,5.0,345.5,4.0,5.0,1349.0,3.0,5.0,832.0,3.0,4.0,1660.0,3.0,4.0,3868.0
4.0,6.0,48.9,4.0,6.0,864.6,4.0,6.0,1857.0,3.0,6.0,1238.0,3.0,6.0,2169.0,3.0,5.0,4632.0
5.0,2.0,15.0,5.0,1.0,237.9,5.0,1.0,1176.0,5.0,1.0,50.7,4.0,1.0,104.7,4.0,1.0,1075.0
5.0,3.0,32.0,5.0,3.0,1147.0,5.0,2.0,1964.0,5.0,2.0,89.0,4.0,2.0,178.8,4.0,2.0,2436.0
5.0,4.0,17.3,5.0,4.0,465.5,5.0,4.0,1821.0,5.0,3.0,332.9,4.0,3.0,671.3,4.0,3.0,3207.0
5.0,6.0,54.0,5.0,6.0,1285.0,5.0,6.0,2375.0,5.0,6.0,125.0,4.0,6.0,256.6,4.0,5.0,1737.0
6.0,2.0,170.4,6.0,1.0,1316.0,6.0,1.0,3180.0,6.0,1.0,319.3,6.0,1.0,632.8,5.0,1.0,1531.0
6.0,3.0,286.0,6.0,3.0,3507.0,6.0,2.0,3573.0,6.0,2.0,544.6,6.0,2.0,805.2,5.0,2.0,2978.0
6.0,4.0,168.6,6.0,4.0,1924.0,6.0,4.0,3075.0,6.0,3.0,979.8,6.0,3.0,1904.0,5.0,3.0,4576.0
6.0,5.0,159.4,6.0,5.0,2181.0,6.0,5.0,3180.0,6.0,5.0,338.9,6.0,4.0,849.0,5.0,4.0,1954.0
