1,桂林 寛,桂林 寛.1,2,宇野 博之,宇野 博之.1,3,峰重 力也,峰重 力也.1,4,奥田 誠,奥田 誠.1,5,岡本 猛,岡本 猛.1,6,長尾　京志郎,長尾　京志郎.1
2.0,3.0,7.1,1.0,3.0,24.3,1.0,2.0,51.1,1.0,2.0,125.2,1.0,2.0,94.4,1.0,2.0,294.8
2.0,4.0,10.0,1.0,4.0,24.6,1.0,4.0,79.6,1.0,3.0,174.2,1.0,3.0,173.7,1.0,3.0,365.0
2.0,5.0,10.2,1.0,5.0,21.5,1.0,5.0,81.9,1.0,5.0,124.6,1.0,4.0,186.1,1.0,4.0,817.9
2.0,6.0,29.3,1.0,6.0,52.2,1.0,6.0,96.9,1.0,6.0,202.2,1.0,6.0,199.0,1.0,5.0,476.8
3.0,2.0,14.0,3.0,1.0,70.5,2.0,1.0,93.2,2.0,1.0,184.6,2.0,1.0,177.8,2.0,1.0,474.8
3.0,4.0,17.0,3.0,4.0,177.0,2.0,4.0,204.4,2.0,3.0,429.3,2.0,3.0,332.5,2.0,3.0,1535.0
3.0,5.0,22.3,3.0,5.0,135.8,2.0,5.0,168.2,2.0,5.0,255.8,2.0,4.0,444.6,2.0,4.0,1245.0
3.0,6.0,46.2,3.0,6.0,268.7,2.0,6.0,278.0,2.0,6.0,426.0,2.0,6.0,541.3,2.0,5.0,675.0
4.0,2.0,30.3,4.0,1.0,95.2,4.0,1.0,168.5,3.0,1.0,289.5,3.0,1.0,338.5,3.0,1.0,605.7
4.0,3.0,38.0,4.0,3.0,250.6,4.0,2.0,271.3,3.0,2.0,565.9,3.0,2.0,424.4,3.0,2.0,1836.0
4.0,5.0,34.8,4.0,5.0,166.7,4.0,5.0,232.4,3.0,5.0,401.6,3.0,4.0,615.6,3.0,4.0,1750.0
4.0,6.0,60.3,4.0,6.0,284.4,4.0,6.0,281.5,3.0,6.0,619.0,3.0,6.0,679.1,3.0,5.0,778.1
5.0,2.0,26.6,5.0,1.0,81.0,5.0,1.0,186.1,5.0,1.0,170.2,4.0,1.0,260.5,4.0,1.0,1037.0
5.0,3.0,40.6,5.0,3.0,198.3,5.0,2.0,215.4,5.0,2.0,238.9,4.0,2.0,419.6,4.0,2.0,1494.0
5.0,4.0,42.0,5.0,4.0,186.1,5.0,4.0,292.5,5.0,3.0,381.1,4.0,3.0,549.2,4.0,3.0,1723.0
5.0,6.0,66.5,5.0,6.0,304.5,5.0,6.0,342.6,5.0,6.0,227.7,4.0,6.0,314.7,4.0,5.0,875.4
6.0,2.0,88.7,6.0,1.0,269.3,6.0,1.0,446.4,6.0,1.0,416.5,6.0,1.0,368.6,5.0,1.0,812.0
6.0,3.0,95.7,6.0,3.0,612.3,6.0,2.0,767.5,6.0,2.0,644.0,6.0,2.0,640.3,5.0,2.0,1318.0
6.0,4.0,159.1,6.0,4.0,546.6,6.0,4.0,655.3,6.0,3.0,742.0,6.0,3.0,663.0,5.0,3.0,1474.0
6.0,5.0,148.2,6.0,5.0,571.7,6.0,5.0,709.2,6.0,5.0,413.4,6.0,4.0,427.6,5.0,4.0,762.2
