1,中島 秀治,中島 秀治.1,2,荒木 颯斗,荒木 颯斗.1,3,上原　健次郎,上原　健次郎.1,4,中山 翔太,中山 翔太.1,5,竹下 大樹,竹下 大樹.1,6,小林 孝彰,小林 孝彰.1
2.0,3.0,19.5,1.0,3.0,131.1,1.0,2.0,189.5,1.0,2.0,72.6,1.0,2.0,48.9,1.0,2.0,1144.0
2.0,4.0,16.4,1.0,4.0,109.6,1.0,4.0,111.5,1.0,3.0,87.1,1.0,3.0,52.6,1.0,3.0,1495.0
2.0,5.0,15.1,1.0,5.0,96.4,1.0,5.0,92.0,1.0,5.0,30.8,1.0,4.0,34.2,1.0,4.0,1352.0
2.0,6.0,84.2,1.0,6.0,330.3,1.0,6.0,405.4,1.0,6.0,113.9,1.0,6.0,74.7,1.0,5.0,918.2
3.0,2.0,21.6,3.0,1.0,300.4,2.0,1.0,439.2,2.0,1.0,213.6,2.0,1.0,123.4,2.0,1.0,1656.0
3.0,4.0,14.2,3.0,4.0,638.3,2.0,4.0,637.6,2.0,3.0,483.0,2.0,3.0,373.2,2.0,3.0,2208.0
3.0,5.0,11.7,3.0,5.0,614.7,2.0,5.0,618.2,2.0,5.0,176.7,2.0,4.0,187.7,2.0,4.0,2449.0
3.0,6.0,89.8,3.0,6.0,1614.0,2.0,6.0,1341.0,2.0,6.0,479.0,2.0,6.0,239.5,2.0,5.0,2487.0
4.0,2.0,22.1,4.0,1.0,249.5,4.0,1.0,191.9,3.0,1.0,199.1,3.0,1.0,138.1,3.0,1.0,2178.0
4.0,3.0,21.3,4.0,3.0,680.4,4.0,2.0,531.2,3.0,2.0,536.0,3.0,2.0,424.8,3.0,2.0,3229.0
4.0,5.0,12.6,4.0,5.0,375.8,4.0,5.0,190.5,3.0,5.0,190.4,3.0,4.0,217.5,3.0,4.0,3062.0
4.0,6.0,72.0,4.0,6.0,1028.0,4.0,6.0,631.4,3.0,6.0,566.9,3.0,6.0,417.2,3.0,5.0,2847.0
5.0,2.0,17.3,5.0,1.0,184.8,5.0,1.0,178.5,5.0,1.0,30.1,4.0,1.0,39.6,4.0,1.0,1180.0
5.0,3.0,15.3,5.0,3.0,554.3,5.0,2.0,523.9,5.0,2.0,68.3,4.0,2.0,86.8,4.0,2.0,1622.0
5.0,4.0,14.2,5.0,4.0,417.4,5.0,4.0,249.1,5.0,3.0,97.6,4.0,3.0,114.3,4.0,3.0,1778.0
5.0,6.0,50.4,5.0,6.0,803.4,5.0,6.0,656.3,5.0,6.0,52.0,4.0,6.0,70.6,4.0,5.0,1065.0
6.0,2.0,274.1,6.0,1.0,1027.0,6.0,1.0,1306.0,6.0,1.0,276.9,6.0,1.0,148.7,5.0,1.0,869.0
6.0,3.0,287.7,6.0,3.0,2649.0,6.0,2.0,2302.0,6.0,2.0,484.8,6.0,2.0,221.6,5.0,2.0,1414.0
6.0,4.0,225.0,6.0,4.0,2360.0,6.0,4.0,1903.0,6.0,3.0,695.7,6.0,3.0,375.6,5.0,3.0,1442.0
6.0,5.0,194.9,6.0,5.0,2121.0,6.0,5.0,1740.0,6.0,5.0,233.2,6.0,4.0,226.9,5.0,4.0,1009.0
