1,冨名腰　桃奈,冨名腰　桃奈.1,2,石川 諒,石川 諒.1,3,村田 敦,村田 敦.1,4,松浦 勝,松浦 勝.1,5,江本 真治,江本 真治.1,6,田村 隆信,田村 隆信.1
2.0,3.0,60.0,1.0,3.0,72.0,1.0,2.0,155.7,1.0,2.0,394.6,1.0,2.0,112.1,1.0,2.0,100.5
2.0,4.0,88.3,1.0,4.0,99.5,1.0,4.0,330.2,1.0,3.0,589.9,1.0,3.0,190.2,1.0,3.0,149.1
2.0,5.0,35.3,1.0,5.0,43.5,1.0,5.0,156.6,1.0,5.0,294.7,1.0,4.0,227.0,1.0,4.0,204.8
2.0,6.0,29.8,1.0,6.0,36.4,1.0,6.0,134.4,1.0,6.0,261.4,1.0,6.0,57.5,1.0,5.0,61.7
3.0,2.0,78.1,3.0,1.0,140.2,2.0,1.0,239.2,2.0,1.0,414.1,2.0,1.0,106.2,2.0,1.0,105.1
3.0,4.0,129.8,3.0,4.0,156.5,2.0,4.0,189.1,2.0,3.0,485.4,2.0,3.0,145.2,2.0,3.0,109.3
3.0,5.0,70.6,3.0,5.0,84.4,2.0,5.0,122.7,2.0,5.0,237.2,2.0,4.0,148.2,2.0,4.0,166.3
3.0,6.0,63.7,3.0,6.0,62.5,2.0,6.0,100.2,2.0,6.0,195.8,2.0,6.0,34.2,2.0,5.0,32.6
4.0,2.0,166.8,4.0,1.0,223.6,4.0,1.0,375.4,3.0,1.0,645.5,3.0,1.0,256.1,3.0,1.0,211.8
4.0,3.0,182.9,4.0,3.0,213.8,4.0,2.0,286.3,3.0,2.0,546.1,3.0,2.0,202.3,3.0,2.0,169.3
4.0,5.0,121.0,4.0,5.0,124.4,4.0,5.0,174.6,3.0,5.0,329.8,3.0,4.0,295.5,3.0,4.0,277.0
4.0,6.0,97.4,4.0,6.0,93.7,4.0,6.0,167.3,3.0,6.0,290.1,3.0,6.0,100.5,3.0,5.0,102.5
5.0,2.0,54.9,5.0,1.0,57.7,5.0,1.0,177.2,5.0,1.0,264.9,4.0,1.0,299.6,4.0,1.0,282.0
5.0,3.0,90.6,5.0,3.0,75.8,5.0,2.0,145.9,5.0,2.0,176.9,4.0,2.0,201.1,4.0,2.0,245.3
5.0,4.0,119.2,5.0,4.0,88.3,5.0,4.0,186.5,5.0,3.0,221.0,4.0,3.0,261.9,4.0,3.0,298.4
5.0,6.0,30.7,5.0,6.0,22.3,5.0,6.0,65.5,5.0,6.0,83.0,4.0,6.0,100.2,4.0,5.0,119.3
6.0,2.0,47.4,6.0,1.0,54.9,6.0,1.0,167.3,6.0,1.0,232.9,6.0,1.0,37.0,5.0,1.0,44.8
6.0,3.0,72.4,6.0,3.0,67.6,6.0,2.0,123.1,6.0,2.0,154.4,6.0,2.0,22.6,5.0,2.0,24.5
6.0,4.0,98.8,6.0,4.0,86.9,6.0,4.0,177.4,6.0,3.0,200.3,6.0,3.0,47.1,5.0,3.0,53.9
6.0,5.0,34.0,6.0,5.0,23.6,6.0,5.0,72.8,6.0,5.0,90.1,6.0,4.0,49.4,5.0,4.0,62.5
