1,松尾 基成,松尾 基成.1,2,清水 紀克,清水 紀克.1,3,山口 隆史,山口 隆史.1,4,板倉 敦史,板倉 敦史.1,5,沖島 広和,沖島 広和.1,6,宇留田　翔平,宇留田　翔平.1
2.0,3.0,29.2,1.0,3.0,60.4,1.0,2.0,65.0,1.0,2.0,232.5,1.0,2.0,236.8,1.0,2.0,429.7
2.0,4.0,40.2,1.0,4.0,75.5,1.0,4.0,27.9,1.0,3.0,116.4,1.0,3.0,89.3,1.0,3.0,202.5
2.0,5.0,36.7,1.0,5.0,76.5,1.0,5.0,17.4,1.0,5.0,118.8,1.0,4.0,132.2,1.0,4.0,344.1
2.0,6.0,60.4,1.0,6.0,97.8,1.0,6.0,35.7,1.0,6.0,119.6,1.0,6.0,92.3,1.0,5.0,182.5
3.0,2.0,25.2,3.0,1.0,96.8,2.0,1.0,147.8,2.0,1.0,323.3,2.0,1.0,385.8,2.0,1.0,771.6
3.0,4.0,15.1,3.0,4.0,207.4,2.0,4.0,192.1,2.0,3.0,487.3,2.0,3.0,444.7,2.0,3.0,988.9
3.0,5.0,12.3,3.0,5.0,225.3,2.0,5.0,142.0,2.0,5.0,366.3,2.0,4.0,592.1,2.0,4.0,808.3
3.0,6.0,27.2,3.0,6.0,341.8,2.0,6.0,210.0,2.0,6.0,307.7,2.0,6.0,394.7,2.0,5.0,652.9
4.0,2.0,52.8,4.0,1.0,146.9,4.0,1.0,55.5,3.0,1.0,108.1,3.0,1.0,93.2,3.0,1.0,267.3
4.0,3.0,32.3,4.0,3.0,325.4,4.0,2.0,155.2,3.0,2.0,273.8,3.0,2.0,262.5,3.0,2.0,578.7
4.0,5.0,43.0,4.0,5.0,429.7,4.0,5.0,43.4,3.0,5.0,79.8,3.0,4.0,112.5,3.0,4.0,301.3
4.0,6.0,55.2,4.0,6.0,306.7,4.0,6.0,60.8,3.0,6.0,93.1,3.0,6.0,96.5,3.0,5.0,140.8
5.0,2.0,61.8,5.0,1.0,197.7,5.0,1.0,31.1,5.0,1.0,135.2,4.0,1.0,187.9,4.0,1.0,492.0
5.0,3.0,31.7,5.0,3.0,402.5,5.0,2.0,72.8,5.0,2.0,270.1,4.0,2.0,409.0,4.0,2.0,754.5
5.0,4.0,51.8,5.0,4.0,536.0,5.0,4.0,35.1,5.0,3.0,105.3,4.0,3.0,154.3,4.0,3.0,494.4
5.0,6.0,47.0,5.0,6.0,442.8,5.0,6.0,34.7,5.0,6.0,104.7,4.0,6.0,130.7,4.0,5.0,367.7
6.0,2.0,110.9,6.0,1.0,246.6,6.0,1.0,124.0,6.0,1.0,171.7,6.0,1.0,136.3,5.0,1.0,229.4
6.0,3.0,77.2,6.0,3.0,674.5,6.0,2.0,280.5,6.0,2.0,341.8,6.0,2.0,322.3,5.0,2.0,525.0
6.0,4.0,117.3,6.0,4.0,478.2,6.0,4.0,108.3,6.0,3.0,154.0,6.0,3.0,121.4,5.0,3.0,193.6
6.0,5.0,83.9,6.0,5.0,588.7,6.0,5.0,75.6,6.0,5.0,150.9,6.0,4.0,148.9,5.0,4.0,291.8
