1,松尾 充,松尾 充.1,2,森 竜也,森 竜也.1,3,吉永 浩則,吉永 浩則.1,4,福嶋 智之,福嶋 智之.1,5,増本 杏珠,増本 杏珠.1,6,宮本 夏樹,宮本 夏樹.1
2.0,3.0,10.8,1.0,3.0,145.6,1.0,2.0,110.1,1.0,2.0,108.4,1.0,2.0,1468.0,1.0,2.0,161.0
2.0,4.0,12.2,1.0,4.0,133.5,1.0,4.0,61.0,1.0,3.0,109.1,1.0,3.0,1390.0,1.0,3.0,133.1
2.0,5.0,119.6,1.0,5.0,614.1,1.0,5.0,313.2,1.0,5.0,299.3,1.0,4.0,1632.0,1.0,4.0,128.6
2.0,6.0,16.5,1.0,6.0,185.2,1.0,6.0,70.0,1.0,6.0,81.4,1.0,6.0,2006.0,1.0,5.0,597.3
3.0,2.0,10.5,3.0,1.0,324.5,2.0,1.0,284.7,2.0,1.0,242.7,2.0,1.0,1961.0,2.0,1.0,384.2
3.0,4.0,6.2,3.0,4.0,702.7,2.0,4.0,524.6,2.0,3.0,644.2,2.0,3.0,2346.0,2.0,3.0,672.2
3.0,5.0,82.3,3.0,5.0,1519.0,2.0,5.0,1132.0,2.0,5.0,1239.0,2.0,4.0,4693.0,2.0,4.0,738.3
3.0,6.0,7.9,3.0,6.0,786.9,2.0,6.0,566.4,2.0,6.0,471.8,2.0,6.0,4308.0,2.0,5.0,1838.0
4.0,2.0,14.4,4.0,1.0,322.9,4.0,1.0,125.7,3.0,1.0,199.1,3.0,1.0,2411.0,3.0,1.0,257.6
4.0,3.0,10.1,4.0,3.0,784.6,4.0,2.0,365.0,3.0,2.0,539.7,3.0,2.0,2551.0,3.0,2.0,706.5
4.0,5.0,85.8,4.0,5.0,2086.0,4.0,5.0,722.1,3.0,5.0,942.1,3.0,4.0,3982.0,3.0,4.0,591.9
4.0,6.0,10.9,4.0,6.0,742.5,4.0,6.0,205.6,3.0,6.0,332.7,3.0,6.0,5475.0,3.0,5.0,1788.0
5.0,2.0,305.6,5.0,1.0,1537.0,5.0,1.0,1211.0,5.0,1.0,686.2,4.0,1.0,1961.0,4.0,1.0,214.0
5.0,3.0,253.4,5.0,3.0,2227.0,5.0,2.0,1537.0,5.0,2.0,1376.0,4.0,2.0,3285.0,4.0,2.0,596.0
5.0,4.0,268.7,5.0,4.0,3650.0,5.0,4.0,1752.0,5.0,3.0,1528.0,4.0,3.0,2766.0,4.0,3.0,498.7
5.0,6.0,217.5,5.0,6.0,2456.0,5.0,6.0,1632.0,5.0,6.0,1354.0,4.0,6.0,3327.0,4.0,5.0,1301.0
6.0,2.0,21.4,6.0,1.0,504.5,6.0,1.0,182.6,6.0,1.0,143.1,6.0,1.0,2602.0,5.0,1.0,1205.0
6.0,3.0,17.4,6.0,3.0,932.0,6.0,2.0,457.9,6.0,2.0,328.9,6.0,2.0,3809.0,5.0,2.0,2551.0
6.0,4.0,20.1,6.0,4.0,999.4,6.0,4.0,308.8,6.0,3.0,337.4,6.0,3.0,3982.0,5.0,3.0,3056.0
6.0,5.0,115.0,6.0,5.0,2246.0,6.0,5.0,1022.0,6.0,5.0,718.1,6.0,4.0,3285.0,5.0,4.0,2389.0
