1,都築 正治,都築 正治.1,2,木村 仁紀,木村 仁紀.1,3,白水 勝也,白水 勝也.1,4,松江 秀徳,松江 秀徳.1,5,藤田 美代,藤田 美代.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,6.4,1.0,3.0,14.2,1.0,2.0,34.1,1.0,2.0,89.5,1.0,2.0,652.7,1.0,2.0,676.2
2.0,4.0,11.1,1.0,4.0,22.5,1.0,4.0,48.0,1.0,3.0,105.9,1.0,3.0,763.2,1.0,3.0,880.5
2.0,5.0,34.7,1.0,5.0,69.2,1.0,5.0,99.4,1.0,5.0,137.6,1.0,4.0,939.5,1.0,4.0,1178.0
2.0,6.0,23.8,1.0,6.0,42.5,1.0,6.0,74.7,1.0,6.0,105.1,1.0,6.0,1040.0,1.0,5.0,2360.0
3.0,2.0,9.2,3.0,1.0,34.1,2.0,1.0,56.6,2.0,1.0,117.0,2.0,1.0,796.4,2.0,1.0,898.5
3.0,4.0,14.3,3.0,4.0,48.1,2.0,4.0,75.8,2.0,3.0,124.4,2.0,3.0,828.4,2.0,3.0,685.3
3.0,5.0,38.5,3.0,5.0,124.2,2.0,5.0,162.9,2.0,5.0,201.4,2.0,4.0,1358.0,2.0,4.0,1000.0
3.0,6.0,27.7,3.0,6.0,65.1,2.0,6.0,86.8,2.0,6.0,133.0,2.0,6.0,1019.0,2.0,5.0,2335.0
4.0,2.0,25.9,4.0,1.0,81.1,4.0,1.0,108.0,3.0,1.0,180.7,3.0,1.0,1016.0,3.0,1.0,1215.0
4.0,3.0,28.8,4.0,3.0,87.2,4.0,2.0,107.9,3.0,2.0,165.9,3.0,2.0,1062.0,3.0,2.0,747.6
4.0,5.0,83.4,4.0,5.0,245.7,4.0,5.0,201.4,3.0,5.0,292.6,3.0,4.0,1486.0,3.0,4.0,1338.0
4.0,6.0,54.2,4.0,6.0,134.9,4.0,6.0,130.5,3.0,6.0,183.0,3.0,6.0,1496.0,3.0,5.0,2790.0
5.0,2.0,128.4,5.0,1.0,356.4,5.0,1.0,298.8,5.0,1.0,180.6,4.0,1.0,862.1,4.0,1.0,1312.0
5.0,3.0,127.4,5.0,3.0,384.9,5.0,2.0,325.9,5.0,2.0,192.7,4.0,2.0,1013.0,4.0,2.0,974.3
5.0,4.0,204.1,5.0,4.0,532.8,5.0,4.0,390.6,5.0,3.0,306.6,4.0,3.0,1344.0,4.0,3.0,1264.0
5.0,6.0,205.7,5.0,6.0,542.9,5.0,6.0,394.4,5.0,6.0,172.3,4.0,6.0,1081.0,4.0,5.0,2020.0
6.0,2.0,119.6,6.0,1.0,246.5,6.0,1.0,271.3,6.0,1.0,161.7,6.0,1.0,1476.0,5.0,1.0,3106.0
6.0,3.0,121.9,6.0,3.0,225.2,6.0,2.0,252.5,6.0,2.0,157.2,6.0,2.0,1306.0,5.0,2.0,3121.0
6.0,4.0,177.9,6.0,4.0,334.8,6.0,4.0,318.9,6.0,3.0,249.0,6.0,3.0,1610.0,5.0,3.0,3244.0
6.0,5.0,265.0,6.0,5.0,652.7,6.0,5.0,540.3,6.0,5.0,201.7,6.0,4.0,1765.0,5.0,4.0,2863.0
