1,岩永 雅人,岩永 雅人.1,2,片橋 幸貴,片橋 幸貴.1,3,重富 伸也,重富 伸也.1,4,豊田 泰洋,豊田 泰洋.1,5,鈴木 成美,鈴木 成美.1,6,東 健介,東 健介.1
2.0,3.0,5.0,1.0,3.0,15.0,1.0,2.0,71.1,1.0,2.0,69.5,1.0,2.0,270.2,1.0,2.0,1032.0
2.0,4.0,5.3,1.0,4.0,14.7,1.0,4.0,117.7,1.0,3.0,143.6,1.0,3.0,596.0,1.0,3.0,2443.0
2.0,5.0,14.3,1.0,5.0,33.7,1.0,5.0,196.0,1.0,5.0,111.2,1.0,4.0,519.5,1.0,4.0,2570.0
2.0,6.0,21.9,1.0,6.0,52.0,1.0,6.0,298.3,1.0,6.0,222.3,1.0,6.0,803.8,1.0,5.0,3204.0
3.0,2.0,10.8,3.0,1.0,65.8,2.0,1.0,106.4,2.0,1.0,105.4,2.0,1.0,365.5,2.0,1.0,1158.0
3.0,4.0,18.6,3.0,4.0,120.6,2.0,4.0,245.2,2.0,3.0,261.6,2.0,3.0,975.3,2.0,3.0,2973.0
3.0,5.0,37.7,3.0,5.0,177.1,2.0,5.0,341.7,2.0,5.0,200.9,2.0,4.0,785.8,2.0,4.0,2741.0
3.0,6.0,69.1,3.0,6.0,242.4,2.0,6.0,431.4,2.0,6.0,368.8,2.0,6.0,1363.0,2.0,5.0,3738.0
4.0,2.0,15.5,4.0,1.0,66.4,4.0,1.0,233.9,3.0,1.0,270.5,3.0,1.0,917.3,3.0,1.0,2544.0
4.0,3.0,30.4,4.0,3.0,146.7,4.0,2.0,318.4,3.0,2.0,391.0,3.0,2.0,1252.0,3.0,2.0,3475.0
4.0,5.0,45.8,4.0,5.0,147.3,4.0,5.0,368.3,3.0,5.0,514.1,3.0,4.0,1602.0,3.0,4.0,3380.0
4.0,6.0,82.2,4.0,6.0,237.9,4.0,6.0,623.1,3.0,6.0,754.6,3.0,6.0,2203.0,3.0,5.0,3980.0
5.0,2.0,56.1,5.0,1.0,152.6,5.0,1.0,543.5,5.0,1.0,199.6,4.0,1.0,597.5,4.0,1.0,2625.0
5.0,3.0,108.6,5.0,3.0,384.9,5.0,2.0,607.8,5.0,2.0,245.5,4.0,2.0,699.0,4.0,2.0,2804.0
5.0,4.0,97.5,5.0,4.0,315.9,5.0,4.0,685.4,5.0,3.0,498.5,4.0,3.0,1513.0,4.0,3.0,3475.0
5.0,6.0,222.9,5.0,6.0,634.3,5.0,6.0,771.1,5.0,6.0,443.8,4.0,6.0,1348.0,4.0,5.0,4254.0
6.0,2.0,143.2,6.0,1.0,357.6,6.0,1.0,1096.0,6.0,1.0,601.8,6.0,1.0,1701.0,5.0,1.0,3628.0
6.0,3.0,258.1,6.0,3.0,907.2,6.0,2.0,1378.0,6.0,2.0,732.2,6.0,2.0,1912.0,5.0,2.0,3796.0
6.0,4.0,234.3,6.0,4.0,587.5,6.0,4.0,1486.0,6.0,3.0,1059.0,6.0,3.0,2492.0,5.0,3.0,4406.0
6.0,5.0,322.5,6.0,5.0,842.2,6.0,5.0,1451.0,6.0,5.0,836.5,6.0,4.0,2056.0,5.0,4.0,3525.0
