1,細川 裕子,細川 裕子.1,2,清水 愛海,清水 愛海.1,3,武藤 綾子,武藤 綾子.1,4,今井 美亜,今井 美亜.1,5,平川 香織,平川 香織.1,6,宇野 弥生,宇野 弥生.1
2.0,3.0,11.7,1.0,3.0,41.7,1.0,2.0,271.3,1.0,2.0,33.3,1.0,2.0,176.8,1.0,2.0,410.1
2.0,4.0,6.7,1.0,4.0,25.3,1.0,4.0,288.4,1.0,3.0,101.5,1.0,3.0,410.8,1.0,3.0,992.5
2.0,5.0,14.1,1.0,5.0,40.6,1.0,5.0,448.1,1.0,5.0,33.3,1.0,4.0,156.8,1.0,4.0,393.3
2.0,6.0,28.7,1.0,6.0,74.9,1.0,6.0,628.9,1.0,6.0,47.2,1.0,6.0,223.7,1.0,5.0,585.7
3.0,2.0,30.3,3.0,1.0,186.7,2.0,1.0,369.3,2.0,1.0,64.0,2.0,1.0,289.6,2.0,1.0,591.9
3.0,4.0,33.2,3.0,4.0,297.1,2.0,4.0,532.9,2.0,3.0,234.4,2.0,3.0,875.8,2.0,3.0,1859.0
3.0,5.0,58.8,3.0,5.0,471.5,2.0,5.0,806.3,2.0,5.0,82.1,2.0,4.0,327.4,2.0,4.0,819.9
3.0,6.0,86.8,3.0,6.0,638.2,2.0,6.0,1116.0,2.0,6.0,113.7,2.0,6.0,491.9,2.0,5.0,1298.0
4.0,2.0,9.6,4.0,1.0,63.5,4.0,1.0,435.8,3.0,1.0,285.7,3.0,1.0,916.8,3.0,1.0,1814.0
4.0,3.0,26.2,4.0,3.0,188.8,4.0,2.0,676.1,3.0,2.0,441.9,3.0,2.0,1449.0,3.0,2.0,2338.0
4.0,5.0,15.1,4.0,5.0,112.5,4.0,5.0,813.4,3.0,5.0,475.1,3.0,4.0,1451.0,3.0,4.0,2182.0
4.0,6.0,23.5,4.0,6.0,154.9,4.0,6.0,1051.0,3.0,6.0,564.1,3.0,6.0,1865.0,3.0,5.0,2635.0
5.0,2.0,35.4,5.0,1.0,155.8,5.0,1.0,896.9,5.0,1.0,40.1,4.0,1.0,150.8,4.0,1.0,438.8
5.0,3.0,86.6,5.0,3.0,508.2,5.0,2.0,1252.0,5.0,2.0,56.4,4.0,2.0,207.9,4.0,2.0,659.7
5.0,4.0,39.0,5.0,4.0,217.6,5.0,4.0,1260.0,5.0,3.0,186.1,4.0,3.0,610.0,4.0,3.0,1429.0
5.0,6.0,63.3,5.0,6.0,349.6,5.0,6.0,1624.0,5.0,6.0,45.2,4.0,6.0,169.8,4.0,5.0,452.6
6.0,2.0,83.2,6.0,1.0,331.9,6.0,1.0,1447.0,6.0,1.0,86.4,6.0,1.0,374.1,5.0,1.0,814.0
6.0,3.0,168.8,6.0,3.0,980.3,6.0,2.0,1933.0,6.0,2.0,129.7,6.0,2.0,568.7,5.0,2.0,1225.0
6.0,4.0,79.6,6.0,4.0,470.3,6.0,4.0,1826.0,6.0,3.0,374.0,6.0,3.0,1147.0,5.0,3.0,2085.0
6.0,5.0,114.8,6.0,5.0,607.7,6.0,5.0,2043.0,6.0,5.0,88.5,6.0,4.0,318.3,5.0,4.0,523.4
