1,山田 亮太,山田 亮太.1,2,品川　二千翔,品川　二千翔.1,3,谷川 将太,谷川 将太.1,4,重富 伸也,重富 伸也.1,5,栗山 繁洋,栗山 繁洋.1,6,島崎　丈一朗,島崎　丈一朗.1
2.0,3.0,5.6,1.0,3.0,31.7,1.0,2.0,66.1,1.0,2.0,53.0,1.0,2.0,330.7,1.0,2.0,793.6
2.0,4.0,10.2,1.0,4.0,40.9,1.0,4.0,58.9,1.0,3.0,74.0,1.0,3.0,401.8,1.0,3.0,1008.0
2.0,5.0,25.2,1.0,5.0,91.3,1.0,5.0,111.9,1.0,5.0,55.0,1.0,4.0,254.4,1.0,4.0,790.6
2.0,6.0,33.7,1.0,6.0,90.0,1.0,6.0,134.6,1.0,6.0,60.2,1.0,6.0,327.3,1.0,5.0,1260.0
3.0,2.0,7.9,3.0,1.0,86.3,2.0,1.0,123.2,2.0,1.0,110.6,2.0,1.0,588.1,2.0,1.0,1387.0
3.0,4.0,9.8,3.0,4.0,200.4,2.0,4.0,229.0,2.0,3.0,219.9,2.0,3.0,1158.0,2.0,3.0,2476.0
3.0,5.0,20.8,3.0,5.0,413.9,2.0,5.0,346.6,2.0,5.0,199.2,2.0,4.0,877.9,2.0,4.0,1667.0
3.0,6.0,35.1,3.0,6.0,389.3,2.0,6.0,374.8,2.0,6.0,181.1,2.0,6.0,798.2,2.0,5.0,2600.0
4.0,2.0,17.0,4.0,1.0,124.2,4.0,1.0,135.9,3.0,1.0,164.9,3.0,1.0,640.0,3.0,1.0,1498.0
4.0,3.0,19.2,4.0,3.0,238.4,4.0,2.0,244.0,3.0,2.0,278.4,3.0,2.0,1482.0,3.0,2.0,2164.0
4.0,5.0,33.5,4.0,5.0,444.6,4.0,5.0,329.4,3.0,5.0,400.2,3.0,4.0,1308.0,3.0,4.0,1896.0
4.0,6.0,44.7,4.0,6.0,397.2,4.0,6.0,313.2,3.0,6.0,274.2,3.0,6.0,1797.0,3.0,5.0,3307.0
5.0,2.0,69.2,5.0,1.0,385.0,5.0,1.0,378.6,5.0,1.0,76.0,4.0,1.0,249.9,4.0,1.0,863.2
5.0,3.0,69.7,5.0,3.0,818.8,5.0,2.0,771.4,5.0,2.0,127.8,4.0,2.0,408.1,4.0,2.0,1241.0
5.0,4.0,77.2,5.0,4.0,770.0,5.0,4.0,637.1,5.0,3.0,232.1,4.0,3.0,697.2,4.0,3.0,1392.0
5.0,6.0,110.1,5.0,6.0,1010.0,5.0,6.0,790.6,5.0,6.0,92.3,4.0,6.0,313.9,4.0,5.0,1102.0
6.0,2.0,131.4,6.0,1.0,482.4,6.0,1.0,473.6,6.0,1.0,115.0,6.0,1.0,651.1,5.0,1.0,1342.0
6.0,3.0,134.0,6.0,3.0,929.2,6.0,2.0,849.0,6.0,2.0,166.5,6.0,2.0,1013.0,5.0,2.0,2199.0
6.0,4.0,142.1,6.0,4.0,850.8,6.0,4.0,696.1,6.0,3.0,276.7,6.0,3.0,1445.0,5.0,3.0,2349.0
6.0,5.0,177.7,6.0,5.0,1355.0,6.0,5.0,1038.0,6.0,5.0,137.5,6.0,4.0,712.9,5.0,4.0,1333.0
