1,藤田 俊祐,藤田 俊祐.1,2,四宮 与寛,四宮 与寛.1,3,井手 良太,井手 良太.1,4,永田 義紘,永田 義紘.1,5,丸尾 義孝,丸尾 義孝.1,6,鳥飼 眞,鳥飼 眞.1
2.0,3.0,16.6,1.0,3.0,50.4,1.0,2.0,101.1,1.0,2.0,602.5,1.0,2.0,97.9,1.0,2.0,59.3
2.0,4.0,51.5,1.0,4.0,108.4,1.0,4.0,127.7,1.0,3.0,742.6,1.0,3.0,142.2,1.0,3.0,58.7
2.0,5.0,12.0,1.0,5.0,49.9,1.0,5.0,99.5,1.0,5.0,770.1,1.0,4.0,340.0,1.0,4.0,130.9
2.0,6.0,13.9,1.0,6.0,43.9,1.0,6.0,81.2,1.0,6.0,680.8,1.0,6.0,79.1,1.0,5.0,52.7
3.0,2.0,31.4,3.0,1.0,86.2,2.0,1.0,126.4,2.0,1.0,836.6,2.0,1.0,177.7,2.0,1.0,92.4
3.0,4.0,67.2,3.0,4.0,183.9,2.0,4.0,173.4,2.0,3.0,1016.0,2.0,3.0,349.2,2.0,3.0,129.1
3.0,5.0,30.5,3.0,5.0,138.7,2.0,5.0,166.1,2.0,5.0,1255.0,2.0,4.0,715.2,2.0,4.0,233.7
3.0,6.0,32.3,3.0,6.0,106.0,2.0,6.0,125.7,2.0,6.0,881.0,2.0,6.0,212.9,2.0,5.0,137.6
4.0,2.0,149.0,4.0,1.0,369.8,4.0,1.0,200.5,3.0,1.0,734.1,3.0,1.0,333.7,3.0,1.0,64.2
4.0,3.0,160.8,4.0,3.0,400.4,4.0,2.0,262.2,3.0,2.0,907.1,3.0,2.0,496.9,3.0,2.0,112.8
4.0,5.0,174.3,4.0,5.0,510.5,4.0,5.0,276.8,3.0,5.0,953.2,3.0,4.0,737.9,3.0,4.0,94.3
4.0,6.0,152.7,4.0,6.0,381.0,4.0,6.0,183.3,3.0,6.0,587.3,3.0,6.0,373.6,3.0,5.0,90.6
5.0,2.0,12.9,5.0,1.0,116.7,5.0,1.0,188.0,5.0,1.0,1208.0,4.0,1.0,921.5,4.0,1.0,275.9
5.0,3.0,25.3,5.0,3.0,179.6,5.0,2.0,257.2,5.0,2.0,1327.0,4.0,2.0,1234.0,4.0,2.0,416.8
5.0,4.0,80.8,5.0,4.0,375.3,5.0,4.0,315.3,5.0,3.0,1324.0,4.0,3.0,1201.0,4.0,3.0,211.8
5.0,6.0,12.5,5.0,6.0,127.7,5.0,6.0,188.3,5.0,6.0,1109.0,4.0,6.0,1097.0,4.0,5.0,413.5
6.0,2.0,19.5,6.0,1.0,85.7,6.0,1.0,94.3,6.0,1.0,918.6,6.0,1.0,129.2,5.0,1.0,97.2
6.0,3.0,24.3,6.0,3.0,101.2,6.0,2.0,131.0,6.0,2.0,985.5,6.0,2.0,233.4,5.0,2.0,154.2
6.0,4.0,62.1,6.0,4.0,179.6,6.0,4.0,116.7,6.0,3.0,688.1,6.0,3.0,292.3,5.0,3.0,157.1
6.0,5.0,17.5,6.0,5.0,116.2,6.0,5.0,123.9,6.0,5.0,1047.0,6.0,4.0,536.9,5.0,4.0,331.1
