1,前田 聖文,前田 聖文.1,2,吉田 彩乃,吉田 彩乃.1,3,深川 和仁,深川 和仁.1,4,間野 兼礼,間野 兼礼.1,5,山本 浩輔,山本 浩輔.1,6,大串 重幸,大串 重幸.1
2.0,3.0,19.2,1.0,3.0,97.4,1.0,2.0,86.8,1.0,2.0,88.6,1.0,2.0,883.9,1.0,2.0,652.1
2.0,4.0,22.3,1.0,4.0,136.3,1.0,4.0,27.0,1.0,3.0,47.4,1.0,3.0,473.9,1.0,3.0,217.6
2.0,5.0,62.1,1.0,5.0,308.7,1.0,5.0,68.5,1.0,5.0,57.5,1.0,4.0,412.6,1.0,4.0,307.2
2.0,6.0,44.5,1.0,6.0,218.9,1.0,6.0,42.9,1.0,6.0,36.6,1.0,6.0,431.4,1.0,5.0,573.3
3.0,2.0,13.9,3.0,1.0,307.2,2.0,1.0,282.8,2.0,1.0,273.6,2.0,1.0,1849.0,2.0,1.0,1403.0
3.0,4.0,5.4,3.0,4.0,704.4,2.0,4.0,500.2,2.0,3.0,475.1,2.0,3.0,2576.0,2.0,3.0,2341.0
3.0,5.0,18.4,3.0,5.0,1366.0,2.0,5.0,842.6,2.0,5.0,580.7,2.0,4.0,2357.0,2.0,4.0,2146.0
3.0,6.0,9.8,3.0,6.0,1060.0,2.0,6.0,609.2,2.0,6.0,438.2,2.0,6.0,2436.0,2.0,5.0,3370.0
4.0,2.0,20.5,4.0,1.0,381.6,4.0,1.0,62.6,3.0,1.0,84.4,3.0,1.0,794.3,3.0,1.0,362.1
4.0,3.0,10.4,4.0,3.0,792.6,4.0,2.0,256.3,3.0,2.0,376.8,3.0,2.0,2753.0,3.0,2.0,1669.0
4.0,5.0,30.8,4.0,5.0,1174.0,4.0,5.0,177.3,3.0,5.0,239.9,3.0,4.0,1509.0,3.0,4.0,862.8
4.0,6.0,15.4,4.0,6.0,860.7,4.0,6.0,105.6,3.0,6.0,122.5,3.0,6.0,1325.0,3.0,5.0,1335.0
5.0,2.0,105.4,5.0,1.0,1102.0,5.0,1.0,291.7,5.0,1.0,94.8,4.0,1.0,391.1,4.0,1.0,436.6
5.0,3.0,60.7,5.0,3.0,2049.0,5.0,2.0,954.1,5.0,2.0,268.3,4.0,2.0,890.5,4.0,2.0,1425.0
5.0,4.0,68.5,5.0,4.0,1970.0,5.0,4.0,454.7,5.0,3.0,289.4,4.0,3.0,908.4,4.0,3.0,703.0
5.0,6.0,75.6,5.0,6.0,2212.0,5.0,6.0,451.9,5.0,6.0,105.9,4.0,6.0,418.3,4.0,5.0,842.6
6.0,2.0,76.9,6.0,1.0,901.6,6.0,1.0,140.8,6.0,1.0,79.5,6.0,1.0,869.0,5.0,1.0,1096.0
6.0,3.0,33.2,6.0,3.0,1981.0,6.0,2.0,730.0,6.0,2.0,314.1,6.0,2.0,2199.0,5.0,2.0,2795.0
6.0,4.0,39.3,6.0,4.0,1776.0,6.0,4.0,254.6,6.0,3.0,198.8,6.0,3.0,1631.0,5.0,3.0,1840.0
6.0,5.0,95.9,6.0,5.0,2240.0,6.0,5.0,595.1,6.0,5.0,136.8,6.0,4.0,1004.0,5.0,4.0,1330.0
