1,溝口　海義也,溝口　海義也.1,2,山田 丈,山田 丈.1,3,宮嵜　隆太郎,宮嵜　隆太郎.1,4,渡辺 空依,渡辺 空依.1,5,篠崎 元志,篠崎 元志.1,6,土井 歩夢,土井 歩夢.1
2.0,3.0,10.7,1.0,3.0,119.4,1.0,2.0,230.8,1.0,2.0,275.9,1.0,2.0,31.2,1.0,2.0,1362.0
2.0,4.0,12.4,1.0,4.0,143.6,1.0,4.0,291.7,1.0,3.0,488.0,1.0,3.0,61.5,1.0,3.0,2459.0
2.0,5.0,4.3,1.0,5.0,43.8,1.0,5.0,130.2,1.0,5.0,181.7,1.0,4.0,82.8,1.0,4.0,2093.0
2.0,6.0,33.4,1.0,6.0,273.9,1.0,6.0,516.2,1.0,6.0,495.4,1.0,6.0,85.7,1.0,5.0,1029.0
3.0,2.0,22.3,3.0,1.0,388.5,2.0,1.0,413.0,2.0,1.0,489.4,2.0,1.0,75.3,2.0,1.0,2084.0
3.0,4.0,39.6,3.0,4.0,1090.0,2.0,4.0,999.8,2.0,3.0,1098.0,2.0,3.0,267.9,2.0,3.0,3392.0
3.0,5.0,16.7,3.0,5.0,638.0,2.0,5.0,458.0,2.0,5.0,572.0,2.0,4.0,312.7,2.0,4.0,3257.0
3.0,6.0,120.6,3.0,6.0,1607.0,2.0,6.0,1393.0,2.0,6.0,1067.0,2.0,6.0,292.1,2.0,5.0,2049.0
4.0,2.0,31.3,4.0,1.0,476.2,4.0,1.0,513.5,3.0,1.0,900.9,3.0,1.0,210.9,3.0,1.0,3513.0
4.0,3.0,61.3,4.0,3.0,1308.0,4.0,2.0,1144.0,3.0,2.0,1678.0,3.0,2.0,402.2,3.0,2.0,3726.0
4.0,5.0,27.4,4.0,5.0,631.5,4.0,5.0,389.1,3.0,5.0,935.2,3.0,4.0,600.6,3.0,4.0,4277.0
4.0,6.0,125.0,4.0,6.0,1425.0,4.0,6.0,1160.0,3.0,6.0,1571.0,3.0,6.0,618.0,3.0,5.0,3967.0
5.0,2.0,5.5,5.0,1.0,115.9,5.0,1.0,158.9,5.0,1.0,197.9,4.0,1.0,193.7,4.0,1.0,2893.0
5.0,3.0,13.1,5.0,3.0,380.4,5.0,2.0,355.7,5.0,2.0,360.6,4.0,2.0,362.2,4.0,2.0,3074.0
5.0,4.0,17.9,5.0,4.0,461.0,5.0,4.0,356.4,5.0,3.0,575.3,4.0,3.0,597.7,4.0,3.0,4513.0
5.0,6.0,22.9,5.0,6.0,507.1,5.0,6.0,538.2,5.0,6.0,360.1,4.0,6.0,382.5,4.0,5.0,2497.0
6.0,2.0,163.9,6.0,1.0,1062.0,6.0,1.0,1602.0,6.0,1.0,1274.0,6.0,1.0,319.8,5.0,1.0,1267.0
6.0,3.0,356.2,6.0,3.0,2007.0,6.0,2.0,2120.0,6.0,2.0,1959.0,6.0,2.0,487.5,5.0,2.0,1892.0
6.0,4.0,310.7,6.0,4.0,1690.0,6.0,4.0,2049.0,6.0,3.0,2447.0,6.0,3.0,857.0,5.0,3.0,3617.0
6.0,5.0,107.7,6.0,5.0,1138.0,6.0,5.0,1347.0,6.0,5.0,968.3,6.0,4.0,691.9,5.0,4.0,2236.0
