1,長野　壮志郎,長野　壮志郎.1,2,村上 純,村上 純.1,3,橋本 英一,橋本 英一.1,4,前川 守嗣,前川 守嗣.1,5,岡崎 恭裕,岡崎 恭裕.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,36.1,1.0,3.0,245.0,1.0,2.0,361.0,1.0,2.0,232.4,1.0,2.0,35.9,1.0,2.0,340.5
2.0,4.0,26.8,1.0,4.0,166.8,1.0,4.0,217.0,1.0,3.0,336.6,1.0,3.0,54.8,1.0,3.0,590.2
2.0,5.0,12.5,1.0,5.0,89.8,1.0,5.0,106.9,1.0,5.0,83.8,1.0,4.0,39.8,1.0,4.0,396.3
2.0,6.0,34.6,1.0,6.0,201.2,1.0,6.0,219.6,1.0,6.0,141.8,1.0,6.0,19.0,1.0,5.0,119.9
3.0,2.0,47.8,3.0,1.0,621.2,2.0,1.0,677.9,2.0,1.0,421.5,2.0,1.0,87.8,2.0,1.0,616.0
3.0,4.0,38.5,3.0,4.0,1097.0,2.0,4.0,1203.0,2.0,3.0,1177.0,2.0,3.0,345.9,2.0,3.0,1319.0
3.0,5.0,19.8,3.0,5.0,679.0,2.0,5.0,839.0,2.0,5.0,423.1,2.0,4.0,230.0,2.0,4.0,1177.0
3.0,6.0,42.7,3.0,6.0,1097.0,2.0,6.0,1209.0,2.0,6.0,642.1,2.0,6.0,121.7,2.0,5.0,520.7
4.0,2.0,39.1,4.0,1.0,368.0,4.0,1.0,439.2,3.0,1.0,651.7,3.0,1.0,173.7,3.0,1.0,1076.0
4.0,3.0,44.5,4.0,3.0,1052.0,4.0,2.0,1146.0,3.0,2.0,1368.0,3.0,2.0,440.1,3.0,2.0,1731.0
4.0,5.0,16.0,4.0,5.0,425.2,4.0,5.0,411.6,3.0,5.0,557.9,3.0,4.0,360.4,3.0,4.0,1731.0
4.0,6.0,31.8,4.0,6.0,633.8,4.0,6.0,635.6,3.0,6.0,870.7,3.0,6.0,227.8,3.0,5.0,922.0
5.0,2.0,11.5,5.0,1.0,148.0,5.0,1.0,160.0,5.0,1.0,89.8,4.0,1.0,84.6,4.0,1.0,656.6
5.0,3.0,17.8,5.0,3.0,590.2,5.0,2.0,564.4,5.0,2.0,241.0,4.0,2.0,202.1,4.0,2.0,1203.0
5.0,4.0,13.9,5.0,4.0,375.6,5.0,4.0,313.9,5.0,3.0,317.8,4.0,3.0,312.6,4.0,3.0,1832.0
5.0,6.0,9.2,5.0,6.0,212.8,5.0,6.0,247.0,5.0,6.0,98.3,4.0,6.0,86.8,4.0,5.0,414.7
6.0,2.0,61.5,6.0,1.0,442.4,6.0,1.0,557.9,6.0,1.0,269.3,6.0,1.0,34.8,5.0,1.0,116.1
6.0,3.0,83.2,6.0,3.0,1394.0,6.0,2.0,1233.0,6.0,2.0,657.6,6.0,2.0,89.1,5.0,2.0,328.0
6.0,4.0,62.7,6.0,4.0,823.2,6.0,4.0,1040.0,6.0,3.0,815.6,6.0,3.0,149.8,5.0,3.0,512.2
6.0,5.0,27.4,6.0,5.0,408.1,6.0,5.0,568.8,6.0,5.0,220.4,6.0,4.0,86.3,5.0,4.0,281.2
