1,冨成 謙児,冨成 謙児.1,2,飯山 晃三,飯山 晃三.1,3,向後 龍一,向後 龍一.1,4,小川　竜太朗,小川　竜太朗.1,5,村田 浩司,村田 浩司.1,6,平尾 崇典,平尾 崇典.1
2.0,3.0,46.9,1.0,3.0,103.6,1.0,2.0,38.6,1.0,2.0,561.6,1.0,2.0,949.5,1.0,2.0,44.6
2.0,4.0,132.5,1.0,4.0,274.4,1.0,4.0,59.4,1.0,3.0,320.3,1.0,3.0,573.8,1.0,3.0,17.7
2.0,5.0,217.8,1.0,5.0,393.4,1.0,5.0,53.5,1.0,5.0,599.9,1.0,4.0,1466.0,1.0,4.0,94.7
2.0,6.0,48.9,1.0,6.0,102.2,1.0,6.0,9.8,1.0,6.0,286.0,1.0,6.0,508.6,1.0,5.0,51.7
3.0,2.0,26.7,3.0,1.0,153.3,2.0,1.0,103.5,2.0,1.0,946.1,2.0,1.0,1590.0,2.0,1.0,92.4
3.0,4.0,44.7,3.0,4.0,360.1,2.0,4.0,219.6,2.0,3.0,923.0,2.0,3.0,1178.0,2.0,3.0,61.7
3.0,5.0,59.2,3.0,5.0,406.7,2.0,5.0,190.7,2.0,5.0,1543.0,2.0,4.0,2399.0,2.0,4.0,233.4
3.0,6.0,9.1,3.0,6.0,96.3,2.0,6.0,55.8,2.0,6.0,774.1,2.0,6.0,1086.0,2.0,5.0,149.3
4.0,2.0,183.9,4.0,1.0,719.3,4.0,1.0,146.9,3.0,1.0,413.1,3.0,1.0,606.8,3.0,1.0,15.8
4.0,3.0,120.2,4.0,3.0,642.2,4.0,2.0,312.7,3.0,2.0,692.8,3.0,2.0,981.3,3.0,2.0,31.5
4.0,5.0,339.7,4.0,5.0,1491.0,4.0,5.0,228.7,3.0,5.0,650.2,3.0,4.0,1123.0,3.0,4.0,58.3
4.0,6.0,104.4,4.0,6.0,548.8,4.0,6.0,78.3,3.0,6.0,257.2,3.0,6.0,393.4,3.0,5.0,38.3
5.0,2.0,422.3,5.0,1.0,1147.0,5.0,1.0,172.3,5.0,1.0,1360.0,4.0,1.0,2538.0,4.0,1.0,218.3
5.0,3.0,191.8,5.0,3.0,663.2,5.0,2.0,286.3,5.0,2.0,1808.0,4.0,2.0,2490.0,4.0,2.0,394.5
5.0,4.0,572.6,5.0,4.0,1725.0,5.0,4.0,329.5,5.0,3.0,1162.0,4.0,3.0,1759.0,4.0,3.0,164.8
5.0,6.0,172.7,5.0,6.0,515.5,5.0,6.0,92.1,5.0,6.0,894.8,4.0,6.0,1703.0,4.0,5.0,307.6
6.0,2.0,37.8,6.0,1.0,161.5,6.0,1.0,10.8,6.0,1.0,305.1,6.0,1.0,488.8,5.0,1.0,98.9
6.0,3.0,13.1,6.0,3.0,100.7,6.0,2.0,25.0,6.0,2.0,455.1,6.0,2.0,897.9,5.0,2.0,179.2
6.0,4.0,61.9,6.0,4.0,303.7,6.0,4.0,37.4,6.0,3.0,253.5,6.0,3.0,364.6,5.0,3.0,85.5
6.0,5.0,67.5,6.0,5.0,288.8,6.0,5.0,28.8,6.0,5.0,535.4,6.0,4.0,1194.0,5.0,4.0,283.8
