1,荒川 健太,荒川 健太.1,2,田邉 亮蔵,田邉 亮蔵.1,3,待鳥 雄紀,待鳥 雄紀.1,4,古場 輝義,古場 輝義.1,5,乙津 康志,乙津 康志.1,6,草場 康幸,草場 康幸.1
2.0,3.0,12.5,1.0,3.0,61.6,1.0,2.0,47.2,1.0,2.0,166.0,1.0,2.0,342.9,1.0,2.0,1028.0
2.0,4.0,21.8,1.0,4.0,108.4,1.0,4.0,21.1,1.0,3.0,76.2,1.0,3.0,248.9,1.0,3.0,579.4
2.0,5.0,30.4,1.0,5.0,125.0,1.0,5.0,31.4,1.0,5.0,135.7,1.0,4.0,362.6,1.0,4.0,725.8
2.0,6.0,60.6,1.0,6.0,179.6,1.0,6.0,46.2,1.0,6.0,145.3,1.0,6.0,457.9,1.0,5.0,1240.0
3.0,2.0,8.9,3.0,1.0,117.9,2.0,1.0,117.4,2.0,1.0,344.2,2.0,1.0,544.8,2.0,1.0,1302.0
3.0,4.0,6.0,3.0,4.0,279.8,2.0,4.0,239.3,2.0,3.0,549.8,2.0,3.0,995.7,2.0,3.0,1717.0
3.0,5.0,9.4,3.0,5.0,372.3,2.0,5.0,298.6,2.0,5.0,755.9,2.0,4.0,1281.0,2.0,4.0,1305.0
3.0,6.0,16.3,3.0,6.0,438.0,2.0,6.0,403.7,2.0,6.0,580.1,2.0,6.0,1358.0,2.0,5.0,2370.0
4.0,2.0,30.8,4.0,1.0,275.5,4.0,1.0,45.9,3.0,1.0,103.3,3.0,1.0,366.0,3.0,1.0,649.3
4.0,3.0,14.2,4.0,3.0,480.7,4.0,2.0,174.3,3.0,2.0,406.5,3.0,2.0,925.7,3.0,2.0,2017.0
4.0,5.0,29.6,4.0,5.0,732.6,4.0,5.0,82.9,3.0,5.0,229.5,3.0,4.0,689.9,3.0,4.0,784.7
4.0,6.0,39.7,4.0,6.0,628.6,4.0,6.0,83.7,3.0,6.0,199.6,3.0,6.0,863.3,3.0,5.0,2051.0
5.0,2.0,48.5,5.0,1.0,426.6,5.0,1.0,111.3,5.0,1.0,250.9,4.0,1.0,561.6,4.0,1.0,734.8
5.0,3.0,31.7,5.0,3.0,797.9,5.0,2.0,284.6,5.0,2.0,628.6,4.0,2.0,1354.0,4.0,2.0,1481.0
5.0,4.0,57.4,5.0,4.0,1153.0,5.0,4.0,154.9,5.0,3.0,338.3,4.0,3.0,766.9,4.0,3.0,868.1
5.0,6.0,81.4,5.0,6.0,894.3,5.0,6.0,185.3,5.0,6.0,320.7,4.0,6.0,854.0,4.0,5.0,1385.0
6.0,2.0,170.6,6.0,1.0,786.0,6.0,1.0,186.9,6.0,1.0,308.5,6.0,1.0,934.9,5.0,1.0,1472.0
6.0,3.0,81.8,6.0,3.0,1131.0,6.0,2.0,504.2,6.0,2.0,796.6,6.0,2.0,1606.0,5.0,2.0,2393.0
6.0,4.0,117.4,6.0,4.0,1110.0,6.0,4.0,225.6,6.0,3.0,410.0,6.0,3.0,1257.0,5.0,3.0,2043.0
6.0,5.0,156.3,6.0,5.0,1270.0,6.0,5.0,317.0,6.0,5.0,567.6,6.0,4.0,1028.0,5.0,4.0,1462.0
