1,石井 裕美,石井 裕美.1,2,堀之内紀代子,堀之内紀代子.1,3,片岡 恵里,片岡 恵里.1,4,坂本 奈央,坂本 奈央.1,5,大橋　栄里佳,大橋　栄里佳.1,6,前田 紗希,前田 紗希.1
2.0,3.0,12.8,1.0,3.0,13.1,1.0,2.0,44.7,1.0,2.0,888.3,1.0,2.0,118.1,1.0,2.0,111.6
2.0,4.0,106.0,1.0,4.0,111.7,1.0,4.0,263.6,1.0,3.0,1382.0,1.0,3.0,143.6,1.0,3.0,159.7
2.0,5.0,21.8,1.0,5.0,26.4,1.0,5.0,72.6,1.0,5.0,1284.0,1.0,4.0,742.7,1.0,4.0,948.4
2.0,6.0,19.8,1.0,6.0,19.2,1.0,6.0,62.0,1.0,6.0,1223.0,1.0,6.0,125.5,1.0,5.0,265.2
3.0,2.0,19.0,3.0,1.0,21.0,2.0,1.0,42.2,2.0,1.0,761.1,2.0,1.0,117.9,2.0,1.0,97.8
3.0,4.0,133.2,3.0,4.0,120.9,2.0,4.0,214.5,2.0,3.0,865.8,2.0,3.0,133.0,2.0,3.0,65.0
3.0,5.0,30.9,3.0,5.0,26.0,2.0,5.0,51.7,2.0,5.0,1034.0,2.0,4.0,822.0,2.0,4.0,539.8
3.0,6.0,29.2,3.0,6.0,17.0,2.0,6.0,35.1,2.0,6.0,776.4,2.0,6.0,97.9,2.0,5.0,116.7
4.0,2.0,259.0,4.0,1.0,355.5,4.0,1.0,646.2,3.0,1.0,1454.0,3.0,1.0,187.5,3.0,1.0,180.7
4.0,3.0,303.6,4.0,3.0,317.4,4.0,2.0,592.7,3.0,2.0,1489.0,3.0,2.0,176.5,3.0,2.0,93.4
4.0,5.0,326.5,4.0,5.0,506.1,4.0,5.0,784.3,3.0,5.0,1975.0,3.0,4.0,1093.0,3.0,4.0,909.2
4.0,6.0,316.8,4.0,6.0,338.3,4.0,6.0,590.5,3.0,6.0,1648.0,3.0,6.0,172.2,3.0,5.0,217.6
5.0,2.0,47.2,5.0,1.0,60.1,5.0,1.0,110.2,5.0,1.0,1481.0,4.0,1.0,1218.0,4.0,1.0,1467.0
5.0,3.0,61.4,5.0,3.0,50.2,5.0,2.0,87.4,5.0,2.0,1572.0,4.0,2.0,1496.0,4.0,2.0,1129.0
5.0,4.0,286.4,5.0,4.0,357.1,5.0,4.0,474.9,5.0,3.0,1868.0,4.0,3.0,1761.0,4.0,3.0,1741.0
5.0,6.0,65.0,5.0,6.0,44.6,5.0,6.0,87.7,5.0,6.0,1474.0,4.0,6.0,1279.0,4.0,5.0,1731.0
6.0,2.0,50.0,6.0,1.0,42.6,6.0,1.0,88.4,6.0,1.0,1597.0,6.0,1.0,136.2,5.0,1.0,290.5
6.0,3.0,62.6,6.0,3.0,28.7,6.0,2.0,57.2,6.0,2.0,1317.0,6.0,2.0,112.5,5.0,2.0,172.0
6.0,4.0,312.6,6.0,4.0,222.4,6.0,4.0,348.3,6.0,3.0,1963.0,6.0,3.0,166.8,5.0,3.0,256.8
6.0,5.0,91.5,6.0,5.0,48.9,6.0,5.0,99.5,6.0,5.0,1792.0,6.0,4.0,863.4,5.0,4.0,1052.0
