1,川野 芽唯,川野 芽唯.1,2,今井 美亜,今井 美亜.1,3,武藤 綾子,武藤 綾子.1,4,平川 香織,平川 香織.1,5,赤井 睦,赤井 睦.1,6,土屋　実沙希,土屋　実沙希.1
2.0,3.0,6.1,1.0,3.0,27.9,1.0,2.0,177.1,1.0,2.0,71.5,1.0,2.0,233.6,1.0,2.0,310.2
2.0,4.0,4.9,1.0,4.0,21.1,1.0,4.0,296.5,1.0,3.0,222.1,1.0,3.0,553.2,1.0,3.0,692.2
2.0,5.0,20.5,1.0,5.0,59.7,1.0,5.0,538.7,1.0,5.0,168.8,1.0,4.0,428.8,1.0,4.0,518.1
2.0,6.0,10.4,1.0,6.0,32.5,1.0,6.0,529.3,1.0,6.0,114.3,1.0,6.0,284.2,1.0,5.0,710.3
3.0,2.0,17.8,3.0,1.0,97.2,2.0,1.0,228.2,2.0,1.0,111.0,2.0,1.0,362.4,2.0,1.0,405.5
3.0,4.0,27.0,3.0,4.0,150.1,2.0,4.0,347.5,2.0,3.0,403.6,2.0,3.0,931.3,2.0,3.0,1192.0
3.0,5.0,61.0,3.0,5.0,281.9,2.0,5.0,607.3,2.0,5.0,381.5,2.0,4.0,723.3,2.0,4.0,854.1
3.0,6.0,47.6,3.0,6.0,203.8,2.0,6.0,622.7,2.0,6.0,224.9,2.0,6.0,501.9,2.0,5.0,1232.0
4.0,2.0,9.7,4.0,1.0,64.0,4.0,1.0,512.9,3.0,1.0,574.1,3.0,1.0,1238.0,3.0,1.0,1846.0
4.0,3.0,23.2,4.0,3.0,147.8,4.0,2.0,509.4,3.0,2.0,686.7,3.0,2.0,1532.0,3.0,2.0,1565.0
4.0,5.0,43.3,4.0,5.0,227.1,4.0,5.0,1217.0,3.0,5.0,1434.0,3.0,4.0,2829.0,3.0,4.0,2035.0
4.0,6.0,22.9,4.0,6.0,121.8,4.0,6.0,817.5,3.0,6.0,840.1,3.0,6.0,1988.0,3.0,5.0,3456.0
5.0,2.0,59.4,5.0,1.0,237.3,5.0,1.0,1209.0,5.0,1.0,281.7,4.0,1.0,699.7,4.0,1.0,943.2
5.0,3.0,126.2,5.0,3.0,490.5,5.0,2.0,1434.0,5.0,2.0,464.8,4.0,2.0,971.7,4.0,2.0,1057.0
5.0,4.0,108.5,5.0,4.0,437.2,5.0,4.0,2239.0,5.0,3.0,1114.0,4.0,3.0,2154.0,4.0,3.0,1745.0
5.0,6.0,85.8,5.0,6.0,362.9,5.0,6.0,2128.0,5.0,6.0,323.5,4.0,6.0,759.6,4.0,5.0,1950.0
6.0,2.0,45.2,6.0,1.0,150.5,6.0,1.0,1290.0,6.0,1.0,265.2,6.0,1.0,415.0,5.0,1.0,841.5
6.0,3.0,97.8,6.0,3.0,369.9,6.0,2.0,1223.0,6.0,2.0,358.4,6.0,2.0,527.1,5.0,2.0,1009.0
6.0,4.0,72.0,6.0,4.0,269.9,6.0,4.0,1589.0,6.0,3.0,887.9,6.0,3.0,992.3,5.0,3.0,1807.0
6.0,5.0,133.6,6.0,5.0,450.6,6.0,5.0,3011.0,6.0,5.0,471.2,6.0,4.0,803.4,5.0,4.0,1604.0
