1,堂原 洋史,堂原 洋史.1,2,高山 秀雄,高山 秀雄.1,3,岩永 節也,岩永 節也.1,4,尾上 雅也,尾上 雅也.1,5,黒柳 浩孝,黒柳 浩孝.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,87.0,1.0,3.0,150.2,1.0,2.0,234.9,1.0,2.0,32.3,1.0,2.0,95.5,1.0,2.0,3134.0
2.0,4.0,56.0,1.0,4.0,85.8,1.0,4.0,178.3,1.0,3.0,54.8,1.0,3.0,122.5,1.0,3.0,2534.0
2.0,5.0,84.8,1.0,5.0,120.6,1.0,5.0,202.2,1.0,5.0,18.6,1.0,4.0,55.5,1.0,4.0,2382.0
2.0,6.0,504.7,1.0,6.0,548.9,1.0,6.0,1280.0,1.0,6.0,146.8,1.0,6.0,277.6,1.0,5.0,2206.0
3.0,2.0,159.2,3.0,1.0,216.5,2.0,1.0,260.1,2.0,1.0,40.8,2.0,1.0,97.5,2.0,1.0,3609.0
3.0,4.0,92.3,3.0,4.0,127.2,2.0,4.0,153.1,2.0,3.0,45.5,2.0,3.0,124.8,2.0,3.0,3309.0
3.0,5.0,128.6,3.0,5.0,138.6,2.0,5.0,164.9,2.0,5.0,19.0,2.0,4.0,50.4,2.0,4.0,1609.0
3.0,6.0,665.5,3.0,6.0,827.2,2.0,6.0,1156.0,2.0,6.0,169.2,2.0,6.0,333.6,2.0,5.0,2247.0
4.0,2.0,37.9,4.0,1.0,76.7,4.0,1.0,161.2,3.0,1.0,78.5,3.0,1.0,216.2,3.0,1.0,4412.0
4.0,3.0,60.6,4.0,3.0,88.0,4.0,2.0,130.7,3.0,2.0,60.5,3.0,2.0,201.2,3.0,2.0,3503.0
4.0,5.0,30.4,4.0,5.0,38.7,4.0,5.0,68.0,3.0,5.0,30.1,3.0,4.0,93.8,3.0,4.0,869.5
4.0,6.0,238.7,4.0,6.0,348.3,4.0,6.0,436.3,3.0,6.0,267.7,3.0,6.0,617.2,3.0,5.0,3219.0
5.0,2.0,76.8,5.0,1.0,139.3,5.0,1.0,219.7,5.0,1.0,9.4,4.0,1.0,24.4,4.0,1.0,1609.0
5.0,3.0,116.1,5.0,3.0,135.6,5.0,2.0,149.4,5.0,2.0,7.8,4.0,2.0,20.4,4.0,2.0,1353.0
5.0,4.0,49.8,5.0,4.0,57.7,5.0,4.0,100.6,5.0,3.0,13.9,4.0,3.0,38.3,4.0,3.0,704.9
5.0,6.0,313.4,5.0,6.0,569.9,5.0,6.0,1073.0,5.0,6.0,22.6,4.0,6.0,54.5,4.0,5.0,604.7
6.0,2.0,1418.0,6.0,1.0,1861.0,6.0,1.0,2905.0,6.0,1.0,296.3,6.0,1.0,470.8,5.0,1.0,2165.0
6.0,3.0,1113.0,6.0,3.0,1751.0,6.0,2.0,2089.0,6.0,2.0,261.8,6.0,2.0,534.2,5.0,2.0,2382.0
6.0,4.0,1294.0,6.0,4.0,1092.0,6.0,4.0,763.6,6.0,3.0,278.3,6.0,3.0,643.9,5.0,3.0,2905.0
6.0,5.0,1385.0,6.0,5.0,1215.0,6.0,5.0,1567.0,6.0,5.0,124.0,6.0,4.0,246.1,5.0,4.0,726.3
