1,高橋 直哉,高橋 直哉.1,2,古川 誠之,古川 誠之.1,3,白井 友晴,白井 友晴.1,4,西川　新太郎,西川　新太郎.1,5,宗行 治哉,宗行 治哉.1,6,柴田 大輔,柴田 大輔.1
2.0,3.0,12.4,1.0,3.0,20.7,1.0,2.0,102.5,1.0,2.0,102.8,1.0,2.0,61.9,1.0,2.0,563.3
2.0,4.0,13.9,1.0,4.0,24.0,1.0,4.0,99.8,1.0,3.0,168.6,1.0,3.0,99.2,1.0,3.0,765.8
2.0,5.0,10.7,1.0,5.0,16.6,1.0,5.0,88.2,1.0,5.0,100.2,1.0,4.0,100.4,1.0,4.0,683.3
2.0,6.0,78.1,1.0,6.0,95.0,1.0,6.0,294.7,1.0,6.0,194.9,1.0,6.0,194.5,1.0,5.0,720.3
3.0,2.0,22.1,3.0,1.0,63.5,2.0,1.0,137.5,2.0,1.0,143.4,2.0,1.0,85.0,2.0,1.0,699.0
3.0,4.0,31.8,3.0,4.0,69.1,2.0,4.0,143.0,2.0,3.0,202.4,2.0,3.0,114.6,2.0,3.0,946.6
3.0,5.0,22.7,3.0,5.0,53.5,2.0,5.0,105.1,2.0,5.0,106.8,2.0,4.0,92.7,2.0,4.0,653.0
3.0,6.0,99.1,3.0,6.0,210.6,2.0,6.0,332.0,2.0,6.0,245.5,2.0,6.0,236.2,2.0,5.0,773.4
4.0,2.0,29.1,4.0,1.0,71.9,4.0,1.0,223.0,3.0,1.0,310.5,3.0,1.0,201.1,3.0,1.0,1247.0
4.0,3.0,46.7,4.0,3.0,96.7,4.0,2.0,223.5,3.0,2.0,292.0,3.0,2.0,173.2,3.0,2.0,1239.0
4.0,5.0,39.9,4.0,5.0,61.3,4.0,5.0,201.2,3.0,5.0,257.5,3.0,4.0,242.6,3.0,4.0,1298.0
4.0,6.0,107.6,4.0,6.0,172.5,4.0,6.0,425.3,3.0,6.0,506.7,3.0,6.0,405.1,3.0,5.0,1377.0
5.0,2.0,18.3,5.0,1.0,43.0,5.0,1.0,154.9,5.0,1.0,115.7,4.0,1.0,129.6,4.0,1.0,797.2
5.0,3.0,26.5,5.0,3.0,54.4,5.0,2.0,141.1,5.0,2.0,100.4,4.0,2.0,103.0,4.0,2.0,626.7
5.0,4.0,38.9,5.0,4.0,52.4,5.0,4.0,184.5,5.0,3.0,177.2,4.0,3.0,195.0,4.0,3.0,1067.0
5.0,6.0,81.2,5.0,6.0,167.0,5.0,6.0,355.0,5.0,6.0,166.6,4.0,6.0,176.5,4.0,5.0,758.4
6.0,2.0,225.2,6.0,1.0,440.8,6.0,1.0,694.6,6.0,1.0,316.8,6.0,1.0,393.1,5.0,1.0,1040.0
6.0,3.0,246.8,6.0,3.0,496.1,6.0,2.0,710.9,6.0,2.0,286.6,6.0,2.0,373.4,5.0,2.0,1004.0
6.0,4.0,264.0,6.0,4.0,364.9,6.0,4.0,687.6,6.0,3.0,478.3,6.0,3.0,494.3,5.0,3.0,1277.0
6.0,5.0,247.4,6.0,5.0,424.3,6.0,5.0,755.2,6.0,5.0,322.0,6.0,4.0,302.7,5.0,4.0,813.8
