1,山本 梨菜,山本 梨菜.1,2,宮本 夏樹,宮本 夏樹.1,3,大谷 直弘,大谷 直弘.1,4,齋藤 勇,齋藤 勇.1,5,末永 和也,末永 和也.1,6,瓜生 正義,瓜生 正義.1
2.0,3.0,41.6,1.0,3.0,157.6,1.0,2.0,169.2,1.0,2.0,978.4,1.0,2.0,67.1,1.0,2.0,144.2
2.0,4.0,92.9,1.0,4.0,467.2,1.0,4.0,309.6,1.0,3.0,1204.0,1.0,3.0,40.1,1.0,3.0,88.3
2.0,5.0,24.5,1.0,5.0,104.1,1.0,5.0,58.4,1.0,5.0,616.5,1.0,4.0,164.6,1.0,4.0,242.8
2.0,6.0,29.7,1.0,6.0,126.6,1.0,6.0,64.1,1.0,6.0,609.3,1.0,6.0,19.1,1.0,5.0,34.8
3.0,2.0,37.0,3.0,1.0,329.2,2.0,1.0,359.3,2.0,1.0,1157.0,2.0,1.0,121.0,2.0,1.0,283.5
3.0,4.0,71.3,3.0,4.0,951.5,2.0,4.0,875.6,2.0,3.0,1667.0,2.0,3.0,213.3,2.0,3.0,427.0
3.0,5.0,13.7,3.0,5.0,268.9,2.0,5.0,276.7,2.0,5.0,1766.0,2.0,4.0,645.2,2.0,4.0,847.1
3.0,6.0,15.7,3.0,6.0,289.8,2.0,6.0,288.2,2.0,6.0,1211.0,2.0,6.0,99.8,2.0,5.0,213.7
4.0,2.0,149.4,4.0,1.0,992.3,4.0,1.0,637.3,3.0,1.0,1488.0,3.0,1.0,76.5,3.0,1.0,167.7
4.0,3.0,131.3,4.0,3.0,1467.0,4.0,2.0,1068.0,3.0,2.0,1736.0,3.0,2.0,234.4,3.0,2.0,399.2
4.0,5.0,114.6,4.0,5.0,1204.0,4.0,5.0,481.2,3.0,5.0,1362.0,3.0,4.0,393.9,3.0,4.0,701.6
4.0,6.0,103.4,4.0,6.0,1164.0,4.0,6.0,408.6,3.0,6.0,1197.0,3.0,6.0,59.7,3.0,5.0,121.6
5.0,2.0,24.0,5.0,1.0,143.7,5.0,1.0,75.5,5.0,1.0,522.3,4.0,1.0,329.7,4.0,1.0,611.1
5.0,3.0,15.9,5.0,3.0,240.6,5.0,2.0,205.7,5.0,2.0,1263.0,4.0,2.0,760.5,4.0,2.0,1052.0
5.0,4.0,71.1,5.0,4.0,757.8,5.0,4.0,325.6,5.0,3.0,914.0,4.0,3.0,495.0,4.0,3.0,854.0
5.0,6.0,9.6,5.0,6.0,135.5,5.0,6.0,53.2,5.0,6.0,262.4,4.0,6.0,153.9,4.0,5.0,316.7
6.0,2.0,37.3,6.0,1.0,234.6,6.0,1.0,88.4,6.0,1.0,569.3,6.0,1.0,21.8,5.0,1.0,36.8
6.0,3.0,23.2,6.0,3.0,343.3,6.0,2.0,236.5,6.0,2.0,1247.0,6.0,2.0,74.2,5.0,2.0,138.8
6.0,4.0,86.6,6.0,4.0,1132.0,6.0,4.0,337.7,6.0,3.0,1042.0,6.0,3.0,41.1,5.0,3.0,84.5
6.0,5.0,13.3,6.0,5.0,188.4,6.0,5.0,66.6,6.0,5.0,326.6,6.0,4.0,102.9,5.0,4.0,186.2
