1,間嶋 仁志,間嶋 仁志.1,2,榎 幸司,榎 幸司.1,3,奈須 啓太,奈須 啓太.1,4,亀山 雅幸,亀山 雅幸.1,5,高橋 勲,高橋 勲.1,6,渡邉 睦広,渡邉 睦広.1
2.0,3.0,5.3,1.0,3.0,18.9,1.0,2.0,36.1,1.0,2.0,72.1,1.0,2.0,462.0,1.0,2.0,1091.0
2.0,4.0,7.5,1.0,4.0,24.1,1.0,4.0,35.8,1.0,3.0,91.8,1.0,3.0,471.5,1.0,3.0,1389.0
2.0,5.0,32.5,1.0,5.0,77.6,1.0,5.0,83.6,1.0,5.0,131.1,1.0,4.0,574.6,1.0,4.0,2104.0
2.0,6.0,41.4,1.0,6.0,89.8,1.0,6.0,110.4,1.0,6.0,124.2,1.0,6.0,813.7,1.0,5.0,3220.0
3.0,2.0,8.3,3.0,1.0,51.5,2.0,1.0,74.8,2.0,1.0,134.3,2.0,1.0,755.5,2.0,1.0,1796.0
3.0,4.0,10.1,3.0,4.0,88.7,2.0,4.0,96.9,2.0,3.0,217.3,2.0,3.0,926.5,2.0,3.0,2563.0
3.0,5.0,33.3,3.0,5.0,233.7,2.0,5.0,254.0,2.0,5.0,294.8,2.0,4.0,1219.0,2.0,4.0,2722.0
3.0,6.0,51.0,3.0,6.0,224.1,2.0,6.0,254.0,2.0,6.0,260.6,2.0,6.0,1620.0,2.0,5.0,4225.0
4.0,2.0,14.5,4.0,1.0,86.4,4.0,1.0,87.7,3.0,1.0,155.9,3.0,1.0,706.0,3.0,1.0,2422.0
4.0,3.0,18.6,4.0,3.0,155.5,4.0,2.0,123.8,3.0,2.0,238.5,3.0,2.0,943.1,3.0,2.0,1760.0
4.0,5.0,48.3,4.0,5.0,319.6,4.0,5.0,176.9,3.0,5.0,341.3,3.0,4.0,934.7,3.0,4.0,2809.0
4.0,6.0,52.1,4.0,6.0,232.2,4.0,6.0,216.8,3.0,6.0,325.0,3.0,6.0,1703.0,3.0,5.0,4094.0
5.0,2.0,103.7,5.0,1.0,416.1,5.0,1.0,298.3,5.0,1.0,210.2,4.0,1.0,694.9,4.0,1.0,1859.0
5.0,3.0,107.8,5.0,3.0,690.3,5.0,2.0,427.2,5.0,2.0,267.8,4.0,2.0,878.7,4.0,2.0,2138.0
5.0,4.0,113.2,5.0,4.0,726.4,5.0,4.0,398.2,5.0,3.0,349.9,4.0,3.0,818.8,4.0,3.0,2276.0
5.0,6.0,212.8,5.0,6.0,861.5,5.0,6.0,574.0,5.0,6.0,257.6,4.0,6.0,870.0,4.0,5.0,2219.0
6.0,2.0,212.1,6.0,1.0,595.4,6.0,1.0,539.4,6.0,1.0,342.0,6.0,1.0,2316.0,5.0,1.0,4592.0
6.0,3.0,255.8,6.0,3.0,836.9,6.0,2.0,671.9,6.0,2.0,430.4,6.0,2.0,2379.0,5.0,2.0,4514.0
6.0,4.0,215.5,6.0,4.0,817.5,6.0,4.0,631.7,6.0,3.0,515.2,6.0,3.0,2563.0,5.0,3.0,4329.0
6.0,5.0,365.4,6.0,5.0,1225.0,6.0,5.0,981.6,6.0,5.0,429.3,6.0,4.0,1879.0,5.0,4.0,3240.0
