1,澤 大介,澤 大介.1,2,天野 誠,天野 誠.1,3,新田 泰章,新田 泰章.1,4,田中 駿兵,田中 駿兵.1,5,杉山 太陽,杉山 太陽.1,6,黒崎 竜也,黒崎 竜也.1
2.0,3.0,27.1,1.0,3.0,166.6,1.0,2.0,37.7,1.0,2.0,352.8,1.0,2.0,1031.0,1.0,2.0,62.2
2.0,4.0,66.4,1.0,4.0,401.8,1.0,4.0,27.8,1.0,3.0,153.0,1.0,3.0,677.9,1.0,3.0,23.0
2.0,5.0,204.9,1.0,5.0,662.2,1.0,5.0,110.4,1.0,5.0,481.1,1.0,4.0,1184.0,1.0,4.0,55.4
2.0,6.0,38.1,1.0,6.0,202.1,1.0,6.0,11.5,1.0,6.0,125.1,1.0,6.0,499.2,1.0,5.0,167.4
3.0,2.0,14.1,3.0,1.0,234.4,2.0,1.0,109.9,2.0,1.0,598.7,2.0,1.0,1715.0,2.0,1.0,144.9
3.0,4.0,13.7,3.0,4.0,643.4,2.0,4.0,241.4,2.0,3.0,683.8,2.0,3.0,2228.0,2.0,3.0,143.7
3.0,5.0,67.0,3.0,5.0,1285.0,2.0,5.0,478.1,2.0,5.0,1310.0,2.0,4.0,1765.0,2.0,4.0,285.7
3.0,6.0,6.2,3.0,6.0,300.2,2.0,6.0,97.0,2.0,6.0,481.5,2.0,6.0,1518.0,2.0,5.0,592.9
4.0,2.0,88.6,4.0,1.0,781.1,4.0,1.0,66.8,3.0,1.0,173.7,3.0,1.0,1029.0,3.0,1.0,28.0
4.0,3.0,38.8,4.0,3.0,860.2,4.0,2.0,220.8,3.0,2.0,492.9,3.0,2.0,2157.0,3.0,2.0,86.1
4.0,5.0,217.5,4.0,5.0,1427.0,4.0,5.0,275.5,3.0,5.0,607.4,3.0,4.0,1652.0,3.0,4.0,58.4
4.0,6.0,37.6,4.0,6.0,691.7,4.0,6.0,44.8,3.0,6.0,113.1,3.0,6.0,874.1,3.0,5.0,203.4
5.0,2.0,372.9,5.0,1.0,1941.0,5.0,1.0,418.8,5.0,1.0,718.2,4.0,1.0,1599.0,4.0,1.0,108.0
5.0,3.0,193.4,5.0,3.0,1991.0,5.0,2.0,937.3,5.0,2.0,1091.0,4.0,2.0,2228.0,4.0,2.0,258.9
5.0,4.0,384.7,5.0,4.0,2115.0,5.0,4.0,579.6,5.0,3.0,826.2,4.0,3.0,1794.0,4.0,3.0,89.9
5.0,6.0,183.3,5.0,6.0,1770.0,5.0,6.0,297.4,5.0,6.0,466.6,4.0,6.0,1051.0,4.0,5.0,334.7
6.0,2.0,33.9,6.0,1.0,331.7,6.0,1.0,20.0,6.0,1.0,104.6,6.0,1.0,463.5,5.0,1.0,320.5
6.0,3.0,10.7,6.0,3.0,363.1,6.0,2.0,62.3,6.0,2.0,248.1,6.0,2.0,970.8,5.0,2.0,635.1
6.0,4.0,28.4,6.0,4.0,689.0,6.0,4.0,36.2,6.0,3.0,101.4,6.0,3.0,563.9,5.0,3.0,387.7
6.0,5.0,109.7,6.0,5.0,1255.0,6.0,5.0,157.3,6.0,5.0,292.4,6.0,4.0,764.6,5.0,4.0,481.9
