1,杉山 正樹,杉山 正樹.1,2,本橋 克洋,本橋 克洋.1,3,木村 仁紀,木村 仁紀.1,4,森 智也,森 智也.1,5,近藤 稔也,近藤 稔也.1,6,渡邉　真奈美,渡邉　真奈美.1
2.0,3.0,6.5,1.0,3.0,77.0,1.0,2.0,32.4,1.0,2.0,240.1,1.0,2.0,717.9,1.0,2.0,142.0
2.0,4.0,17.1,1.0,4.0,153.4,1.0,4.0,30.0,1.0,3.0,183.8,1.0,3.0,542.0,1.0,3.0,126.6
2.0,5.0,44.2,1.0,5.0,316.1,1.0,5.0,66.8,1.0,5.0,338.9,1.0,4.0,864.2,1.0,4.0,317.4
2.0,6.0,21.5,1.0,6.0,183.4,1.0,6.0,33.9,1.0,6.0,223.5,1.0,6.0,796.3,1.0,5.0,568.4
3.0,2.0,5.0,3.0,1.0,122.0,2.0,1.0,79.2,2.0,1.0,465.2,2.0,1.0,1307.0,2.0,1.0,254.0
3.0,4.0,7.2,3.0,4.0,421.5,2.0,4.0,193.6,2.0,3.0,768.8,2.0,3.0,2020.0,2.0,3.0,306.8
3.0,5.0,21.9,3.0,5.0,887.2,2.0,5.0,372.4,2.0,5.0,988.7,2.0,4.0,1576.0,2.0,4.0,869.0
3.0,6.0,9.4,3.0,6.0,348.7,2.0,6.0,169.0,2.0,6.0,720.1,2.0,6.0,1337.0,2.0,5.0,1158.0
4.0,2.0,32.4,4.0,1.0,527.9,4.0,1.0,107.5,3.0,1.0,254.4,3.0,1.0,793.6,3.0,1.0,206.5
4.0,3.0,22.3,4.0,3.0,652.7,4.0,2.0,236.1,3.0,2.0,601.3,3.0,2.0,1747.0,3.0,2.0,293.1
4.0,5.0,84.6,4.0,5.0,1190.0,4.0,5.0,278.2,3.0,5.0,603.7,3.0,4.0,1654.0,3.0,4.0,620.5
4.0,6.0,45.0,4.0,6.0,720.1,4.0,6.0,172.9,3.0,6.0,423.8,3.0,6.0,1535.0,3.0,5.0,980.4
5.0,2.0,111.8,5.0,1.0,1055.0,5.0,1.0,260.8,5.0,1.0,483.1,4.0,1.0,1010.0,4.0,1.0,618.1
5.0,3.0,83.7,5.0,3.0,1598.0,5.0,2.0,565.6,5.0,2.0,842.3,4.0,2.0,1592.0,4.0,2.0,1163.0
5.0,4.0,163.6,5.0,4.0,1889.0,5.0,4.0,507.8,5.0,3.0,765.0,4.0,3.0,1318.0,4.0,3.0,940.8
5.0,6.0,132.8,5.0,6.0,1401.0,5.0,6.0,397.5,5.0,6.0,527.9,4.0,6.0,980.4,4.0,5.0,1393.0
6.0,2.0,47.2,6.0,1.0,471.3,6.0,1.0,130.9,6.0,1.0,367.1,6.0,1.0,1486.0,5.0,1.0,1393.0
6.0,3.0,35.4,6.0,3.0,659.1,6.0,2.0,262.7,6.0,2.0,623.9,6.0,2.0,1928.0,5.0,2.0,1715.0
6.0,4.0,81.0,6.0,4.0,1228.0,6.0,4.0,302.8,6.0,3.0,552.9,6.0,3.0,1486.0,5.0,3.0,1747.0
6.0,5.0,143.1,6.0,5.0,1620.0,6.0,5.0,466.2,6.0,5.0,645.4,6.0,4.0,1654.0,5.0,4.0,1476.0
