1,池田 雄一,池田 雄一.1,2,坂東 満,坂東 満.1,3,山下 大輝,山下 大輝.1,4,植田 太一,植田 太一.1,5,川尻 泰輔,川尻 泰輔.1,6,今出 晋二,今出 晋二.1
2.0,3.0,9.2,1.0,3.0,99.6,1.0,2.0,92.2,1.0,2.0,185.0,1.0,2.0,307.5,1.0,2.0,984.5
2.0,4.0,12.2,1.0,4.0,143.2,1.0,4.0,68.0,1.0,3.0,161.7,1.0,3.0,208.6,1.0,3.0,790.4
2.0,5.0,20.2,1.0,5.0,186.3,1.0,5.0,64.0,1.0,5.0,144.8,1.0,4.0,276.6,1.0,4.0,841.6
2.0,6.0,37.6,1.0,6.0,286.2,1.0,6.0,132.0,1.0,6.0,182.5,1.0,6.0,480.2,1.0,5.0,1405.0
3.0,2.0,7.6,3.0,1.0,309.0,2.0,1.0,267.7,2.0,1.0,443.9,2.0,1.0,939.4,2.0,1.0,1527.0
3.0,4.0,5.9,3.0,4.0,706.6,2.0,4.0,621.9,2.0,3.0,898.4,2.0,3.0,1120.0,2.0,3.0,2252.0
3.0,5.0,8.5,3.0,5.0,701.6,2.0,5.0,684.0,2.0,5.0,833.1,2.0,4.0,1617.0,2.0,4.0,2163.0
3.0,6.0,21.1,3.0,6.0,1318.0,2.0,6.0,905.0,2.0,6.0,882.3,2.0,6.0,1793.0,2.0,5.0,2466.0
4.0,2.0,16.2,4.0,1.0,443.1,4.0,1.0,184.3,3.0,1.0,324.0,3.0,1.0,372.5,3.0,1.0,1069.0
4.0,3.0,11.8,4.0,3.0,826.1,4.0,2.0,557.9,3.0,2.0,789.1,3.0,2.0,767.0,3.0,2.0,2802.0
4.0,5.0,19.6,4.0,5.0,965.2,4.0,5.0,328.8,3.0,5.0,576.2,3.0,4.0,905.0,3.0,4.0,2609.0
4.0,6.0,27.6,4.0,6.0,1034.0,4.0,6.0,526.9,3.0,6.0,863.8,3.0,6.0,1205.0,3.0,5.0,2834.0
5.0,2.0,39.1,5.0,1.0,765.8,5.0,1.0,158.0,5.0,1.0,276.9,4.0,1.0,525.2,4.0,1.0,1110.0
5.0,3.0,20.8,5.0,3.0,813.9,5.0,2.0,593.5,5.0,2.0,654.1,4.0,2.0,1182.0,4.0,2.0,2348.0
5.0,4.0,42.1,5.0,4.0,1053.0,5.0,4.0,465.3,5.0,3.0,552.9,4.0,3.0,918.5,4.0,3.0,2453.0
5.0,6.0,62.6,5.0,6.0,1442.0,5.0,6.0,699.6,5.0,6.0,438.4,4.0,6.0,843.1,4.0,5.0,2294.0
6.0,2.0,127.3,6.0,1.0,1318.0,6.0,1.0,557.9,6.0,1.0,448.3,6.0,1.0,1166.0,5.0,1.0,2359.0
6.0,3.0,86.0,6.0,3.0,1941.0,6.0,2.0,1503.0,6.0,2.0,1105.0,6.0,2.0,2337.0,5.0,2.0,2529.0
6.0,4.0,107.5,6.0,4.0,1358.0,6.0,4.0,1322.0,6.0,3.0,1277.0,6.0,3.0,2038.0,5.0,3.0,3025.0
6.0,5.0,126.9,6.0,5.0,2081.0,6.0,5.0,1373.0,6.0,5.0,702.6,6.0,4.0,1793.0,5.0,4.0,2666.0
