1,原田 篤志,原田 篤志.1,2,高橋 英之,高橋 英之.1,3,横井 健太,横井 健太.1,4,三好 勇人,三好 勇人.1,5,森下 愛梨,森下 愛梨.1,6,久永 祥平,久永 祥平.1
2.0,3.0,11.7,1.0,3.0,102.9,1.0,2.0,362.3,1.0,2.0,41.7,1.0,2.0,188.9,1.0,2.0,468.0
2.0,4.0,3.8,1.0,4.0,41.9,1.0,4.0,393.3,1.0,3.0,190.5,1.0,3.0,375.9,1.0,3.0,1097.0
2.0,5.0,11.2,1.0,5.0,88.0,1.0,5.0,561.6,1.0,5.0,66.0,1.0,4.0,187.8,1.0,4.0,405.8
2.0,6.0,16.3,1.0,6.0,107.7,1.0,6.0,712.7,1.0,6.0,61.7,1.0,6.0,220.4,1.0,5.0,765.2
3.0,2.0,36.4,3.0,1.0,436.7,2.0,1.0,585.0,2.0,1.0,89.6,2.0,1.0,400.0,2.0,1.0,858.8
3.0,4.0,41.0,3.0,4.0,848.4,2.0,4.0,1044.0,2.0,3.0,526.8,2.0,3.0,1155.0,2.0,3.0,2064.0
3.0,5.0,56.8,3.0,5.0,1231.0,2.0,5.0,1179.0,2.0,5.0,207.5,2.0,4.0,561.6,2.0,4.0,1028.0
3.0,6.0,68.4,3.0,6.0,1306.0,2.0,6.0,1170.0,2.0,6.0,176.1,2.0,6.0,659.2,2.0,5.0,1788.0
4.0,2.0,7.0,4.0,1.0,98.4,4.0,1.0,684.9,3.0,1.0,568.4,3.0,1.0,830.8,3.0,1.0,2576.0
4.0,3.0,27.4,4.0,3.0,505.1,4.0,2.0,1059.0,3.0,2.0,1002.0,3.0,2.0,1614.0,3.0,2.0,2956.0
4.0,5.0,16.8,4.0,5.0,331.9,4.0,5.0,1509.0,3.0,5.0,838.3,3.0,4.0,1455.0,3.0,4.0,2553.0
4.0,6.0,16.5,4.0,6.0,274.2,4.0,6.0,1155.0,3.0,6.0,769.4,3.0,6.0,1221.0,3.0,5.0,3052.0
5.0,2.0,29.3,5.0,1.0,385.2,5.0,1.0,1155.0,5.0,1.0,128.7,4.0,1.0,315.5,4.0,1.0,556.1
5.0,3.0,69.9,5.0,3.0,1155.0,5.0,2.0,1623.0,5.0,2.0,201.1,4.0,2.0,512.4,4.0,2.0,948.7
5.0,4.0,35.2,5.0,4.0,611.8,5.0,4.0,1823.0,5.0,3.0,585.0,4.0,3.0,1146.0,4.0,3.0,2530.0
5.0,6.0,53.1,5.0,6.0,756.9,5.0,6.0,1330.0,5.0,6.0,165.9,4.0,6.0,426.8,4.0,5.0,1376.0
6.0,2.0,47.3,6.0,1.0,432.0,6.0,1.0,1977.0,6.0,1.0,135.5,6.0,1.0,450.7,5.0,1.0,1318.0
6.0,3.0,119.5,6.0,3.0,1242.0,6.0,2.0,2035.0,6.0,2.0,202.1,6.0,2.0,688.3,5.0,2.0,2035.0
6.0,4.0,52.0,6.0,4.0,560.5,6.0,4.0,1923.0,6.0,3.0,594.9,6.0,3.0,1155.0,5.0,3.0,2576.0
6.0,5.0,87.8,6.0,5.0,1002.0,6.0,5.0,2160.0,6.0,5.0,237.3,6.0,4.0,618.5,5.0,4.0,1518.0
