1,金子 貴志,金子 貴志.1,2,西原 明生,西原 明生.1,3,宮迫 暢彦,宮迫 暢彦.1,4,齊藤 優,齊藤 優.1,5,南野 利騰,南野 利騰.1,6,日高 逸子,日高 逸子.1
2.0,3.0,16.6,1.0,3.0,54.9,1.0,2.0,43.9,1.0,2.0,124.0,1.0,2.0,268.7,1.0,2.0,149.7
2.0,4.0,24.8,1.0,4.0,74.8,1.0,4.0,34.3,1.0,3.0,113.0,1.0,3.0,210.6,1.0,3.0,91.6
2.0,5.0,45.6,1.0,5.0,142.8,1.0,5.0,53.6,1.0,5.0,107.2,1.0,4.0,226.3,1.0,4.0,188.9
2.0,6.0,31.8,1.0,6.0,78.1,1.0,6.0,27.6,1.0,6.0,80.4,1.0,6.0,155.4,1.0,5.0,291.9
3.0,2.0,13.0,3.0,1.0,110.6,2.0,1.0,92.3,2.0,1.0,232.0,2.0,1.0,559.7,2.0,1.0,207.1
3.0,4.0,11.4,3.0,4.0,202.7,2.0,4.0,162.7,2.0,3.0,446.3,2.0,3.0,831.9,2.0,3.0,225.4
3.0,5.0,22.8,3.0,5.0,254.9,2.0,5.0,207.3,2.0,5.0,419.9,2.0,4.0,868.8,2.0,4.0,429.1
3.0,6.0,12.6,3.0,6.0,109.2,2.0,6.0,95.4,2.0,6.0,256.6,2.0,6.0,594.6,2.0,5.0,628.9
4.0,2.0,29.1,4.0,1.0,222.1,4.0,1.0,61.7,3.0,1.0,155.8,3.0,1.0,332.9,3.0,1.0,106.7
4.0,3.0,22.1,4.0,3.0,361.8,4.0,2.0,171.2,3.0,2.0,398.6,3.0,2.0,611.3,3.0,2.0,202.4
4.0,5.0,46.7,4.0,5.0,493.5,4.0,5.0,113.4,3.0,5.0,258.6,3.0,4.0,465.3,3.0,4.0,223.6
4.0,6.0,28.5,4.0,6.0,274.5,4.0,6.0,61.6,3.0,6.0,147.4,3.0,6.0,317.5,3.0,5.0,353.9
5.0,2.0,79.3,5.0,1.0,448.3,5.0,1.0,126.9,5.0,1.0,152.4,4.0,1.0,320.4,4.0,1.0,274.4
5.0,3.0,55.0,5.0,3.0,510.8,5.0,2.0,264.4,5.0,2.0,390.6,4.0,2.0,624.9,4.0,2.0,491.6
5.0,4.0,75.8,5.0,4.0,704.7,5.0,4.0,186.8,5.0,3.0,319.8,4.0,3.0,490.4,4.0,3.0,337.8
5.0,6.0,64.2,5.0,6.0,493.5,5.0,6.0,124.5,5.0,6.0,149.5,4.0,6.0,260.5,4.0,5.0,572.0
6.0,2.0,51.6,6.0,1.0,154.5,6.0,1.0,56.2,6.0,1.0,134.4,6.0,1.0,256.9,5.0,1.0,471.5
6.0,3.0,34.7,6.0,3.0,152.3,6.0,2.0,96.8,6.0,2.0,258.4,6.0,2.0,479.0,5.0,2.0,786.8
6.0,4.0,56.9,6.0,4.0,299.3,6.0,4.0,93.3,6.0,3.0,207.3,6.0,3.0,367.5,5.0,3.0,560.5
6.0,5.0,88.5,6.0,5.0,395.0,6.0,5.0,133.7,6.0,5.0,227.2,6.0,4.0,397.8,5.0,4.0,636.1
