1,山田 哲也,山田 哲也.1,2,中井 俊祐,中井 俊祐.1,3,津留　浩一郎,津留　浩一郎.1,4,谷津 幸宏,谷津 幸宏.1,5,上原　健次郎,上原　健次郎.1,6,香月 大輝,香月 大輝.1
2.0,3.0,12.3,1.0,3.0,174.9,1.0,2.0,87.0,1.0,2.0,62.6,1.0,2.0,376.7,1.0,2.0,694.9
2.0,4.0,10.1,1.0,4.0,139.5,1.0,4.0,33.7,1.0,3.0,44.0,1.0,3.0,432.1,1.0,3.0,822.8
2.0,5.0,29.8,1.0,5.0,388.8,1.0,5.0,67.8,1.0,5.0,46.8,1.0,4.0,251.1,1.0,4.0,706.9
2.0,6.0,161.0,1.0,6.0,773.3,1.0,6.0,301.1,1.0,6.0,208.8,1.0,6.0,681.1,1.0,5.0,1399.0
3.0,2.0,11.5,3.0,1.0,376.7,2.0,1.0,321.9,2.0,1.0,166.4,2.0,1.0,797.3,2.0,1.0,1060.0
3.0,4.0,5.7,3.0,4.0,681.1,2.0,4.0,419.8,2.0,3.0,378.8,2.0,3.0,1788.0,2.0,3.0,1820.0
3.0,5.0,13.9,3.0,5.0,1479.0,2.0,5.0,699.7,2.0,5.0,380.9,2.0,4.0,1362.0,2.0,4.0,1758.0
3.0,6.0,83.1,3.0,6.0,2392.0,2.0,6.0,1535.0,2.0,6.0,894.4,2.0,6.0,2188.0,2.0,5.0,3070.0
4.0,2.0,9.2,4.0,1.0,244.3,4.0,1.0,67.6,3.0,1.0,91.1,3.0,1.0,667.9,3.0,1.0,1448.0
4.0,3.0,6.4,4.0,3.0,617.7,4.0,2.0,233.7,3.0,2.0,332.8,3.0,2.0,1619.0,3.0,2.0,1978.0
4.0,5.0,11.4,4.0,5.0,797.3,4.0,5.0,135.7,3.0,5.0,166.5,3.0,4.0,939.3,3.0,4.0,1686.0
4.0,6.0,74.1,4.0,6.0,1672.0,4.0,6.0,496.9,3.0,6.0,568.2,3.0,6.0,2188.0,3.0,5.0,2938.0
5.0,2.0,47.1,5.0,1.0,948.0,5.0,1.0,265.7,5.0,1.0,91.2,4.0,1.0,286.9,4.0,1.0,1111.0
5.0,3.0,39.5,5.0,3.0,1836.0,5.0,2.0,642.8,5.0,2.0,228.5,4.0,2.0,839.6,4.0,2.0,2212.0
5.0,4.0,37.7,5.0,4.0,1714.0,5.0,4.0,314.0,5.0,3.0,177.4,4.0,3.0,753.5,4.0,3.0,1922.0
5.0,6.0,184.3,5.0,6.0,3318.0,5.0,6.0,782.1,5.0,6.0,311.6,4.0,6.0,1111.0,4.0,5.0,2604.0
6.0,2.0,298.1,6.0,1.0,1853.0,6.0,1.0,1028.0,6.0,1.0,454.1,6.0,1.0,1836.0,5.0,1.0,2742.0
6.0,3.0,238.0,6.0,3.0,3070.0,6.0,2.0,2099.0,6.0,2.0,890.5,6.0,2.0,2779.0,5.0,2.0,2938.0
6.0,4.0,203.6,6.0,4.0,2857.0,6.0,4.0,1399.0,6.0,3.0,706.9,6.0,3.0,3214.0,5.0,3.0,3673.0
6.0,5.0,297.7,6.0,5.0,3428.0,6.0,5.0,1836.0,6.0,5.0,615.9,6.0,4.0,2165.0,5.0,4.0,3116.0
