1,切田 潤二,切田 潤二.1,2,武田 正紀,武田 正紀.1,3,松田 竜馬,松田 竜馬.1,4,津留　浩一郎,津留　浩一郎.1,5,森 貴洋,森 貴洋.1,6,村松 修二,村松 修二.1
2.0,3.0,71.9,1.0,3.0,87.3,1.0,2.0,96.4,1.0,2.0,238.0,1.0,2.0,306.2,1.0,2.0,576.3
2.0,4.0,132.4,1.0,4.0,165.3,1.0,4.0,81.6,1.0,3.0,157.3,1.0,3.0,141.4,1.0,3.0,273.8
2.0,5.0,110.4,1.0,5.0,121.1,1.0,5.0,37.1,1.0,5.0,140.1,1.0,4.0,315.6,1.0,4.0,624.8
2.0,6.0,137.6,1.0,6.0,155.5,1.0,6.0,42.4,1.0,6.0,144.5,1.0,6.0,147.9,1.0,5.0,335.4
3.0,2.0,57.6,3.0,1.0,99.9,2.0,1.0,118.7,2.0,1.0,275.7,2.0,1.0,314.8,2.0,1.0,670.8
3.0,4.0,57.3,3.0,4.0,77.6,2.0,4.0,70.9,2.0,3.0,167.4,2.0,3.0,121.7,2.0,3.0,346.4
3.0,5.0,30.9,3.0,5.0,41.2,2.0,5.0,37.4,2.0,5.0,148.6,2.0,4.0,273.0,2.0,4.0,740.1
3.0,6.0,41.5,3.0,6.0,56.0,2.0,6.0,43.3,2.0,6.0,171.9,2.0,6.0,129.0,2.0,5.0,394.0
4.0,2.0,150.9,4.0,1.0,213.0,4.0,1.0,95.7,3.0,1.0,136.3,3.0,1.0,105.5,3.0,1.0,232.2
4.0,3.0,112.7,4.0,3.0,119.2,4.0,2.0,71.0,3.0,2.0,125.7,3.0,2.0,87.7,3.0,2.0,277.2
4.0,5.0,132.1,4.0,5.0,138.9,4.0,5.0,31.9,3.0,5.0,54.7,3.0,4.0,98.5,3.0,4.0,245.2
4.0,6.0,130.5,4.0,6.0,165.2,4.0,6.0,37.0,3.0,6.0,59.7,3.0,6.0,31.7,3.0,5.0,70.9
5.0,2.0,139.9,5.0,1.0,151.0,5.0,1.0,42.8,5.0,1.0,110.0,4.0,1.0,265.4,4.0,1.0,586.4
5.0,3.0,61.0,5.0,3.0,66.2,5.0,2.0,34.6,5.0,2.0,96.8,4.0,2.0,177.3,4.0,2.0,676.4
5.0,4.0,160.0,5.0,4.0,156.7,5.0,4.0,35.6,5.0,3.0,58.0,4.0,3.0,113.2,4.0,3.0,323.2
5.0,6.0,77.5,5.0,6.0,81.7,5.0,6.0,14.7,5.0,6.0,46.5,4.0,6.0,88.7,4.0,5.0,277.0
6.0,2.0,233.6,6.0,1.0,268.5,6.0,1.0,70.4,6.0,1.0,167.3,6.0,1.0,119.2,5.0,1.0,267.7
6.0,3.0,110.5,6.0,3.0,135.5,6.0,2.0,67.3,6.0,2.0,188.9,6.0,2.0,114.5,5.0,2.0,283.7
6.0,4.0,268.3,6.0,4.0,314.6,6.0,4.0,58.9,6.0,3.0,96.5,6.0,3.0,38.6,5.0,3.0,76.6
6.0,5.0,124.8,6.0,5.0,150.2,6.0,5.0,23.1,6.0,5.0,79.6,6.0,4.0,106.1,5.0,4.0,226.5
